Name,Address,Votes,Rating,cost,Longitude,Latitude
"Hobbit Cafe
                                    "," 2243 Richmond Avenue, Houston 77098",539 votes,"
                                        4.6
                                    ",Cost for two:$30,-95.4148452,29.7338576
"Barnaby's Cafe
                                    "," 414 W Gray Street, Houston 77019",502 votes,"
                                        4.9
                                    ",Cost for two:$30,-95.38718639999999,29.7536096
"Lankford Grocery
                                    "," 88 Dennis Street, Houston 77006",440 votes,"
                                        4.9
                                    ",Cost for two:$25,-95.3838739,29.7500457
"Brasil
                                    "," 2604 Dunlavy Street, Houston 77006",395 votes,"
                                        4.6
                                    ",Cost for two:$45,-95.40225860000001,29.7426451
"Benjy's
                                    "," 2424 Dunstan Road, Houston 77005",397 votes,"
                                        4.4
                                    ",Cost for two:$95,-95.4163497,29.7195555
"Onion Creek
                                    ", 3106 White Oak Boulevard 77007,",","
                                        4.5
                                    ",Cost for two:$30,-95.39105119999999,29.7817964
"MAX's Wine Dive
                                    ", 4720 Washington Avenue B 77007,",","
                                        4.2
                                    ",Cost for two:$40,-95.4090248,29.7708635
"Mosquito Café
                                    "," 628 14th Street, East End Historic District 77550",273 votes,"
                                        4.7
                                    ",Cost for two:$75,-94.78255829999999,29.3056983
"Jus' Mac
                                    "," 2617 Yale Street, Houston 77008",186 votes,"
                                        4.4
                                    ",Cost for two:$30,-95.3995384,29.8106454
"BJ's Restaurant & Brewhouse
                                    ", 515 West Bay Area Boulevard 77598,",","
                                        4.3
                                    ",Cost for two:$45,-95.13236719999999,29.5451681
"Houston's
                                    "," 4848 Kirby Drive, Houston 77098",195 votes,"
                                        4.3
                                    ",Cost for two:$90,-95.4189511,29.7288831
"Cedar Creek
                                    ", 1034 W 20th Street 77008,",","
                                        4.1
                                    ",Cost for two:$60,-95.41764169999999,29.8035267
"T-Bone Tom's
                                    "," 707 Hwy 146, Kemah 77565",186 votes,"
                                        4.1
                                    ",Cost for two:$25,-95.0198704,29.5416408
"Yard House
                                    ", 800 Sorella Ct 77024,",","
                                        4.1
                                    ",Cost for two:$75,-95.5613982,29.78019789999999
"EATcetera
                                    ", 408 25th Street 77550,17 votes,"
                                        3.4
                                    ",Cost for two:$25,-94.79576120000002,29.30462919999999
"Clementine's
                                    "," 6448 Farm to Market 1960 Road W, Houston 77069",16 votes,"
                                        3.4
                                    ",Cost for two:$25,-95.5266671,29.9733744
"Swanny's Bar & Grill
                                    "," 6224 Theall Road, Houston 77066",8 votes,"
                                        3.2
                                    ",Cost for two:$25,-95.52002639999999,29.9683394
"Eloise Nichols Grill & Liquors
                                    "," 2400 Mid Lane, Suite100, Houston 77027",",","
                                        3.0
                                    ",Cost for two:$30,-95.450549,29.7425635
"Barnaby’s Cafe
                                    "," 2802 White Oak Drive, Houston 77007",16 votes,"
                                        3.3
                                    ",Cost for two:$50,-95.38900629999999,29.7818796
"Pine Street Cafe at Silver Sycamore
                                    "," 5111 Pine Avenue, Golden Acres 77503",8 votes,"
                                        3.8
                                    ",Cost for two:$25,-95.1648142,29.67627
"Stadia Sports Grill
                                    "," 9595 Six Pines Drive, Suite 1110, The Woodlands 77380",",","
                                        3.3
                                    ",Cost for two:$75,-95.46461389999999,30.16311439999999
"Wings n' More
                                    "," 13516 Interstate 10 East Fwy, Houston 77015",6 votes,"
                                        3.6
                                    ",Cost for two:$25,-95.3450333,29.7698342
"FM Kitchen and Bar
                                    ", 1112 Shepherd Drive 77007,",","
                                        2.8
                                    ",Cost for two:$45,-95.4092771,29.7713972
"Waffle House
                                    ", 728 N Sam Houston Pkwy East 77060,10 votes,"
                                        3.6
                                    ",Cost for two:$25,-95.3842011,29.938123
"Press Box
                                    "," 2401 Post Office Street, Galveston 77550",",","
                                        3.6
                                    ",Cost for two:$25,-94.7947495,29.3040316
"Dairy Land
                                    ", 1300 S Gordon Street 77511,5 votes,"
                                        3.6
                                    ",Cost for two:$25,-95.24408419999999,29.413513
"Alamo Bar & Grill
                                    ", 7846 Fallbrook Drive 77086,",","
                                        3.2
                                    ",Cost for two:$25,-95.51303399999999,29.925677
"Brookstreet BBQ
                                    "," 10705 Westheimer Rd, Houston 77042",19 votes,"
                                        3.5
                                    ",Cost for two:$25,-95.5648865,29.7361912
"Reef
                                    "," 2600 Travis Street, Houston 77006",423 votes,"
                                        4.3
                                    ",Cost for two:$105,-95.3753481,29.7458134
"The Cheesecake Factory
                                    "," 5015 Westheimer Road, Houston 77056",334 votes,"
                                        4.3
                                    ",Cost for two:$75,-95.4631205,29.7389671
"The Spot
                                    ", 3204 Seawall Boulevard 77550,325 votes,"
                                        4.4
                                    ",Cost for two:$25,-94.79816919999999,29.2836486
"J&M Barbeque & Catering
                                    "," 7446 Martin Luther King Junior Boulevard, Houston 77033",Cuisines: ,"
                                        -
                                    ",Cost for two:$75,-95.3367833,29.6740756
"Mel's Country Cafe
                                    ", 24814 Stanolind Road 77375,298 votes,"
                                        4.9
                                    ",Cost for two:$35,-95.5963172,30.1232444
