Name,Address,Votes,Rating,cost,Longitude,Latitude
"Star Pizza
                                    "," 2111 Norfolk Street, Houston 77098",678 votes,"
                                        4.7
                                    ",Cost for two:$50,-95.4108818,29.7323126
"Maggiano's Little Italy
                                    ", 2019 Post Oak Boulevard 77056,527 votes,"
                                        4.7
                                    ",Cost for two:$55,-95.4605302,29.7451858
"Italiano's
                                    "," 217 Farm to Market 1960 Bypass Road E, Humble 77338",239 votes,"
                                        4.6
                                    ",Cost for two:$75,-95.2642403,30.0059868
"Santa Barbara Italian Cafe
                                    "," 5012 Broadway Street, Pearland 77581",149 votes,"
                                        4.3
                                    ",Cost for two:$150,-95.29918699999999,29.559263
"Grimaldi's Pizzeria
                                    "," 20 Waterway Avenue, Suite 100, The Woodlands 77380",177 votes,"
                                        4.2
                                    ",Cost for two:$75,-95.45885799999999,30.16014
"Prego Italian Cuisine
                                    "," 2520 Amherst Street, Houston 77005",169 votes,"
                                        4.3
                                    ",Cost for two:$70,-95.4175394,29.7161067
"BRIO Tuscan Grille - Woodlands - The Woodlands
                                    ", 1201 Lake Woodlands Drive 77380,198 votes,"
                                        4.2
                                    ",Cost for two:$35,-95.4538295,30.1645185
"D'Amico's Italian Market Cafe
                                    ", 5510 Morningside Drive 77005,170 votes,"
                                        4.3
                                    ",Cost for two:$45,-95.415351,29.7156773
"Da Vinci Ristorante Italiano
                                    "," 6455 South Fry Road, Suite 100, Katy 77494",133 votes,"
                                        4.7
                                    ",Cost for two:$150,-95.7698032,29.7127234
"Dan's Pizza Co.
                                    ", 15148 HWY 3. 77598,",","
                                        4.7
                                    ",Cost for two:$25,-95.1461593,29.56703809999999
"La Griglia
                                    ", 2002 West Gray Street 77019,140 votes,"
                                        4.2
                                    ",Cost for two:$75,-95.40864049999999,29.7534803
"Barry's Pizza and Italian Diner
                                    ", 6003 Richmond Avenue 77057,117 votes,"
                                        4.1
                                    ",Cost for two:$25,-95.4845399,29.731059
"Carrabba's
                                    "," 3115 Kirby Drive, Houston 77098",156 votes,"
                                        4.3
                                    ",Cost for two:$100,-95.4182964,29.7364879
"Via Emilia
                                    ", 10700 Kuykendahl Road 77381,137 votes,"
                                        4.3
                                    ",Cost for two:$150,-95.5345796,30.177789
"MidiCi
                                    "," 21784 Katy Freeway, Suite 100 77024",",","
                                        -
                                    ",Cost for two:$30,-95.7448781,29.7865018
"Brothers Pizzeria
                                    "," 1029 Hwy 6 N, Suite 100, Houston 77079",110 votes,"
                                        4.4
                                    ",Cost for two:$25,-95.645597,29.786925
"The Italian Joint
                                    ", 26420 Preston Street 77373,Cuisines: ,"
                                        -
                                    ",Cost for two:$50,-95.4206344,30.0811248
"Enoteca Rossa
                                    ", 4566 Bissonnet Street 77401,Cuisines: ,"
                                        -
                                    ",Cost for two:$45,-95.4549503,29.7146191
"Papa Amadeus
                                    "," 25602 Interstate 45 N, Suite 101 77386",Cuisines: ,"
                                        -
                                    ",Cost for two:$25,-95.4434758,30.13361209999999
"Amici Ristorante Italiano
                                    ", 709 West Parkwood Avenue 77546,Cuisines: ,"
                                        -
                                    ",Cost for two:$75,-95.192014,29.5050291
"Mario's Italian
                                    ", 628 Seawall Boulevard 77550,85 votes,"
                                        4.0
                                    ",Cost for two:$75,-94.7731633,29.30428199999999
"Carmine's Italian Restaurant
                                    "," 15407 Texas 36, Needville 77461",Cuisines: ,"
                                        -
                                    ",Cost for two:$25,-95.81332049999999,29.379439
"Little Napoli Italian Cuisine
                                    ", 540 Texas Street. 77002,",","
                                        3.6
                                    ",Cost for two:$75,-95.3666246,29.7623512
"Wine Cellar & Mezza Bar
                                    "," 540 Texas Avenue, Houston 77002",Cuisines: ,"
                                        -
                                    ",Cost for two:$65,-95.3668441,29.7621244
"Mona Fresh Italian
                                    ", 19355 Katy Fwy #500,Cuisines: ,"
                                        -
                                    ",Cost for two:$15,-95.7067447,29.7835426
"Tosca Americana
                                    "," 18321 W Lake Houston Parkway, suite 540 77346",Cuisines: ,"
                                        -
                                    ",Cost for two:$25,-95.1630014,29.9837326
"La Fresca Pizza
                                    ", 5300 N Braeswood Boulevard 77096,Cuisines: ,"
                                        -
                                    ",Cost for two:$15,-95.4782556,29.6788259
"Domino's Pizza
                                    ", 9451 Cullen Boulevard Ste A,",","
                                        -
                                    ",Cost for two:$20,-95.3547443,29.6537875
"Peter Piper Pizza
                                    "," 3471 E Sam Houston Pkwy S, Pasadena 77505",Cuisines: ,"
                                        -
                                    ",Cost for two:$25,-95.1550176,29.659384
"Shiloh Club
                                    "," 1321 Studewood Street, Houston 77008",Cuisines: ,"
                                        -
                                    ",Cost for two:$25,-95.3880531,29.7953223
"People's Choice Pizza
                                    "," 7072 FM 1960 Rd E, Humble 77346",Cuisines: ,"
                                        -
                                    ",Cost for two:$25,-95.1707266,29.9974267
"Houston Pizza Venture
                                    "," 2800 Marina Bay Dr, League City 77573",Cuisines: ,"
                                        -
                                    ",Cost for two:$25,-95.0654229,29.5391696
"Marco's Pizza
                                    ", 12810 West. Broadway Street,Cuisines: ,"
                                        -
                                    ",Cost for two:$20,-95.4190738,29.55460589999999
"Pizza Fire
                                    "," 9814 Fry Rd, Suite 120, Cypress 77433",Cuisines: ,"
                                        -
                                    ",Cost for two:$25,-95.72677709999999,29.928944
"Big Ben's Pizzeria
                                    "," 5431 Barker Cypress Rd, Houston 77084",Cuisines: ,"
                                        -
                                    ",Cost for two:$75,-95.68417409999999,29.852788
"Pizzaiolo's Gourmet Pizza
                                    ", 18304 FM 1488 RD Magnolia 77354,Cuisines: ,"
                                        -
                                    ",Cost for two:$25,-95.7493313,30.2160569
"Il Primo Pizza and Wings II
                                    ", 6037 North Fry Road 77449,Cuisines: ,"
                                        -
                                    ",Cost for two:$25,-95.7210108,29.8588977
"Pizza Hut
                                    ", 32826 FM 2978,",","
                                        -
                                    ",Cost for two:$20,-95.5674298,30.2177975
"Giannina’s Pizza
                                    "," 9740 Barker Cypress Rd, Ste 115, Cypress",Cuisines: ,"
                                        -
                                    ",Cost for two:$20,-95.6854895,29.9193964
