Name,Address,Votes,Rating,cost,Longitude,Latitude
Hugo's              ," 1600 Westheimer Road, Houston 77006",553 votes,"
                                        4.5
                                    ",Cost for two:$90,-95.3996202,29.7429555
"Teotihuacan Mexican Cafe
                                    ", 1511 Airline Drive 77009,292 votes,"
                                        4.8
                                    ",Cost for two:$30,-95.3822177,29.7989293
"Alicia's Mexican Grille
                                    "," 26326 NW Freeway, Cypress 77429",224 votes,"
                                        4.2
                                    ",Cost for two:$75,-95.7013171,29.9749482
"El Tiempo Cantina
                                    ", 5602 Washington Avenue 77007,230 votes,"
                                        4.5
                                    ",Cost for two:$35,-95.4187874,29.7710151
"Lupe Tortilla
                                    "," 318 Stafford Street, Houston 77079",200 votes,"
                                        4.3
                                    ",Cost for two:$75,-95.6430429,29.7827555
"Guadalajara Del Centro
                                    "," 1201 San Jacinto Street, Houston 77002",116 votes,"
                                        4.2
                                    ",Cost for two:$70,-95.3644994,29.7537638
"Arnaldo Richard's Picos
                                    "," 3601 Kirby Drive, Upper Kirby District 77098",113 votes,"
                                        4.1
                                    ",Cost for two:$75,-95.4180509,29.7337013
"Lopez Mexican
                                    "," 11606 Wilcrest Drive, Houston 77099",108 votes,"
                                        4.5
                                    ",Cost for two:$50,-95.57087589999999,29.653024
"Tortuga Coastal Cantina
                                    ", 6010 Seawall Boulevard 77551,96 votes,"
                                        3.7
                                    ",Cost for two:$25,-94.825778,29.2673526
"Spanish Flowers Mexican Restaurant
                                    ", 4701 North Main Street 77009,127 votes,"
                                        3.9
                                    ",Cost for two:$40,-95.3819315,29.7970923
"100% Taquito
                                    "," 3245 Southwest Fwy, Houston 77027",112 votes,"
                                        4.1
                                    ",Cost for two:$15,-95.4309729,29.7286629
"Chacho's
                                    "," 6006 Westheimer Road, Houston 77057",110 votes,"
                                        4.0
                                    ",Cost for two:$15,-95.4877353,29.7381434
"Tony's Mexican Restaurant
                                    ", 2222 Ella Boulevard 77008,99 votes,"
                                        4.1
                                    ",Cost for two:$50,-95.42882080000001,29.8064633
"La Guadalupana Bakery and Cafe
                                    "," 2109 Dunlavy Street, Houston 77006",86 votes,"
                                        4.1
                                    ",Cost for two:$30,-95.40184959999999,29.7469016
"Los Cucos Mexican Cafe
                                    ", 4775 West Panther Creek Drive 77381,97 votes,"
                                        4.0
                                    ",Cost for two:$75,-95.50398469999999,30.1679385
"Casarez Mexican
                                    "," 887 Meadowbrook Drive, Houston 77034",8 votes,"
                                        3.5
                                    ",Cost for two:$25,-95.26238930000001,29.6745943
"Pollos Asados El Regio
                                    "," 61 Tidwell Rd, Houston 77022",6 votes,"
                                        3.8
                                    ",Cost for two:$25,-95.3788344,29.84581219999999
"Noyola's Mexican
                                    "," 242 1st Street W, Humble 77338",9 votes,"
                                        3.4
                                    ",Cost for two:$25,-95.264736,29.99911299999999
"Juan Big Burritos
                                    "," 176 Gulf Fwy S, League City 77573",9 votes,"
                                        3.5
                                    ",Cost for two:$25,-95.1108647,29.50324389999999
"La Victoria Bakery
                                    "," 7138 Lawndale St, Houston 77023",6 votes,"
                                        3.6
                                    ",Cost for two:$25,-95.2926504,29.7171088
"Brenda's Taqueria
                                    "," 3766 S Gessner Road, Houston 77063",9 votes,"
                                        3.4
                                    ",Cost for two:$25,-95.5395963,29.72302
"El Chinampa
                                    "," 15634 Wallisville Rd. Suite 400, Houston 77049",9 votes,"
                                        3.2
                                    ",Cost for two:$75,-95.1594574,29.8093257
