Name,Address,Votes,Rating,cost,Longitude,Latitude
"Shake Shack
                                    "," 366 Columbus Avenue W 77th Street, New York 10024",721 votes,4.9,Cost for two:$30,-73.9765558,40.7808739
"Peter Luger Steak House
                                    "," 178 Broadway, Brooklyn 11211",1111 votes,4.8,Cost for two:$150,-73.96247869999999,40.7097529
"Gramercy Tavern
                                    ", 42 E 20th Street 10003,948 votes,4.5,Cost for two:$200,-73.98847239999999,40.7384716
"5 Napkin Burger
                                    ", 630 9th Avenue 10036,620 votes,4.9,Cost for two:$85,-73.9912338,40.759987
"Cafeteria
                                    ", 119 7th Avenue,",",4.5,Cost for two:$75,-73.9979323,40.7404855
"S'MAC
                                    "," 197 First Avenue, New York 10003",622 votes,4.9,Cost for two:$25,-73.983724,40.730212
"Gray's Papaya
                                    ", 2090 Broadway 10023,",",4.5,Cost for two:$20,-73.9815721,40.77835779999999
"Blue Smoke
                                    "," 116 East 27th Street, Flatiron 10016",",",4.5,Cost for two:$70,-73.9837809,40.7421997
"Virgil's Real BBQ
                                    "," 152 West 44th Street, btwn Broadway & 6th Avenue 10036",497 votes,4.4,Cost for two:$50,-73.9851608,40.75675460000001
"The Meatball Shop
                                    ", 84 Stanton Street 10002,393 votes,4.6,Cost for two:$50,-73.98878069999999,40.7216601
"Bubby's
                                    "," 120 Hudson Street, New York 10013",308 votes,4.3,Cost for two:$70,-74.0083109,40.7198196
"Union Square Cafe
                                    "," 16th Street, New York 10003",",",4.4,Cost for two:$75,-73.987819,40.7352956
"Sarabeth's
                                    "," 423 Amsterdam Avenue, New York 10024",313 votes,4.4,Cost for two:$90,-73.97742439999999,40.7838797
"Beauty & Essex
                                    "," 146 Essex Street, Lower East Side 10002",",",4.3,Cost for two:$100,-73.9868826,40.7204209
"Cookshop
                                    ", 156 10th Avenue 10011,344 votes,4.3,Cost for two:$70,-74.0054833,40.745519
