Name,Address,Votes,Rating,cost,Longitude,Latitude
"Dinosaur Bar-B-Que
                                    ", 700 West 125th Street 10027,613 votes,4.7,Cost for two:$40,-73.9609174,40.8180319
"Blue Smoke
                                    "," 116 East 27th Street, Flatiron 10016",",",4.5,Cost for two:$70,-73.9837809,40.7421997
"Virgil's Real BBQ
                                    "," 152 West 44th Street, btwn Broadway & 6th Avenue 10036",497 votes,4.4,Cost for two:$50,-73.9851608,40.75675460000001
"Bubby's
                                    "," 120 Hudson Street, New York 10013",308 votes,4.3,Cost for two:$70,-74.0083109,40.7198196
"Hill Country Barbecue Market
                                    ", 30 West 26th Street 10010,373 votes,4.4,Cost for two:$70,-73.9904866,40.7441558
"Fette Sau
                                    ", 354 Metropolitan Avenue 11211,",",4.6,Cost for two:$75,-73.956335,40.7140632
"Mighty Quinn's Barbeque
                                    ", 103 2nd Avenue 10003,",",4.3,Cost for two:$30,-73.9886284,40.7275688
"Miss Korea BBQ
                                    ", 10 West 32nd Street 10001,80 votes,4.0,Cost for two:$60,-73.98647679999999,40.7473149
"Gyu-Kaku Japanese BBQ
                                    "," 805 3rd Avenue, New York 10022",102 votes,4.2,Cost for two:$70,-73.9705623,40.7554247
"Dallas BBQ
                                    "," 241 W 42nd Street, New York 10036",81 votes,3.7,Cost for two:$60,-73.9886621,40.7569857
"Cho Dang Gol
                                    ", 55 West 35th Street 10001,92 votes,4.0,Cost for two:$60,-73.9863524,40.7502718
"Cowgirl
                                    "," 519 Hudson Street, New York 10014",112 votes,4.2,Cost for two:$70,-74.0064878,40.7338031
"Southern Hospitality BBQ
                                    ", 645 9th Avenue 10036,",",3.8,Cost for two:$90,-73.99139819999999,40.7606246
"Bann
                                    "," 350 W 50th Street, New York 10019",",",4.0,Cost for two:$80,-73.9881369,40.7629007
"Don Coqui
                                    "," 2818 31st Street, Astoria 11102",",",3.6,Cost for two:$85,-73.92072399999999,40.7679449
"Picnic Restaurant
                                    "," 233 Ferry St, Newark 07105",8 votes,3.3,Cost:$$$$,-74.1543425,40.7280236
"McWhorter Barbecue
                                    "," 104 McWhorter Street, Newark 07105",11 votes,4.0,Cost:$$$$,-74.1667228,40.7294636
"Dragonfly Restaurant
                                    "," 661 W. Edgar Road, Linden 07036",42 votes,3.6,Cost:$$$$,-74.2476906,40.6208243
"Sultan Gyro
                                    "," 307 Ridge Rd, Lyndhurst 07071",4 votes,3.4,Cost:$$$$,-74.11905349999999,40.8084318
"SuzyQue's BBQ & Bar
                                    "," 34 S Valley Rd, West Orange 07052",69 votes,3.6,Cost:$$$$,-74.25128959999999,40.7657279
"Houston's
                                    "," 1 Riverside Square, Hackensack 07601",148 votes,3.9,Cost:$$$$,-74.0305368,40.90631279999999
"Grill Master
                                    "," 41 Bloomfield Ave, Bloomfield 07003",16 votes,3.7,Cost:$$$$,-74.1874244,40.7767735
"Jim Dandy's
                                    "," 563 Franklin Ave, Nutley 07110",13 votes,3.4,Cost:$$$$,-74.15361039999999,40.825018
"Buffalo's
                                    "," 261 Hackensack Street, Wood-Ridge 07075",4 votes,3.4,Cost:$$$$,-74.0811171,40.8487628
