Name,Address,Votes,Rating,cost,Longitude,Latitude
"Junoon
                                    "," 27 West 24th Street, Flatiron district 10010",156 votes,"
                                        4.4
                                    ",Cost for two:$150,-73.9908129,40.7431637
"Utsav
                                    "," 1185 Avenue of the Americas, New York 10036",103 votes,"
                                        4.1
                                    ",Cost for two:$70,-73.98231919999999,40.7579754
"Brick Lane Curry House
                                    ", 99 2nd Avenue. 10003,140 votes,"
                                        4.1
                                    ",Cost for two:$80,-73.9889486,40.7273558
"Tamarind Tribeca
                                    "," 99 Hudson Street, New York 10013",75 votes,"
                                        4.0
                                    ",Cost for two:$120,-74.0089976,40.7190557
"The Kati Roll Company
                                    "," 49 W 39th Street, New York 10018",112 votes,"
                                        4.1
                                    ",Cost for two:$30,-73.9846328,40.7527238
"Indian Accent
                                    "," 123 W 56th Street, Midtown West 10019",42 votes,"
                                        4.4
                                    ",Cost for two:$120,-73.9788504,40.764284
"Haveli Banjara
                                    ", 100 2nd Avenue 10003,100 votes,"
                                        4.1
                                    ",Cost for two:$50,-73.9883517,40.7271167
"Bukhara Grill
                                    "," 217 E 49th Street, New York 10017",85 votes,"
                                        4.0
                                    ",Cost for two:$75,-73.9703031,40.7549692
"Chennai Garden by Tiffin Wallah
                                    "," 127 E 28th Street, New York 10016",77 votes,"
                                        4.2
                                    ",Cost for two:$50,-73.9827576,40.742965
"Seva
                                    "," 3007 34th Street, Astoria 11103",85 votes,"
                                        4.4
                                    ",Cost for two:$50,-73.9189791,40.76543179999999
"Jackson Diner
                                    "," 37-47 74th Street, Queens 11372",92 votes,"
                                        4.2
                                    ",Cost for two:$60,-73.8913875,40.7477307
"Saravanaa Bhavan
                                    ", 81 Lexington Avenue 10016,49 votes,"
                                        4.0
                                    ",Cost for two:$30,-73.983071,40.7414198
"Darbar
                                    "," 152 E 46th Street, New York 10017",68 votes,"
                                        3.8
                                    ",Cost for two:$55,-73.973531,40.753513
"Saravanaa Bhavan
                                    "," 413 Amsterdam Avenue, Between 79th & 80th Street, New York 10024",67 votes,"
                                        3.7
                                    ",Cost for two:$50,-73.9777534,40.7835823
"Ruchi
                                    "," 120 Cedar Street, Financial District 10006",56 votes,"
                                        3.8
                                    ",Cost for two:$50,-74.0127065,40.7095408
"Indian Masala
                                    "," 1174 St Marks Avenue, Brooklyn 11213",Cuisines: ,"
                                        -
                                    ",Cost for two:$30,-73.93103169999999,40.67407010000001
"Aroma Indian Restaurant
                                    ", 116-01 101st Avenue South Richmond Hill 11419,Cuisines: ,"
                                        -
                                    ",Cost for two:$25,-73.828378,40.689515
"Apna Masala Indian Cuisine
                                    "," 344 E 6th Street, New York 10003",Cuisines: ,"
                                        -
                                    ",Cost for two:$65,-73.98647290000001,40.7263971
"Punjabi Dhaba Indian Restaurant
                                    "," 119-16 101st Avenue, Queens 11419",Cuisines: ,"
                                        -
                                    ",Cost for two:$20,-73.8252625,40.6899685
"Dhaka Garden
                                    "," 72-23 37th Avenue, Queens 11372",Cuisines: ,"
                                        -
                                    ",Cost for two:$50,-73.89305689999999,40.74907839999999
"Radhuni Sweets & Restaurant
                                    "," 483 Mcdonald Avenue, Brooklyn, NY 11218",Cuisines: ,"
                                        -
                                    ",Cost for two:$35,-73.9791232,40.6423829
"Gulshan Terrace
                                    "," 59-15, 37th Avenue, Woodside",Cuisines: ,"
                                        -
                                    ",Cost for two:$30,-73.902776,40.7499688
"Lahori Chilli
                                    "," 1026 Coney Island Avenue, Brooklyn, NY 11230",Cuisines: ,"
                                        -
                                    ",Cost for two:$20,-73.9671731,40.6324407
"Desi Grill
                                    "," 46 Wyckoff Avenue, Bushwick, Bushwick, Brooklyn 11237",Cuisines: ,"
                                        -
                                    ",Cost for two:$40,-73.921747,40.7057507
"Curry Heights
                                    ", 151 Remsen Street 11201,Cuisines: ,"
                                        -
                                    ",Cost for two:$60,-73.9922031,40.6936798
"Haute Cuisine Of India
                                    "," 210 E 58th Street, New York 10022",Cuisines: ,"
                                        -
                                    ",Cost for two:$70,-73.9664337,40.7604289
"Saranava Bhavan
                                    ", 81 Lexington Avenue 10016,Cuisines: ,"
                                        -
                                    ",Cost for two:$25,-73.983071,40.7414198
"Simon Indian Palace inc
                                    ", 230 East 58th Street 10022,Cuisines: ,"
                                        -
                                    ",Cost for two:$45,-73.9658941,40.7601883
"Bismillah Kebab & Curry
                                    "," 1203 Liberty Avenue, Brooklyn 11208",Cuisines: ,"
                                        -
                                    ",Cost for two:$20,-73.8649792,40.6791668
"Bombay Junction
                                    ", 1013 6th Avenue 10018,Cuisines: ,"
                                        -
                                    ",Cost for two:$25,-73.9863396,40.7521993
"Halal Dumpling House
                                    "," 37-66 74th Street, Queens, NY 11372",Cuisines: ,"
                                        -
                                    ",Cost for two:$25,-73.8916109,40.7471124
"Chatkhara Restaurant & Sweets
                                    "," 984 Coney Island Avenue, Brooklyn, NY 11230",Cuisines: ,"
                                        -
                                    ",Cost for two:$20,-73.9673569,40.6334488
"Hamro Bhim's Cafe
                                    "," 74-10 37th Road, Queens, NY 11372",Cuisines: ,"
                                        -
                                    ",Cost for two:$15,-73.8911095,40.7472765
"Sumnima Kitchen
                                    "," 39-04 64th Street, Woodside, New York City",Cuisines: ,"
                                        -
                                    ",Cost for two:$30,-73.90007109999999,40.7463482
"Nepalese Indian Restaurant
                                    "," 907 Seneca Avenue, Queens, NY 11385",4 votes,"
                                        2.8
                                    ",Cost for two:$40,-73.90363719999999,40.7006697
"Chabba Family Grill & Cuisine
                                    "," 786 Coney Island Avenue, Brooklyn 11218",Cuisines: ,"
                                        -
                                    ",Cost for two:$35,-73.9688152,40.6382322
"Sukhram's Restaurant And Beer Garden
                                    "," 18803 Jamaica Ave, Hollis 11423",2 votes,"
                                        3.1
                                    ",Cost for two:$25,-73.7707225,40.71113099999999
"Golden House Restaurant
                                    "," 105-04 Liberty Avenue, Queens 11417",Cuisines: ,"
                                        -
                                    ",Cost for two:$25,-73.835876,40.682281
"Taste of Bhakti
                                    "," 25 1st Avenue, New York 10003",",","
                                        2.8
                                    ",Cost for two:$25,-73.9884895,40.7237768
"Bamboo Express
                                    "," 772 Flatbush Avenue, Brooklyn 11226",Cuisines: ,"
                                        -
                                    ",Cost for two:$40,-73.9598843,40.6539174
"King of Tandoor
                                    "," 7407 3rd Avenue, Brooklyn, NY 11220",Cuisines: ,"
                                        -
                                    ",Cost for two:$40,-74.0273859,40.6318435
"Golden Terrace Restaurant
                                    "," 120-23 Atlantic Avenue, New York City 11418",Cuisines: ,"
                                        -
                                    ",Cost for two:$25,-73.8262835,40.69478609999999
"Gyro King
                                    "," 473 McDonald Avenue, Brooklyn 11218",",","
                                        -
                                    ",Cost for two:$15,-73.9791628,40.6426041
"Your Village Roti Shop
                                    "," 21116 Jamaica Ave, Queens Village 11428",1 vote,"
                                        3.3
                                    ",Cost for two:$25,-73.7488292,40.7152184
"Little Crepe Street
                                    "," 29 East Main Street, Mt Kisco 10549",11 votes,"
                                        3.8
                                    ",Cost:$$$$,-73.72776809999999,41.2083613
"Shivaji Indian Express Cuisine
                                    "," 561 US-1, Edison 08817",Cuisines: ,"
                                        -
                                    ",Cost:$$$$,-74.3960752,40.5067004
"Orange Indian Cuisine
                                    "," 168 Kinderkamack Rd, Park Ridge 07656",Cuisines: ,"
                                        -
                                    ",Cost:$$$$,-74.0326286,41.0356986
"Mantra
                                    ", 275 Route 4 West 07652,20 votes,"
                                        3.5
                                    ",Cost:$$$$,-74.0469952,40.9150281
"Desi Food Galaxy
                                    "," 2021 Rt-27, Somerset 08873",15 votes,"
                                        3.5
                                    ",Cost:$$$$,-74.51167559999999,40.4580847
