Name,Address,Votes,Rating,cost,Longitude,Latitude
"Carmine's Italian Restaurant
                                    "," 200 West 44th Street, btwn Broadway & 8th Avenue 10036",1048 votes,"
                                        4.7
                                    ",Cost for two:$100,-73.986654,40.757498
"Becco
                                    "," 355 West 46th Street, Theater District 10036",",","
                                        4.7
                                    ",Cost for two:$110,-73.98983240000001,40.760804
"Lombardi's Pizza
                                    "," 32 Spring Street, New York 10012",1445 votes,"
                                        4.9
                                    ",Cost for two:$50,-73.9956827,40.7215657
"Grimaldi's Pizzeria
                                    "," 1 Front Street, Brooklyn 11201",935 votes,"
                                        4.6
                                    ",Cost for two:$50,-73.9932413,40.70261
"John's Pizza of Times Square
                                    "," 260 W 44th Street, New York 10036",718 votes,"
                                        4.7
                                    ",Cost for two:$40,-73.98839579999999,40.7582117
"Babbo
                                    "," 110 Waverly Pl, Greenwich Village 10011",834 votes,"
                                        4.3
                                    ",Cost for two:$150,-73.9992785,40.732296
"Otto Enoteca Pizzeria
                                    "," One Fifth Avenue at 8th Street, Greenwich Village 10003",569 votes,"
                                        4.4
                                    ",Cost for two:$40,-73.9962275,40.7319594
"The Meatball Shop
                                    ", 84 Stanton Street 10002,393 votes,"
                                        4.6
                                    ",Cost for two:$50,-73.98878069999999,40.7216601
"Union Square Cafe
                                    "," 16th Street, New York 10003",",","
                                        4.4
                                    ",Cost for two:$75,-73.987819,40.7352956
"Locanda Verde
                                    "," 377 Greenwich Street, New York 10013",361 votes,"
                                        4.6
                                    ",Cost for two:$100,-74.00985399999999,40.7198459
"Lupa Osteria Romana
                                    "," 170 Thompson Street, New York 10012",412 votes,"
                                        4.3
                                    ",Cost for two:$100,-74.0000589,40.7276574
"Roberta's
                                    "," 261 Moore Street, Brooklyn 11206",",","
                                        4.8
                                    ",Cost for two:$50,-73.9335742,40.7050886
"Del Posto
                                    "," 85 10th Avenue, Chelsea 10011",284 votes,"
                                        4.3
                                    ",Cost for two:$250,-74.0079322,40.7433097
"L & B Spumoni Gardens
                                    ", 2725 86th Street 11223,293 votes,"
                                        4.7
                                    ",Cost for two:$75,-73.9813041,40.5947441
"La Birreria
                                    ", 200 Fifth Avenue 10010,173 votes,"
                                        4.3
                                    ",Cost for two:$80,-73.989942,40.7419978
"Barcibo Enoteca
                                    "," 2020 Broadway, New York 10023",47 votes,"
                                        4.0
                                    ",Cost for two:$90,-73.9818392,40.7764542
"Numero 28 Pizzeria
                                    "," 28 Carmine Street, New York 10014",33 votes,"
                                        3.4
                                    ",Cost for two:$60,-74.0027807,40.7300735
"Road House
                                    ", 1400 Clove Road 10301,27 votes,"
                                        3.3
                                    ",Cost for two:$75,-74.1007339,40.6133229
"Tre Otto
                                    ", 1410 Madison Avenue 10029,",","
                                        3.6
                                    ",Cost for two:$60,-73.9535933,40.7883992
"Il Piccolo Bufalo
                                    "," 141 Mulberry Street, New York 10013",29 votes,"
                                        3.7
                                    ",Cost for two:$60,-73.9979012,40.7188558
"Lunella Ristorante
                                    "," 173 Mulberry Street, New York 10013",37 votes,"
                                        3.6
                                    ",Cost for two:$60,-73.99721250000002,40.7201098
"The Perfect Pint
                                    "," 123 West 45th Street, New York 10036",",","
                                        3.7
                                    ",Cost for two:$60,-73.9837397,40.7574076
"Acappella Restaurant
                                    "," 1 Hudson Street, New York 10013",40 votes,"
                                        4.0
                                    ",Cost for two:$100,-74.0094311,40.7157455
