Name,Address,Votes,Rating,cost,Longitude,Latitude
"The Little Owl
                                    "," 90 Bedford Street, Greenwich Village 10014",307 votes,"
                                        4.5
                                    ",Cost for two:$100,-74.0052759,40.7322874
"ilili
                                    ", 236 Fifth Avenue 10001,188 votes,"
                                        4.5
                                    ",Cost for two:$65,-73.98791949999999,40.7444147
"Taim West Village
                                    "," 222 Waverly Place W Village, New York 10014",156 votes,"
                                        4.4
                                    ",Cost for two:$30,-74.0019593,40.735997
"Il Buco
                                    ", 47 Bond Street 10012,",","
                                        4.2
                                    ",Cost for two:$100,-73.9930347,40.7257732
"Bar Pitti
                                    "," 268 6th Avenue, New York 10014",136 votes,"
                                        4.3
                                    ",Cost for two:$110,-74.0021326,40.7290382
"Pierre Loti
                                    "," 300 E 52nd Street, New York 10022",",","
                                        4.5
                                    ",Cost for two:$50,-73.9674197,40.7559193
"Extra Virgin
                                    "," 259 W 4th Street, New York 10014",164 votes,"
                                        4.2
                                    ",Cost for two:$150,-74.003141,40.7354258
"Fig & Olive Fifth Ave
                                    ", 10 East 52nd Street 10022,115 votes,"
                                        3.9
                                    ",Cost for two:$100,-73.9756381,40.7592885
"Gennaro
                                    "," 665 Amsterdam Avenue, New York 10025",149 votes,"
                                        4.4
                                    ",Cost for two:$100,-73.9717285,40.7917717
"Boulud Sud
                                    "," 20 West 64th Street, Upper West Side, Lincoln Square, New York City 10023",",","
                                        4.0
                                    ",Cost for two:$120,-73.9810681,40.77156009999999
"Tanoreen
                                    ", 7523 3rd Avenue 11220,108 votes,"
                                        4.3
                                    ",Cost for two:$70,-74.02778649999999,40.63079159999999
"Barbounia
                                    ", 250 Park Avenue South 10003,111 votes,"
                                        4.0
                                    ",Cost for two:$80,-73.98821989999999,40.7382621
"Balaboosta
                                    "," 611 Hudson Street, West Village, New York City 10012",72 votes,"
                                        3.9
                                    ",Cost for two:$100,-74.00588929999999,40.7376733
"Gazala's Place
                                    "," 709 9th Avenue, New York 10019",86 votes,"
                                        4.3
                                    ",Cost for two:$45,-73.9899822,40.7627104
"Hummus Place
                                    ", 305 Amsterdam Avenue 10023,93 votes,"
                                        4.1
                                    ",Cost for two:$30,-73.9803129,40.7800578
"Sunrise Diner
                                    "," 45-04 Parsons Boulevard, Queens 11355",Cuisines: ,"
                                        -
                                    ",Cost for two:$30,-73.81572659999999,40.7554406
"Karizma Hookah Lounge
                                    "," 244 E 51st Street, New York 10022",",","
                                        -
                                    ",Cost for two:$50,-73.9688382,40.755575
"Horus Too
                                    "," 416 W 46th Street, New York 10036",Cuisines: ,"
                                        -
                                    ",Cost for two:$75,-73.9918935,40.7612476
"Memo Shish Kebab
                                    "," 100 West 23rd Street, New York, NY",Cuisines: ,"
                                        -
                                    ",Cost for two:$15,-73.99317239999999,40.74285769999999
"Hummus & Pita Co.
                                    "," 616 8th Avenue, New York 10018",Cuisines: ,"
                                        -
                                    ",Cost for two:$25,-73.9906592,40.7557131
"Tru Astoria
                                    "," 35-19 Ditmars Boulevard, Queens 11105",Cuisines: ,"
                                        -
                                    ",Cost for two:$60,-73.908095,40.774609
"Çka ka Qellu
                                    "," 2321 Hughes Avenue, Bronx, NY 10458",Cuisines: ,"
                                        -
                                    ",Cost for two:$25,-73.8882215,40.853927
"New York Falafel
                                    "," 127 Wyckoff Ave, Brooklyn, NY 11237",",","
                                        -
                                    ",Cost for two:$25,-73.9187482,40.7042533
"Zaghloul Grill
                                    "," 61 Anthony J Crecca Junior Plaza, New Dorp 10306",Cuisines: ,"
                                        -
                                    ",Cost for two:$75,-74.1176875,40.5736815
"Hayaty
                                    "," 103 Avenue A, New York 10009",",","
                                        -
                                    ",Cost for two:$80,-73.9839516,40.7259217
"Adana Grill
                                    "," 723 3rd Avenue, New York 10017",Cuisines: ,"
                                        -
                                    ",Cost for two:$35,-73.972657,40.7527781
"Cafe Noir
                                    "," 35 Lispenard Street, New York 10013",Cuisines: ,"
                                        -
                                    ",Cost for two:$80,-74.00350999999999,40.7200015
"Pi Bakerie
                                    ", 512 Broome Street 10013,",","
                                        3.0
                                    ",Cost for two:$30,-74.00334219999999,40.723645
"Kilo No. 857
                                    "," 857 9th Avenue, New York 10019",7 votes,"
                                        3.4
                                    ",Cost for two:$60,-73.98665299999999,40.7671347
"Taverna Kyclades
                                    "," 228 1st Avenue, New York 10009",4 votes,"
                                        2.7
                                    ",Cost for two:$80,-73.9825918,40.7310004
"Mini Star Restaurant
                                    "," 30-02 Steinway Street, Astoria 11103",5 votes,"
                                        3.7
                                    ",Cost for two:$25,-73.9152218,40.7638592
"A & S Greek Deli and Butcher
                                    "," 7918 5th Avenue, Brooklyn 11209",4 votes,"
                                        3.6
                                    ",Cost for two:$25,-74.024248,40.6261952
"Cafe 31 Sports Bar & Grill
                                    "," 220 W 31st Street, New York 10001",",","
                                        3.3
                                    ",Cost for two:$75,-73.99310799999999,40.7494712
"To Laiko
                                    "," 29-29 23rd Avenue, Queens 11105",0 votes,"
                                        3.1
                                    ",Cost for two:$20,-73.91295,40.7746252
"Sunflower Cafe
                                    "," 1223 Quentin Road, Brooklyn 11229",",","
                                        3.8
                                    ",Cost for two:$50,-73.960242,40.6082417
"The Gavel Grill
                                    "," 9 Hyatt Street, Street. George 10301",",","
                                        3.8
                                    ",Cost for two:$25,-74.0768044,40.6422101
