Name,Address,Votes,Rating,cost,Longitude,Latitude
"Rosa Mexicano
                                    ", 61 Columbus Avenue 10023,442 votes,"
                                        4.5
                                    ",Cost for two:$70,-73.9827734,40.771079
"La Esquina
                                    "," 114 Kenmare Street, New York 10012",434 votes,"
                                        4.4
                                    ",Cost for two:$70,-73.99759449999999,40.72139869999999
"Toloache 50th
                                    ", 251 West 50th Street 10019,187 votes,"
                                        4.3
                                    ",Cost for two:$70,-73.9855741,40.7623091
"Dos Caminos
                                    ", 475 West Broadway 10012,",","
                                        4.2
                                    ",Cost for two:$60,-73.999915,40.7266115
"El Centro
                                    "," 824 9th Avenue, New York 10019",150 votes,"
                                        4.3
                                    ",Cost for two:$60,-73.9868912,40.76601549999999
"Rocking Horse Café
                                    "," 182 8th Avenue, New York 10011",115 votes,"
                                        4.3
                                    ",Cost for two:$70,-73.9999607,40.7429063
"Empellon Taqueria
                                    ", 230 West 4th Street 10014,",","
                                        3.9
                                    ",Cost for two:$70,-74.00306830000001,40.73414200000001
"Cascabel Taqueria
                                    ", 1556 2Nd Avenue 10028,110 votes,"
                                        4.3
                                    ",Cost for two:$60,-73.9540066,40.7743791
"Chavelas
                                    ", 736 Franklin Avenue 11238,",","
                                        4.6
                                    ",Cost for two:$25,-73.9571292,40.6734632
"Café Frida
                                    ", 368 Columbus Avenue 10024,116 votes,"
                                        4.0
                                    ",Cost for two:$60,-73.97646399999999,40.7809766
"Tacombi at Fonda Nolita
                                    "," 267 Elizabeth Street, New York 10012",91 votes,"
                                        4.2
                                    ",Cost for two:$50,-73.99386129999999,40.7239981
"Cosme
                                    ", 35 East 21st Street 10010,40 votes,"
                                        3.9
                                    ",Cost for two:$100,-73.98835640000001,40.7395952
"Casa Enrique
                                    "," 5-48 49th Avenue, Queens 11101",42 votes,"
                                        4.2
                                    ",Cost for two:$70,-73.95423509999999,40.7433938
"5 Burro Cafe
                                    ", 72-05 Austin Street 11375,102 votes,"
                                        4.4
                                    ",Cost for two:$75,-73.8423707,40.7193534
"Barrio Chino
                                    "," 253 Broome Street, New York 10002",",","
                                        4.4
                                    ",Cost for two:$75,-73.99009699999999,40.7179754
"Cemita's
                                    "," 27 N 6th St, Brooklyn 11249",4 votes,"
                                        3.1
                                    ",Cost for two:$25,-73.9625832,40.7201762
"Pancho's restaurant
                                    "," 6823 3rd Avenue, Brooklyn 11220",3 votes,"
                                        3.3
                                    ",Cost for two:$25,-74.025787,40.63580049999999
"Atla
                                    "," 372 Lafayette St, New York City, NY, New York City",4 votes,"
                                        2.9
                                    ",Cost for two:$20,-73.9940491,40.7271217
"Habanero Blues
                                    ", 29 West 36th Street 10018,",","
                                        2.6
                                    ",Cost for two:$60,-73.985069,40.7505665
"El Tenampa Deli Grocery
                                    "," 706 4th Avenue, New York 11232",2 votes,"
                                        3.1
                                    ",Cost for two:$25,-73.99635210000001,40.6624657
"Line Bagels
                                    "," 476 Smith Street, Brooklyn 11231",",","
                                        3.4
                                    ",Cost for two:$25,-73.99788640000001,40.6749048
"Zefes Mexican Restaurant
                                    "," 1224 Myrtle Avenue, Brooklyn 11221",2 votes,"
                                        3.4
                                    ",Cost for two:$30,-73.9289785,40.6975133
