Name,Address,Votes,Rating,cost,Longitude,Latitude
"Goode Company Barbeque
                                    "," 5109 Kirby Drive, Houston 77098",586 votes,"
                                        4.4
                                    ",Cost for two:$60,-95.4182964,29.7270153
"T-Bone Tom's
                                    "," 707 Hwy 146, Kemah 77565",186 votes,"
                                        4.1
                                    ",Cost for two:$25,-95.0198704,29.5416408
"Hickory Hollow Restaurants & Catering
                                    ", 101 Heights Boulevard 77007,166 votes,"
                                        4.1
                                    ",Cost for two:$40,-95.3975954,29.7706171
"Gatlin's Barbecue
                                    ", 3510 Ella Boulevard 77018,134 votes,"
                                        4.2
                                    ",Cost for two:$25,-95.42909979999999,29.8197378
"Central Texas Style BBQ
                                    ", 4110 Broadway Street 77581,156 votes,"
                                        4.4
                                    ",Cost for two:$20,-95.2880009,29.5635274
"Corkscrew BBQ
                                    "," 26608 Keith Street, Old Town, Spring 77373",120 votes,"
                                        4.2
                                    ",Cost for two:$25,-95.41993099999999,30.080689
"Rudy's Country Store And Bar-B-Q
                                    "," 20806 Interstate 45, Spring 77373",143 votes,"
                                        4.2
                                    ",Cost for two:$25,-95.43360179999999,30.068253
"Texas Roadhouse
                                    "," 13345 FM 1960 Road W, Houston 77065",135 votes,"
                                        4.4
                                    ",Cost for two:$45,-95.61766349999999,29.9152274
"Pit-Master Bar-B-Que
                                    ", 343 Sawdust Road 77380,123 votes,"
                                        3.9
                                    ",Cost for two:$25,-95.44852399999999,30.1265736
"Tin Roof BBQ
                                    "," 18918 Town Center Boulvard, Humble 77346",104 votes,"
                                        4.2
                                    ",Cost for two:$35,-95.17415729999999,29.9962395
"Red River Barbecue and Grill
                                    "," 1911 E Main Street, League City 77573",121 votes,"
                                        4.4
                                    ",Cost for two:$40,-95.0776411,29.5201244
"Killen's Barbecue
                                    "," 3613 E Broadway Street, Pearland 77581",65 votes,"
                                        4.1
                                    ",Cost for two:$75,-95.2822807,29.5640332
"Mia's Table
                                    "," 3131 Argonne Street, Houston 77098",51 votes,"
                                        3.8
                                    ",Cost for two:$45,-95.4173144,29.73706929999999
"The Swinging Door
                                    ", 3818 FM 359 Road 77469,123 votes,"
                                        4.4
                                    ",Cost for two:$25,-95.76936239999999,29.6274061
"Luling City Market
                                    ", 4726 Richmond Avenue. 77027,115 votes,"
                                        3.8
                                    ",Cost for two:$20,-95.4573137,29.7331026
"True Texas BBQ
                                    ", 4517 Kingwood Drive,",","
                                        -
                                    ",Cost for two:$15,-95.1821126,30.0510409
"D's Farm Road BBQ
                                    ", 7393 FM 1488 77354,Cuisines: ,"
                                        -
                                    ",Cost for two:$30,-95.580389,30.220215
"Irv's BBQ
                                    "," 40203 US-290, Waller 77484",Cuisines: ,"
                                        -
                                    ",Cost for two:$30,-95.9197975,30.0669105
"El Paisa BBQ
                                    ", 9360 Richmond Avenue 77063,Cuisines: ,"
                                        -
                                    ",Cost for two:$15,-95.52913710000001,29.729354
"Colwell's Barbeque Soul Food
                                    "," 9230 Jensen Dr, Houston 77093",Cuisines: ,"
                                        -
                                    ",Cost for two:$25,-95.3425245,29.8459338
"Tail Gate Grill
                                    "," 22008 Rosehill Pines, Tomball 77377",Cuisines: ,"
                                        -
                                    ",Cost for two:$25,-95.7300008,30.081795
"Hot Pit Bar B Q
                                    "," 17334 Beaumont Hwy, Sheldon, Houston",Cuisines: ,"
                                        -
                                    ",Cost for two:$20,-95.12866059999999,29.86725299999999
"Up In Smoke BBQ
                                    "," (Serving Midland and Surrounding areas), 5017 Pimlico Dr, Houston 79707",Cuisines: ,"
                                        -
                                    ",Cost for two:$20,-102.1651033,32.0411314
"Paw Paw Chico BBQ
                                    ", 26835 Cypresswood Drive. Spring 77373,Cuisines: ,"
                                        -
                                    ",Cost for two:$20,-95.3946709,30.0620905
"The Meating Place BBQ & Bakery
                                    ", 35421 TX-249,Cuisines: ,"
                                        -
                                    ",Cost for two:$40,-95.68315530000001,30.17078249999999
"Kababjees
                                    ", 5600 Hillcroft Street,Cuisines: ,"
                                        -
                                    ",Cost for two:$30,-95.50133799999999,29.72188349999999
"Casey's Hot Wings & More
                                    "," 5204 Live Oak St, Houston 77004",Cuisines: ,"
                                        -
                                    ",Cost for two:$25,-95.3733242,29.7194836
