Name,Address,Votes,Rating
"Los Cucos Mexican Cafe
                                    ", 4775 West Panther Creek Drive 77381,97 votes,"
                                        4.0
                                    "
"Hugo's
                                    "," 1600 Westheimer Road, Houston 77006",552 votes,"
                                        4.8
                                    "
"Teotihuacan Mexican Cafe
                                    ", 1511 Airline Drive 77009,290 votes,"
                                        4.6
                                    "
"Alicia's Mexican Grille
                                    "," 26326 NW Freeway, Cypress 77429",222 votes,"
                                        4.3
                                    "
"El Tiempo Cantina
                                    ", 5602 Washington Avenue 77007,230 votes,"
                                        4.5
                                    "
"Lupe Tortilla
                                    "," 318 Stafford Street, Houston 77079",200 votes,"
                                        4.4
                                    "
"Guadalajara Del Centro
                                    "," 1201 San Jacinto Street, Houston 77002",116 votes,"
                                        4.3
                                    "
"Arnaldo Richard's Picos
                                    "," 3601 Kirby Drive, Upper Kirby District 77098",113 votes,"
                                        4.1
                                    "
"Lopez Mexican
                                    "," 11606 Wilcrest Drive, Houston 77099",108 votes,"
                                        4.4
                                    "
"Tortuga Coastal Cantina
                                    ", 6010 Seawall Boulevard 77551,96 votes,"
                                        3.7
                                    "
"Spanish Flowers Mexican Restaurant
                                    ", 4701 North Main Street 77009,126 votes,"
                                        4.0
                                    "
"100% Taquito
                                    "," 3245 Southwest Fwy, Houston 77027",112 votes,"
                                        4.2
                                    "
"Chacho's
                                    "," 6006 Westheimer Road, Houston 77057",109 votes,"
                                        4.1
                                    "
"Tony's Mexican Restaurant
                                    ", 2222 Ella Boulevard 77008,96 votes,"
                                        4.1
                                    "
"La Guadalupana Bakery and Cafe
                                    "," 2109 Dunlavy Street, Houston 77006",85 votes,"
                                        4.2
                                    "
"Los Cucos Mexican Cafe
                                    ", 4775 West Panther Creek Drive 77381,97 votes,"
                                        4.0
                                    "
"Los Cucos Mexican Cafe
                                    ", 4775 West Panther Creek Drive 77381,97 votes,"
                                        4.0
                                    "
"Los Cucos Mexican Cafe
                                    ", 4775 West Panther Creek Drive 77381,97 votes,"
                                        4.0
                                    "
"Hugo's
                                    "," 1600 Westheimer Road, Houston 77006",552 votes,"
                                        4.8
                                    "
"Teotihuacan Mexican Cafe
                                    ", 1511 Airline Drive 77009,290 votes,"
                                        4.6
                                    "
"Alicia's Mexican Grille
                                    "," 26326 NW Freeway, Cypress 77429",222 votes,"
                                        4.3
                                    "
"El Tiempo Cantina
                                    ", 5602 Washington Avenue 77007,230 votes,"
                                        4.5
                                    "
"Lupe Tortilla
                                    "," 318 Stafford Street, Houston 77079",200 votes,"
                                        4.4
                                    "
"Guadalajara Del Centro
                                    "," 1201 San Jacinto Street, Houston 77002",116 votes,"
                                        4.3
                                    "
"Arnaldo Richard's Picos
                                    "," 3601 Kirby Drive, Upper Kirby District 77098",113 votes,"
                                        4.1
                                    "
"Lopez Mexican
                                    "," 11606 Wilcrest Drive, Houston 77099",108 votes,"
                                        4.4
                                    "
