Name,Latitude,Longitude,Votes,Rating
The Original Ninfa's on Navigation,29.75667,-95.3427,1329,4.0
Irma's Southwest,29.7575897012463,-95.3583053970873,324,4.0
La Fisheria,29.7634727117342,-95.3621543826332,525,4.0
La Calle Tacos,29.7634662971423,-95.3606901858526,556,4.0
Blanco Tacos + Tequila,29.7396,-95.465471,319,4.0
M&M Grill,29.70125,-95.38558,712,4.5
Xochi,29.754551,-95.3582,699,4.0
Calle Onze,29.79043,-95.39974,348,4.0
El Tiempo Cantina- Richmond,29.7342285,-95.4257327,732,4.0
El Tiempo Cantina - Navigation,29.75631,-95.34151,333,4.0
Superica,29.80193,-95.41033,276,4.0
Caracol,29.7433633233118,-95.4613215925904,1057,4.0
Cantina Barba,29.79085,-95.37339,127,4.5
Guadalajara Mexican Grille & Bar,29.72957,-95.4236899,373,4.0
Tacos Tierra Caliente,29.73829,-95.40826,824,4.5
Cabo Baja Tacos & Burritos,29.77071,-95.4071,300,4.0
Guadalajara Del Centro,29.7540366752636,-95.3644546895492,440,3.5
Eight Row Flint,29.79033,-95.39928,332,3.5
Hugo's,29.74317,-95.39977,1266,4.0
Cielito Cafe,29.748475,-95.401941,195,4.5
