Name,Latitude,Longitude,Votes,Rating
Chuy's,29.742689,-95.420446,700,3.5
Puebla's Mexican Kitchen,29.808234,-95.389334,179,4.5
Xochi,29.754551,-95.3582,699,4.0
Taqueria Del Sol,29.68577,-95.27652,356,4.0
The Original Ninfa's on Navigation,29.75667,-95.3427,1329,4.0
M&M Grill,29.70125,-95.38558,713,4.5
El Tiempo Cantina- Washington,29.7709916,-95.4189711,584,4.0
Habanera And the Guero,29.649753,-95.250624,486,4.0
Tepatitlan Mexican Grill,29.79836,-95.38254,90,3.5
Tacos A Go Go,29.81743,-95.44661,277,4.0
Lopez Mexican Restaurant,29.652959,-95.570695,513,4.0
Las Tortas Perronas,29.80462,-95.50133,470,5.0
Cuchara,29.748418,-95.385446,696,3.5
La Papa Sabor de Mexico,29.8706302035231,-95.3841342777014,1,4.0
Los Tios Westheimer,29.7361973498642,-95.5345357349113,85,3.0
Noyola's Mexican Restaurant,29.9991941466361,-95.2647339791653,92,4.0
Cantina Laredo,29.734671,-95.572154,212,3.5
Spanish Flowers Mexican Restaurant,29.7970336,-95.3819464,428,3.5
Aguirre's Tex-Mex,29.8696291239773,-95.6448008042297,460,4.5
Escalante's Fine Tex-Mex & Tequila,29.6887331780424,-95.4600315886078,214,3.5
Chuy's,29.742689,-95.420446,700,3.5
Puebla's Mexican Kitchen,29.808234,-95.389334,179,4.5
Xochi,29.754551,-95.3582,699,4.0
Taqueria Del Sol,29.68577,-95.27652,356,4.0
The Original Ninfa's on Navigation,29.75667,-95.3427,1329,4.0
M&M Grill,29.70125,-95.38558,713,4.5
El Tiempo Cantina- Washington,29.7709916,-95.4189711,584,4.0
Habanera And the Guero,29.649753,-95.250624,486,4.0
Tepatitlan Mexican Grill,29.79836,-95.38254,90,3.5
Tacos A Go Go,29.81743,-95.44661,277,4.0
Lopez Mexican Restaurant,29.652959,-95.570695,513,4.0
Las Tortas Perronas,29.80462,-95.50133,470,5.0
Cuchara,29.748418,-95.385446,696,3.5
La Papa Sabor de Mexico,29.8706302035231,-95.3841342777014,1,4.0
Los Tios Westheimer,29.7361973498642,-95.5345357349113,85,3.0
Noyola's Mexican Restaurant,29.9991941466361,-95.2647339791653,92,4.0
Cantina Laredo,29.734671,-95.572154,212,3.5
Spanish Flowers Mexican Restaurant,29.7970336,-95.3819464,428,3.5
Aguirre's Tex-Mex,29.8696291239773,-95.6448008042297,460,4.5
Escalante's Fine Tex-Mex & Tequila,29.6887331780424,-95.4600315886078,214,3.5
Chuy's,29.742689,-95.420446,700,3.5
Puebla's Mexican Kitchen,29.808234,-95.389334,179,4.5
Xochi,29.754551,-95.3582,699,4.0
Taqueria Del Sol,29.68577,-95.27652,356,4.0
The Original Ninfa's on Navigation,29.75667,-95.3427,1329,4.0
M&M Grill,29.70125,-95.38558,713,4.5
El Tiempo Cantina- Washington,29.7709916,-95.4189711,584,4.0
Habanera And the Guero,29.649753,-95.250624,486,4.0
Tepatitlan Mexican Grill,29.79836,-95.38254,90,3.5
Tacos A Go Go,29.81743,-95.44661,277,4.0
Lopez Mexican Restaurant,29.652959,-95.570695,513,4.0
Las Tortas Perronas,29.80462,-95.50133,470,5.0
Cuchara,29.748418,-95.385446,696,3.5
La Papa Sabor de Mexico,29.8706302035231,-95.3841342777014,1,4.0
Los Tios Westheimer,29.7361973498642,-95.5345357349113,85,3.0
Noyola's Mexican Restaurant,29.9991941466361,-95.2647339791653,92,4.0
Cantina Laredo,29.734671,-95.572154,212,3.5
Spanish Flowers Mexican Restaurant,29.7970336,-95.3819464,428,3.5
Aguirre's Tex-Mex,29.8696291239773,-95.6448008042297,460,4.5
Escalante's Fine Tex-Mex & Tequila,29.6887331780424,-95.4600315886078,214,3.5
