Name,Latitude,Longitude,Votes,Rating
Cafe Habana,40.722998,-73.994171,3134,4.0
Jajaja,40.7141530317142,-73.9904247969389,850,4.5
Xochimilco Family Restaurant,40.8185645,-73.9168277,87,4.5
Anejo,40.762577,-73.992919,662,3.5
La Contenta,40.71873,-73.98691,717,4.5
Zaragoza Mexican Deli & Grocery,40.730102,-73.980949,297,4.0
Dos Caminos,40.7421567897168,-73.9845427163755,1164,3.5
Los Tacos No.1,40.7425547,-74.0060838,2856,4.5
Mesa Coyoacan,40.715528,-73.944273,749,4.0
Mezcal's Mexican Restaurant- Carroll Gardens,40.676055,-73.999229,62,3.0
Arriba Arriba Midtown,40.7641288111074,-73.9882850646973,872,3.5
Oxomoco,40.7299099,-73.95548,256,4.0
Taqueria El Fogon,40.7044101,-73.9291005,157,3.5
Tulcingo Restaurant,40.748838,-73.863422,72,3.0
Taqueria Gramercy,40.7363,-73.98531,70,4.0
La Flor,40.74434,-73.91141,232,4.0
Sazon De Lupita Antojitos Mexicanos,40.87003,-73.9038577,31,4.0
Miti Miti,40.6786672454389,-73.9791200818081,892,4.0
Rosie's,40.72492,-73.99079,682,4.0
El Rio Grande,40.748074661455,-73.976690081965,615,3.5
Cafe Habana,40.722998,-73.994171,3134,4.0
Jajaja,40.7141530317142,-73.9904247969389,850,4.5
Xochimilco Family Restaurant,40.8185645,-73.9168277,87,4.5
Anejo,40.762577,-73.992919,662,3.5
La Contenta,40.71873,-73.98691,717,4.5
Zaragoza Mexican Deli & Grocery,40.730102,-73.980949,297,4.0
Dos Caminos,40.7421567897168,-73.9845427163755,1164,3.5
Los Tacos No.1,40.7425547,-74.0060838,2856,4.5
Mesa Coyoacan,40.715528,-73.944273,749,4.0
Mezcal's Mexican Restaurant- Carroll Gardens,40.676055,-73.999229,62,3.0
Arriba Arriba Midtown,40.7641288111074,-73.9882850646973,872,3.5
Oxomoco,40.7299099,-73.95548,256,4.0
Taqueria El Fogon,40.7044101,-73.9291005,157,3.5
Tulcingo Restaurant,40.748838,-73.863422,72,3.0
Taqueria Gramercy,40.7363,-73.98531,70,4.0
La Flor,40.74434,-73.91141,232,4.0
Sazon De Lupita Antojitos Mexicanos,40.87003,-73.9038577,31,4.0
Miti Miti,40.6786672454389,-73.9791200818081,892,4.0
Rosie's,40.72492,-73.99079,682,4.0
El Rio Grande,40.748074661455,-73.976690081965,615,3.5
Cafe Habana,40.722998,-73.994171,3134,4.0
Jajaja,40.7141530317142,-73.9904247969389,850,4.5
Xochimilco Family Restaurant,40.8185645,-73.9168277,87,4.5
Anejo,40.762577,-73.992919,662,3.5
La Contenta,40.71873,-73.98691,717,4.5
Zaragoza Mexican Deli & Grocery,40.730102,-73.980949,297,4.0
Dos Caminos,40.7421567897168,-73.9845427163755,1164,3.5
Los Tacos No.1,40.7425547,-74.0060838,2856,4.5
Mesa Coyoacan,40.715528,-73.944273,749,4.0
Mezcal's Mexican Restaurant- Carroll Gardens,40.676055,-73.999229,62,3.0
Arriba Arriba Midtown,40.7641288111074,-73.9882850646973,872,3.5
Oxomoco,40.7299099,-73.95548,256,4.0
Taqueria El Fogon,40.7044101,-73.9291005,157,3.5
Tulcingo Restaurant,40.748838,-73.863422,72,3.0
Taqueria Gramercy,40.7363,-73.98531,70,4.0
La Flor,40.74434,-73.91141,232,4.0
Sazon De Lupita Antojitos Mexicanos,40.87003,-73.9038577,31,4.0
Miti Miti,40.6786672454389,-73.9791200818081,892,4.0
Rosie's,40.72492,-73.99079,682,4.0
El Rio Grande,40.748074661455,-73.976690081965,615,3.5
