Name,Latitude,Longitude,Votes,Rating,Type
Gen Korean BBQ House,29.742687,-95.379709,100.0,4.0,bbq
The Pit Room,29.7342352703345,-95.3939679771603,1642.0,4.5,bbq
L&L Hawaiian Barbecue,29.77461,-95.398,25.0,4.5,bbq
Truth BBQ,29.76892,-95.39742,253.0,4.5,bbq
Pinkerton's Barbecue,29.79868,-95.3815,635.0,4.5,bbq
Ray's BBQ Shack,29.7026499,-95.3567173,660.0,4.5,bbq
Gyu-Kaku Japanese BBQ,29.7505917766388,-95.3753622367706,1344.0,4.0,bbq
Jackson Street BBQ,29.7588636332986,-95.3543785428204,438.0,4.0,bbq
Siu Lap City,29.74512,-95.37747,95.0,4.5,bbq
Gatlin's BBQ,29.8204165146057,-95.4290675846557,657.0,3.5,bbq
Brookstreet Bar-B-Que,29.7460823059082,-95.3914413452148,352.0,4.0,bbq
Harris County General Store Barbecue,29.74703,-95.30759,15.0,5.0,bbq
Barbecue Inn,29.82854,-95.40036,278.0,4.0,bbq
Fainmous BBQ,29.66818,-95.4637,287.0,4.0,bbq
Nickel Sandwich Grill,29.77669,-95.3148,58.0,4.0,bbq
Henderson & Kane,29.76597,-95.37954,56.0,5.0,bbq
Hoot's Smokehouse,29.735143213987,-95.2868901193142,29.0,4.5,bbq
Goode Company Barbeque,29.7270351632195,-95.4184110074096,1116.0,3.5,bbq
Two Brothers Smokin Oak Kitchen,29.67293,-95.4445,23.0,5.0,bbq
Blood Bros. BBQ,29.705155,-95.475517,164.0,4.5,bbq
Feges BBQ,29.731634,-95.431233,57.0,4.0,bbq
Hungry Farmer Barbeque,29.82807,-95.37868,104.0,3.5,bbq
Pappas Bar-B-Q,29.74853,-95.36857,240.0,3.0,bbq
Coffee-Q,29.7331987414394,-95.4231855645776,83.0,4.5,bbq
Demeris Bar-B-Q,29.8005874,-95.4482664,150.0,3.5,bbq
Boxcar BBQ,29.8282298,-95.4253757,1.0,5.0,bbq
True Bark BBQ,29.73843,-95.40781,3.0,5.0,bbq
MC's Barbecue,29.8098730215812,-95.3267430514097,11.0,4.0,bbq
House of Blues Restaurant & Bar,29.7538392,-95.3637491,82.0,3.5,bbq
Victorian's Barbecue,29.7604267,-95.3698028,7.0,4.5,bbq
Colwell's BBQ/Soul Food and More,29.846,-95.34244,10.0,4.0,bbq
OMG BBQ,29.8041560847877,-95.3853618683549,64.0,3.5,bbq
Pappas Bar-B-Q,29.66741,-95.26223,109.0,3.0,bbq
RDQ,29.8345794677734,-95.4100570678711,7.0,5.0,bbq
Pizzitola's Bar-B-Cue,29.7756968,-95.4097256,188.0,3.5,bbq
Demeris Bar-B-Q,29.73941,-95.4105,181.0,3.5,bbq
Pappas Bar-B-Q,29.69,-95.41714,215.0,3.0,bbq
Luling City Market,29.7331026,-95.4573137,231.0,3.0,bbq
Texas Tacos & BBQ,29.73314,-95.3289,62.0,3.5,bbq
Napoli Wine Cafe,29.770219,-95.407797,6.0,4.0,bbq
Homestyle Restaurant,29.7022200963645,-95.3492786362767,7.0,4.0,bbq
Khoi Barbecue,29.7446994781494,-95.3861083984375,5.0,5.0,bbq
Ottos,29.76035,-95.36416,15.0,4.0,bbq
The Bookity Bookity Boudain Man,29.6918048858643,-95.3534317016602,14.0,3.5,bbq
Pappas Bar-B-Q,29.758256096022,-95.3692006465576,69.0,2.5,bbq
Otto's Bar B Que & Hamburgers Downtown,29.757639,-95.370361,38.0,3.5,bbq
