Name,Latitude,Longitude,Votes,Rating,Type
Gen Korean BBQ House,29.742687,-95.379709,100,4.0,indian
Bosscat Kitchen & Libations,29.7418,-95.450518,1608,4.5,indian
Ritual,29.78193,-95.38735,1353,4.0,indian
The Pit Room,29.7342352703345,-95.3939679771603,1642,4.5,indian
Bird Haus,29.76036,-95.3615819,80,4.5,indian
BCK,29.7887995448524,-95.388083953373,780,4.5,indian
La Lucha,29.80193,-95.41033,274,4.5,indian
The Rustic,29.7502708,-95.3595825,483,4.0,indian
The Breakfast Klub,29.73843,-95.38048,4279,4.5,indian
Ambrosia,29.731809,-95.409689,890,4.0,indian
Traveler's Table,29.7447631258091,-95.3880459442735,48,4.5,indian
Postino Montrose,29.74651,-95.39033,63,4.5,indian
Oporto Fooding House & Wine,29.7531384239378,-95.3802139853275,941,4.5,indian
Lucille's,29.72388,-95.38515,828,4.0,indian
Grace's,29.737020211778,-95.4185060876135,817,4.0,indian
Mico’s Hot Chicken,29.7364923677041,-95.476171,208,4.5,indian
Studewood Cantine,29.79147,-95.38829,76,4.5,indian
Kulture,29.7545999989511,-95.3567959944427,314,4.0,indian
One Dim Sum,29.75076,-95.37554,106,3.5,indian
Sixty Vines,29.7160551435419,-95.4172210115955,71,4.5,indian
Stanton's City Bites,29.770945,-95.372068,1089,4.5,indian
Local Foods,29.7195096809181,-95.4164240674591,1509,4.5,indian
State of Grace,29.7424624840221,-95.4252861972305,637,4.5,indian
Nancy's Hustle,29.74551,-95.3520999,512,4.5,indian
JINYA Ramen Bar,29.742755,-95.379845,2778,4.5,indian
Yoyo's Hot Dog,29.7162012025613,-95.4146640004135,750,4.5,indian
The Blind Goat,29.76156,-95.36228,148,4.0,indian
L&L Hawaiian Barbecue,29.77461,-95.398,25,4.5,indian
Truth BBQ,29.76892,-95.39742,253,4.5,indian
Nobie's,29.73536,-95.41004,360,4.5,indian
Merus Grill by J. Alexander's,29.75537,-95.45831,7,5.0,indian
The French Fry House,29.68129,-95.31999,165,4.5,indian
Dream Wings,29.81854,-95.42985,214,4.5,indian
Pinkerton's Barbecue,29.79868,-95.3815,635,4.5,indian
North Italia,29.7485868638914,-95.4620253208921,1517,4.0,indian
Ruggles Black,29.7313688242292,-95.4180035698364,545,4.0,indian
The Classic,29.77125,-95.42139,254,4.5,indian
Hearsay Market Square,29.763046,-95.3615717,1663,4.0,indian
Peli Peli,29.7397965769971,-95.4640101607907,1642,4.5,indian
Tiny Boxwoods,29.73851,-95.43509,1207,4.0,indian
Tiger Noodle House,29.717709,-95.416064,213,4.5,indian
Steak 48,29.741784,-95.454529,1040,4.5,indian
Gus's World Famous Fried Chicken,29.76753,-95.37655,570,4.0,indian
Mastrantos,29.788228,-95.388072,99,4.5,indian
Rodeo Goat,29.749827,-95.356385,503,4.5,indian
The Turkey Leg Hut,29.7259279609009,-95.377991348505,1012,3.5,indian
Rosie Cannonball,29.7429149,-95.3998577,32,4.0,indian
Squable,29.802594,-95.409436,103,4.5,indian
Fat Bao,29.7351499099632,-95.4181346297265,1566,4.0,indian
Conservatory,29.76038,-95.36162,486,4.5,indian
Lúa Viet Kitchen,29.73893,-95.39912,335,4.5,indian
Elliot's Table,29.77962,-95.41845,120,4.0,indian
Hu's Cooking,29.70645,-95.41693,221,4.5,indian
Chicken Station,29.73594,-95.30192,159,4.5,indian
rise nº2,29.74999,-95.462702,455,4.5,indian
Dish Society,29.79044,-95.39853,420,4.5,indian
Guard and Grace,29.7575888214359,-95.370075814426,3,5.0,indian
Mia's Table,29.73713,-95.41731,595,4.0,indian
Local Foods,29.7425611,-95.4181027,812,4.5,indian
La Fisheria,29.7634727117342,-95.3621543826332,526,4.0,indian
The Moonshiners Southern Table + Bar,29.76056,-95.36188,560,4.0,indian
House of Fries,29.843105,-95.472766,231,4.5,indian
Kenny & Ziggy's New York Delicatessen,29.7429019,-95.4608651,1137,4.0,indian
Truck Yard - Houston,29.75017,-95.35589,386,4.0,indian
Wanna Bao,29.74769,-95.38019,407,4.0,indian
Barnaby's Cafe,29.721761,-95.382537,584,4.0,indian
Street Food Thai Market,29.80417,-95.38505,265,4.5,indian
Crisp,29.8062839508057,-95.4220886230469,855,4.0,indian
Huynh Restaurant,29.75179,-95.35552,859,4.0,indian
The Rice Box,29.8037,-95.4017,623,4.0,indian
Anonymous Cafe,29.733156,-95.41801,79,5.0,indian
Postino Heights,29.78306,-95.3985299,402,4.0,indian
benjy's,29.719421,-95.416392,1123,4.0,indian
LES NOO'DLE,29.752078,-95.3918897,278,4.5,indian
Aladdin Mediterranean Cuisine,29.745032,-95.391123,1033,4.5,indian
Hearsay on the Green,29.752967,-95.361335,471,4.0,indian
Saint Arnold Brewing Company,29.771458,-95.34779,832,4.5,indian
On The Kirb,29.7275609954157,-95.4188848876245,448,4.5,indian
Ray's BBQ Shack,29.7026499,-95.3567173,660,4.5,indian
Baby Barnaby's,29.7483,-95.38828,1315,4.5,indian
Eunice,29.7323075,-95.4278721,213,4.5,indian
Candente,29.73415,-95.39313,56,4.0,indian
Field & Tides,29.7910957336426,-95.3896789550781,396,4.0,indian
Kokoro,29.76156,-95.36228,68,4.5,indian
Hamburger Mary's,29.74768,-95.39075,270,4.0,indian
Little Matt's,29.71587,-95.43353,500,4.5,indian
The Original Ninfa's on Navigation,29.75667,-95.3427,1331,4.0,indian
Luna Pizzeria,29.7350980889096,-95.4177527502179,887,4.5,indian
M&M Grill,29.70125,-95.38558,712,4.5,indian
Mama’s Kitchen,29.7323257688598,-95.4388258070098,44,4.5,indian
Xochi,29.754551,-95.3582,700,4.0,indian
Grotto Downtown,29.7539178,-95.3571966,323,4.0,indian
Ono Poke,29.73431,-95.38741,713,4.5,indian
Gyu-Kaku Japanese BBQ,29.7505917766388,-95.3753622367706,1344,4.0,indian
Edison & Patton,29.79839,-95.36316,450,4.0,indian
Niko Niko's Greek & American Cafe,29.74651,-95.39218,1887,4.0,indian
MAD,29.743755,-95.453037,170,4.0,indian
Yauatcha,29.740199,-95.462726,668,4.0,indian
Cooking Girl,29.70636,-95.41496,214,4.0,indian
Shun Japanese Kitchen,29.74042,-95.41089,251,4.5,indian
The Kitchen at The Dunlavy,29.76114,-95.401872,736,4.0,indian
1751 Sea and Bar,29.77387,-95.39795,160,4.5,indian
Pinstripes,29.7354339,-95.4188049,17,4.5,indian
Ploughman's Deli & Cafe,29.840683,-95.420117,110,5.0,indian
District 7 Grill,29.7521019589688,-95.3747399760931,546,4.0,indian
Coltivare,29.7817,-95.39371,831,4.0,indian
Relish Restaurant & Bar,29.742346,-95.4211217,152,4.0,indian
City Acre Brewing,29.85699,-95.33508,120,4.5,indian
Roost,29.7447265,-95.4073275,529,4.0,indian
True Food Kitchen - Houston,29.749342,-95.462263,960,4.0,indian
Asia Market Thai Lao Food,29.7911832,-95.3728234,356,4.5,indian
Backstreet Café,29.75533,-95.40863,1314,4.0,indian
Fadi's Meyerland Mediterranean Grill,29.6894149,-95.4600067,650,4.5,indian
Cielito Cafe,29.748475,-95.401941,195,4.5,indian
Blanco Tacos + Tequila,29.7396,-95.465471,320,4.0,indian
Zen Japanese Izakaya,29.74762,-95.4103499,211,4.0,indian
Irma's Southwest,29.7575897012463,-95.3583053970873,324,4.0,indian
Preslee’s - Southern Good Eatery,29.80231,-95.42419,42,3.0,indian
Grand Lux Cafe,29.7412259641579,-95.4629382423279,855,3.5,indian
Moxie's Grill & Bar,29.7421763,-95.4623737,554,4.0,indian
The Stuffed Baked Potato Factory,29.6871998667623,-95.3411567819705,170,4.0,indian
Penny Quarter,29.743103,-95.396913,44,4.5,indian
El Tiempo Cantina- Richmond,29.7342285,-95.4257327,731,4.0,indian
Savoir,29.79596,-95.39889,34,4.0,indian
Andes Cafe,29.75829,-95.3464,372,4.0,indian
Caracol,29.7433633233118,-95.4613215925904,1056,4.0,indian
Velvet Taco,29.7700614929199,-95.4101257324219,1856,4.0,indian
Verdine,29.80336,-95.4052,151,4.0,indian
Istanbul Grill,29.71566,-95.41463,514,4.0,indian
The Burger Joint,29.74533,-95.39118,1014,4.0,indian
Liberty Taco,29.7325893491507,-95.4560000449419,656,4.5,indian
Esther's Cajun Cafe & Soul Food,29.84202,-95.40257,299,4.0,indian
MKT BAR,29.7544629017867,-95.3614359686478,576,4.0,indian
Uchi,29.74493,-95.39091,1819,4.5,indian
JINYA Ramen Bar,29.80336,-95.4052,56,4.5,indian
Pappadeaux Seafood Kitchen,29.750839,-95.359628,195,4.0,indian
Ike's Love & Sandwiches,29.7903824253055,-95.3978858305221,101,4.0,indian
Masraff's,29.74813,-95.46087,864,4.5,indian
Pepper Twins,29.74806,-95.38634,597,4.0,indian
Giacomo's Cibo e Vino,29.742032,-95.423718,511,4.0,indian
Jackson Street BBQ,29.7588636332986,-95.3543785428204,438,4.0,indian
Mendocino Farms,29.75766417,-95.457146,27,5.0,indian
Spicy Girl,29.7389782,-95.3801068,305,4.0,indian
Reggae Hut,29.7264276,-95.3776415,370,4.0,indian
Leeland House,29.74654,-95.35827,287,4.0,indian
Alice Blue,29.8027866863104,-95.4010648693115,201,4.0,indian
Osso & Kristalla,29.7574509,-95.3579026,242,4.0,indian
Olive & Twist,29.73435,-95.42048,51,4.5,indian
Mendocino Farms,29.716224,-95.415251,117,4.0,indian
BB's Tex-Orleans,29.78133,-95.38794,767,4.0,indian
Hopdoddy Burger Bar,29.7156587268155,-95.4153643206374,530,4.0,indian
Paulie's,29.7428749,-95.4064275,781,4.0,indian
Good Dog Houston - Heights,29.78741,-95.38797,623,4.0,indian
Finn Hall,29.758662,-95.363796,189,4.0,indian
Rachels Cafe,29.7597414288733,-95.3599986477912,170,4.5,indian
Dak & Bop,29.721726,-95.382427,1026,3.5,indian
Roostar Vietnamese Grill,29.7313251,-95.4753633,685,4.5,indian
The Grove,29.7526501477753,-95.3603514211737,747,3.5,indian
The Hay Merchant,29.74494,-95.39303,992,4.0,indian
The Rice Box,29.7556801,-95.40862,164,4.0,indian
BCN Taste & Tradition,29.7349309,-95.390075,297,4.5,indian
King's Bierhaus,29.8041431,-95.4274122,533,4.0,indian
Pluckers Wing Bar,29.7735952,-95.4093677,918,3.5,indian
Rim Tanon,29.7340213532774,-95.4147996660098,352,4.5,indian
Hughie's,29.80131,-95.4317,710,4.0,indian
Urban Eats,29.7695392518322,-95.3949268650834,890,4.0,indian
Roma,29.7149,-95.41475,73,4.0,indian
La Sicilia,29.74425,-95.38821,201,4.5,indian
Bubba's Texas Burger Shack,29.7259695179953,-95.4668481174935,735,4.0,indian
Roti,29.7092641,-95.4014984,3,5.0,indian
Argentina Cafe,29.7351398468018,-95.4661560058594,368,4.0,indian
Mandola's Deli,29.73764,-95.33956,271,4.5,indian
