Name,Latitude,Longitude,Votes,Rating,Type
Postino Montrose,29.74651,-95.39033,63.0,4.5,italian
North Italia,29.7485868638914,-95.4620253208921,1517.0,4.0,italian
Crisp,29.8062839508057,-95.4220886230469,855.0,4.0,italian
Postino Heights,29.78306,-95.3985299,402.0,4.0,italian
Grotto Downtown,29.7539178,-95.3571966,323.0,4.0,italian
Coltivare,29.7817,-95.39371,831.0,4.0,italian
Giacomo's Cibo e Vino,29.742032,-95.423718,511.0,4.0,italian
Osso & Kristalla,29.7574509,-95.3579026,242.0,4.0,italian
Paulie's,29.7428749,-95.4064275,781.0,4.0,italian
Roma,29.7149,-95.41475,73.0,4.0,italian
Mandola's Deli,29.73764,-95.33956,271.0,4.5,italian
Bollo Woodfired Pizza,29.7389786,-95.4134581,579.0,4.5,italian
D'Amico's Italian Market Cafe,29.71598,-95.4153504,367.0,4.0,italian
Riva's Italian Restaurant,29.74605,-95.39248,516.0,4.0,italian
Perbacco,29.760168,-95.365059,167.0,4.0,italian
Piada Italian Street Food,29.76099,-95.42052,366.0,4.0,italian
Mia Bella Trattoria,29.7323697055943,-95.4381511442779,362.0,4.5,italian
Potente,29.7572378866031,-95.3574474900742,204.0,4.5,italian
Mia Bella Trattoria,29.7534684960069,-95.3641167312134,279.0,4.0,italian
Warehouse 72,29.785959,-95.465455,86.0,4.0,italian
Patrenella's,29.76912,-95.4021,347.0,4.0,italian
Da Marco,29.74313,-95.397814,324.0,4.0,italian
Maggiano's Little Italy,29.74507,-95.460509,634.0,3.5,italian
BOH Pasta & Pizza,29.7617656683504,-95.3621810104161,38.0,4.5,italian
Dolce Vita,29.744775,-95.38742,710.0,4.0,italian
Bistecca,29.744848,-95.383987,188.0,4.5,italian
Brooklyn Meatball,29.757522,-95.365165,153.0,4.5,italian
Rocco's,29.79333,-95.35928,57.0,4.5,italian
Sorrento Ristorante Italiano,29.7444128,-95.3867141,306.0,4.0,italian
La Griglia,29.75356,-95.40889,350.0,4.0,italian
Antica Osteria,29.725282,-95.413276,314.0,4.0,italian
Vinoteca Poscol,29.74476,-95.3893499,119.0,4.0,italian
Bellissimo Ristorante,29.804596,-95.381574,215.0,4.0,italian
Mina Ristorante,29.7381940494014,-95.4363139242039,16.0,4.0,italian
Marchese's Take-Home Kitchen,29.8409739831322,-95.4192708805203,25.0,5.0,italian
Fresco Cafe Italiano,29.7287262957213,-95.4316117488783,176.0,4.5,italian
Spaghetti Western Italian Cafe,29.775061,-95.409362,276.0,4.0,italian
Piola,29.74287233551,-95.3798845184326,587.0,4.0,italian
Carrabba's - The Original on Kirby,29.7364881579311,-95.4183509045328,450.0,4.0,italian
Pizzeria Solario,29.7347932634449,-95.4411491633683,293.0,4.0,italian
Your Pie,29.7522964518359,-95.3684243165043,254.0,4.5,italian
Damian's Cucina Italiana,29.74437,-95.3797,214.0,4.0,italian
Coppa Osteria,29.7189381,-95.4149874,467.0,3.5,italian
Cane Rosso,29.8025909301009,-95.4104705527425,385.0,3.5,italian
Buca di Beppo Italian Restaurant,29.7268984,-95.428406,482.0,3.0,italian
Cavatore Italian Restaurant,29.8052,-95.42883,343.0,3.5,italian
Rosalie Italian Soul,29.7579561439064,-95.3711798787117,15.0,3.5,italian
Divino,29.738854,-95.405942,85.0,4.0,italian
Romano's Pizza,29.7544062271704,-95.4004679195084,420.0,4.0,italian
Grotto Ristorante,29.740495,-95.456781,314.0,3.5,italian
Corelli's Italian Cafe,29.7380757,-95.4752726,117.0,4.0,italian
Fellini Caffè,29.718743376273,-95.4166178981476,403.0,4.0,italian
Piatto Ristorante,29.737821,-95.459841,122.0,4.0,italian
Brooklyn Meatball,29.7549739,-95.3626406,32.0,4.5,italian
Star Pizza,29.7700571,-95.3961846,437.0,3.5,italian
George's Pizza & Italian Cuisine,29.684696826131,-95.2940165599106,39.0,4.0,italian
Nundini Chef's Table,29.78044,-95.40868,274.0,3.5,italian
Nino's,29.757238682246,-95.3954217327958,128.0,4.0,italian
Olive Garden Italian Restaurant,29.729419,-95.425071,163.0,3.0,italian
Prima Pasta,29.7054576873779,-95.4179534912109,192.0,3.5,italian
Prego,29.7160143601348,-95.4175163136998,267.0,3.5,italian
Quattro Restaurant,29.75401,-95.36277,196.0,4.0,italian
Mona Fresh Italian Food -Downtown,29.759444,-95.3648084,10.0,3.5,italian
Napoli Wine Cafe,29.770219,-95.407797,6.0,4.0,italian
Ristorante Cavour,29.757721,-95.45835,46.0,3.5,italian
Nick's Grill,29.8092959237297,-95.4585531318746,98.0,3.5,italian
Enoteca Rossa,29.7144304,-95.4548667,178.0,4.0,italian
La Fresca Pizza,29.7076867,-95.4180686,153.0,4.0,italian
Spaghetti Western,29.802631210278,-95.4327419183379,92.0,3.5,italian
Little Napoli Italian Cuisine,29.7627097,-95.3673287,317.0,2.5,italian
Vincent's Restaurant,29.7572382989492,-95.395042765765,173.0,3.5,italian
Pronto Cucinino,29.75476,-95.39173,173.0,3.0,italian
Candelari's Pizzeria,29.705848,-95.419186,221.0,3.5,italian
Russo's New York Pizzeria,29.6890166,-95.4130874,142.0,3.5,italian
Russo's New York Pizzeria,29.75198,-95.37711,236.0,3.0,italian
Collina's Italian Cafe,29.8026951,-95.4061526,219.0,3.0,italian
Olive Garden Italian Restaurant,29.81633,-95.46388,111.0,3.0,italian
Collina's Italian Cafe,29.7323433828409,-95.4397344589233,229.0,3.5,italian
Pizzini's Italian Restaurant,29.772102355957,-95.2473602294922,29.0,4.0,italian
Olive Garden Italian Restaurant,29.691725,-95.414985,167.0,2.5,italian
Gugliani's,29.6896173133713,-95.4652434911208,128.0,3.5,italian
Russo's New York Pizzeria,29.7857075114367,-95.4656290997528,122.0,3.5,italian
Original Napoli By Papa Zack,29.6894215,-95.4753952,88.0,4.0,italian
Mamma Altman's Kangaroo Pizza,29.85916,-95.40984,23.0,4.5,italian
Fuzzy's Pizza & Cafe,29.7814621,-95.4756749,178.0,3.0,italian
Bambolino's Italian Kitchen,29.74255,-95.3987,110.0,3.5,italian
Birraporetti's,29.76224,-95.36491,382.0,3.0,italian
Pronto Cucinino,29.7058851,-95.4270885,100.0,3.0,italian
Sarpinos Pizzeria,29.697266,-95.4166058,144.0,3.5,italian
Auntie Pasto's,29.7054076,-95.4749189,214.0,4.0,italian
Russo's New York Pizzeria,29.6893849,-95.4641114,135.0,3.5,italian
Grappino Di Nino,29.757238682246,-95.3954217327958,55.0,3.5,italian
Russo's New York Pizzeria,29.756283,-95.370379,77.0,2.5,italian
Luigi's Italian Food,29.748648,-95.378565,29.0,3.5,italian
Texas Pizza,29.734,-95.40683,131.0,3.0,italian
Luigi's Pizzeria,29.7158443182707,-95.4516863822937,197.0,4.0,italian
Picatta,29.85996,-95.47387,29.0,3.5,italian
Pizza Love,29.7420116336118,-95.3906176399355,100.0,3.0,italian
George's Italian Pizzaria,29.684780713517,-95.2940326531647,29.0,3.5,italian
Fuzzy's Pizza & Sport Cafe,29.70426,-95.47318,24.0,4.0,italian
Edo's Cafe On the Park,29.7477684020996,-95.4517822265625,9.0,3.0,italian
La Dolce Vita Cafe,29.75659,-95.36845,21.0,3.0,italian
Food Music Life,29.73447,-95.42394,10.0,3.5,italian
Pizza Hut,29.7065440570791,-95.412196,38.0,2.0,italian
Pizza Hut,40.58359,-86.68242,2.0,3.0,italian
Sbarro,29.738978,-95.46251,15.0,2.5,italian
Pizza Hut,29.7518351489449,-95.355478901497,41.0,1.5,italian
Ponte Vecchio,29.7580735,-95.370181,1.0,2.0,italian
