Name,Latitude,Longitude,Votes,Rating,Type
Aladdin Mediterranean Cuisine,29.745032,-95.391123,1033.0,4.5,mediterranean
M&M Grill,29.70125,-95.38558,712.0,4.5,mediterranean
Niko Niko's Greek & American Cafe,29.74651,-95.39218,1887.0,4.0,mediterranean
Fadi's Meyerland Mediterranean Grill,29.6894149,-95.4600067,650.0,4.5,mediterranean
Savoir,29.79596,-95.39889,34.0,4.0,mediterranean
Istanbul Grill,29.71566,-95.41463,514.0,4.0,mediterranean
Roti,29.7092641,-95.4014984,3.0,5.0,mediterranean
The Gyro Grill Guys,29.743904,-95.364636,213.0,4.5,mediterranean
Gusto Gourmet,29.7362906,-95.4108062,281.0,4.5,mediterranean
Lucienne,29.7551246407975,-95.3660582005978,65.0,4.0,mediterranean
Pasha,29.7148246765137,-95.4138641357422,291.0,4.0,mediterranean
Fig & Olive - Houston,29.7396908,-95.4652897,268.0,4.0,mediterranean
La Table,29.7473478503039,-95.4616583121282,265.0,4.0,mediterranean
The Halal Guys,29.732289,-95.4121366,1050.0,4.0,mediterranean
Hungry's,29.71784,-95.41363,715.0,3.5,mediterranean
Yia Yia Mary's,29.74753,-95.45791,699.0,3.5,mediterranean
Fadi's Eatery,29.72173,-95.38244,63.0,4.5,mediterranean
Roti Modern Mediterranean,29.709644,-95.401239,2.0,5.0,mediterranean
Mary'z Mediterranean Cuisine,29.7706311048388,-95.4068061172845,216.0,4.0,mediterranean
Gyro Hut,29.69939,-95.3857,219.0,4.5,mediterranean
Aladdin Mediterranean Grill - Garden Oaks,29.8166847925393,-95.4307027906179,126.0,4.5,mediterranean
Warehouse 72,29.785959,-95.465455,86.0,4.0,mediterranean
Doris Metropolitan,29.740215,-95.410475,200.0,4.5,mediterranean
Ouzo Bay,29.742318,-95.453565,96.0,3.5,mediterranean
The Halal Guys,29.7097897,-95.4020403,75.0,4.5,mediterranean
Island Grill,29.7170844423813,-95.4142375909825,85.0,4.0,mediterranean
Safina,29.7082022615957,-95.4041817784309,22.0,3.5,mediterranean
La Fendee Mediterranean Grill,29.743457,-95.396209,247.0,4.0,mediterranean
Al Quick Stop,29.750144,-95.396713,244.0,4.5,mediterranean
The '401,29.70708,-95.47299,225.0,4.5,mediterranean
Tayeb Mandi and Mediterranean Grill,29.6841,-95.39154,54.0,4.0,mediterranean
Oddball Eats,29.7586595383299,-95.3639031509986,53.0,4.5,mediterranean
Arabella Mediterranean Cuisine,29.7577299875209,-95.3649598360062,44.0,4.0,mediterranean
Island Grill,29.706743973198,-95.4421083166717,126.0,4.0,mediterranean
Baran's Cafe,29.7322624465591,-95.4394702613354,24.0,4.5,mediterranean
Chef On The Run Halal,29.6933756544385,-95.4156259580266,118.0,4.5,mediterranean
Dimassi's Mediterranean Buffet,29.732611265307,-95.4659654641462,113.0,4.0,mediterranean
Zoes Kitchen,29.7420971258667,-95.4427541001132,110.0,4.0,mediterranean
Just Falafel,29.7579460661911,-95.3710331123032,49.0,4.0,mediterranean
Cafe Layal Midtown,29.75299,-95.37782,353.0,3.5,mediterranean
Strato 550,29.7546050769049,-95.3698692843318,7.0,4.0,mediterranean
Zoes Kitchen,29.7704308629164,-95.4012509389213,177.0,3.5,mediterranean
Sult'an Pepper,29.7391202406309,-95.4624293416815,60.0,4.0,mediterranean
Kenz,29.7417332050694,-95.4629419170776,14.0,4.0,mediterranean
Sizzling Gyro,29.7059208,-95.4139797,36.0,4.0,mediterranean
Mediterranean Grill House,29.758873,-95.365029,19.0,4.0,mediterranean
Nick's Grill,29.8092959237297,-95.4585531318746,98.0,3.5,mediterranean
Zoes Kitchen,29.8037403828718,-95.4012017,77.0,3.5,mediterranean
Zoes Kitchen,29.7182163924485,-95.4164797067642,86.0,3.5,mediterranean
Chatter's Cafe & Bistro,29.768131,-95.397368,168.0,3.5,mediterranean
Alarabi Mediterranean Grill,29.73689,-95.50739,29.0,4.5,mediterranean
Azuza,29.76999,-95.403,14.0,3.5,mediterranean
Lulus Mediterranean,29.730681,-95.431788,5.0,4.5,mediterranean
Dimassi's Mediterranean Kitchen,29.7583320800079,-95.365730657713,16.0,3.5,mediterranean
Shawarma Wagon,29.77035,-95.41606,1.0,5.0,mediterranean
Cueva,29.754551,-95.3582,4.0,3.5,mediterranean
Tasty Sandwich,29.6986720398554,-95.3863397240639,23.0,4.0,mediterranean
Shawarma Stop,29.74295,-95.39627,3.0,4.5,mediterranean
Fresh Choice Cafe,29.747445,-95.45753,9.0,4.0,mediterranean
Lime and Mint,29.7494815,-95.4610751,2.0,4.5,mediterranean
Abu Omar Halal,29.761043,-95.362063,3.0,3.5,mediterranean
The Wine Cellar,29.762480803871,-95.3667662493385,39.0,2.5,mediterranean
Tony's Mediterranean Grill,29.75744,-95.36518,6.0,3.5,mediterranean
The Gyro Joint,29.677217,-95.336887,5.0,3.0,mediterranean
Gyroland,29.7553735535867,-95.3698271934649,6.0,2.5,mediterranean
Mediterraneo Bar & Grill,29.7421571841317,-95.4571524432859,2.0,2.0,mediterranean
Fresh Choice Cafe,29.71168,-95.4615199,5.0,2.0,mediterranean
