Name,Latitude,Longitude,Votes,Rating,Type
Upstate,40.7263139141197,-73.9864901976935,1813,4.5,american
Amélie,40.7327,-73.99766,2618,4.5,american
Clinton Street Baking Company,40.721128,-73.983933,4916,4.0,american
LoveMama,40.7303859,-73.9860613,4721,4.5,american
Pies-n-Thighs,40.711191,-73.961424,2830,4.0,american
Thai Villa,40.73902,-73.99065,3037,4.5,american
Barn Joo 35,40.74964,-73.98582,1822,4.5,american
BoCaphe,40.722046,-73.997557,1363,4.0,american
Joe's Shanghai,40.7146691442891,-73.9977602206654,5998,4.0,american
Anytime,40.74779,-73.98674,1027,4.5,american
Raku,40.7264988089246,-73.9866526052356,1000,4.5,american
Jacob's Pickles,40.7866504411994,-73.9755284786224,3976,4.0,american
Burger & Lobster,40.74007,-73.99344,5327,4.0,american
nonono,40.74545,-73.98499,593,4.5,american
Uglyduckling,40.686023,-73.991302,467,4.0,american
Boucherie West Village,40.733063,-74.0028772,1325,4.5,american
Chow House,40.72915,-74.00072,338,4.5,american
Aunt Jake's,40.7190315,-73.9977161,1390,4.0,american
Barn Joo,40.73684,-73.99069,1549,4.0,american
Jajaja,40.7141530317142,-73.9904247969389,853,4.5,american
Ainslie,40.712343,-73.952121,81,4.0,american
TONCHIN NEW YORK,40.7502727,-73.9844951,1002,4.5,american
Juliana's Pizza,40.7026153030093,-73.9934159993549,2115,4.5,american
Sweet Chick,40.7217399,-73.98739,1578,4.0,american
Thursday Kitchen,40.7275,-73.9838,1271,4.5,american
Chama Mama,40.7384,-73.99892,171,4.5,american
Momo King,40.6918,-73.98617,13,4.5,american
Jack's Wife Freda,40.72213,-73.99756,1850,4.0,american
Raku,40.72728,-74.00252,320,4.5,american
Zusik,40.73864,-74.00029,113,5.0,american
Ippudo NY,40.73092,-73.99015,9894,4.0,american
Dun Huang - East Village,40.73081,-73.98568,302,4.5,american
Zen Yai Pho Noodle Bar,40.713897,-73.960337,37,4.5,american
Fong On,40.71417,-73.9937,46,4.5,american
Luke's Lobster FiDi,40.7046213003984,-74.0107793876969,1127,4.5,american
Les Enfants de Boheme,40.7136187,-73.9888503,228,4.5,american
Fishmarket Restaurant,40.70717,-74.00192,539,4.5,american
Root & Bone,40.72272,-73.98334,1560,4.0,american
Juanchi's Burger,40.713003,-73.958863,385,4.5,american
Da Yu Hot Pot 大渝火锅,40.716733,-73.995379,104,4.0,american
Bogota Latin Bistro,40.678165,-73.978976,2136,4.0,american
The Jin,40.76857,-73.98874,190,4.5,american
Balzem,40.721408,-73.995415,415,4.0,american
PMF Pardon My French,40.72473,-73.98115,942,4.0,american
Bea,40.7591968,-73.9923361,2430,4.0,american
1803,40.715498,-74.007178,322,4.5,american
Raclette,40.7289298,-73.980601,1288,4.0,american
Despaña,40.7210686,-73.9979083,563,4.5,american
The Alcove,40.7459065,-73.915103,806,5.0,american
Alta,40.7345163811398,-73.9983369619683,1870,4.0,american
Cafe Mogador,40.719747,-73.959993,1143,4.5,american
Wah Fung No 1 Fast Food,40.71735,-73.99457,1351,4.5,american
Jajaja,40.72979,-74.00455,70,4.5,american
Atrium Dumbo,40.7033899,-73.9904923,657,3.5,american
Jongro BBQ,40.747514,-73.986884,1838,4.0,american
Katz's Delicatessen,40.722237,-73.98743,11867,4.0,american
Lillo Cucina Italiana,40.69023,-73.99634,118,5.0,american
Jane,40.72732,-74.00026,3110,4.0,american
88 Lan Zhou Handmade Noodle,40.7155,-73.99675,1782,4.0,american
JeJu Noodle Bar,40.73304,-74.00734,478,4.5,american
Hao Noodle and Tea By Madam Zhu's Kitchen,40.7334863190479,-73.9998929006093,696,4.0,american
Otis,40.706011,-73.932598,255,5.0,american
