Name,Latitude,Longitude,Votes,Rating,Type
Jajaja,40.7141530317142,-73.9904247969389,853,4.5,mexican
Jajaja,40.72979,-74.00455,70,4.5,mexican
Los Tacos No.1,40.7425547,-74.0060838,2858,4.5,mexican
Breakroom,40.7166907225542,-73.9999440120647,1568,4.5,mexican
La Contenta,40.71873,-73.98691,719,4.5,mexican
Los Tacos No.1,40.7575067,-73.9877717,1581,4.5,mexican
Toloache 50,40.762325,-73.9855741,1899,4.0,mexican
Miti Miti,40.6786672454389,-73.9791200818081,896,4.0,mexican
Cafe Habana,40.722998,-73.994171,3134,4.0,mexican
Casa Enrique,40.743404338358,-73.954350367693,1144,4.0,mexican
Rosie's,40.72492,-73.99079,683,4.0,mexican
Oxomoco,40.7299099,-73.95548,256,4.0,mexican
Flip Sigi,40.73405,-74.00642,678,4.0,mexican
Taco Dumbo,40.700601,-73.988467,181,4.0,mexican
Los Mariscos,40.74207,-74.00565,541,4.5,mexican
Vida Verde,40.7650089,-73.983215,1066,4.5,mexican
Mexicue,40.7434728927194,-73.9880464381069,437,4.0,mexican
Leyenda,40.68431,-73.99197,212,4.0,mexican
Barrio Chino,40.718022,-73.990026,1097,4.0,mexican
The Maze,40.747846,-73.9872499,414,4.0,mexican
Tacuba Hell's Kitchen,40.76545,-73.98729,632,4.0,mexican
Las Santas,40.6882,-73.97953,22,5.0,mexican
BarBacon Hell's Kitchen,40.766253,-73.986674,1174,4.0,mexican
Chela Modern Mexican,40.67032,-73.98569,391,4.5,mexican
Claro,40.6773587963142,-73.9861984489446,159,4.0,mexican
Don Chingon,40.6810431221494,-73.9752403260395,334,4.5,mexican
Calaca,40.6834,-73.95655,172,4.5,mexican
Toro Loco,40.70421,-74.01208,201,4.0,mexican
Mamasita Bar & Grill,40.76733,-73.98945,986,4.0,mexican
Anejo Tribeca,40.7193829,-74.004417,353,4.0,mexican
Bar Verde,40.7260849061034,-73.9897361397743,219,4.5,mexican
La Contenta Oeste,40.7352,-73.99808,194,4.0,mexican
Kahlo,40.75218,-74.0026,84,4.5,mexican
Chavela's,40.67347,-73.95711,1037,4.0,mexican
Taco Mahal,40.732337,-74.003303,528,4.5,mexican
El Camion,40.7291,-73.98105,678,4.0,mexican
Bar Bolinas,40.693499,-73.967389,119,4.0,mexican
Xixa,40.7104,-73.95854,567,4.5,mexican
Maya,40.7632055528185,-73.9596225112209,901,3.5,mexican
The Taco Shop,40.7319488525391,-74.0015411376953,355,3.5,mexican
Taqueria Tepango,40.6937857,-73.9616331,213,4.0,mexican
Mexicue,40.74202,-74.00046,358,4.0,mexican
Fonda East Village,40.722852,-73.98286,750,4.0,mexican
Eastpoint,40.72228,-73.98311,42,4.5,mexican
Calexico - Upper East Side,40.77259,-73.95588,647,4.0,mexican
The Bear,40.7128339,-73.9663587,30,4.5,mexican
La Loteria,40.7307865530978,-74.0041882564488,313,4.0,mexican
Ofrenda,40.73391,-74.00242,953,4.0,mexican
The Lost Lady,40.72631,-73.97756,77,4.0,mexican
Dos Toros Taqueria,40.7336815475083,-73.9897049423153,1312,4.0,mexican
Mesa Coyoacan,40.715528,-73.944273,750,4.0,mexican
Purepecha,40.684508,-73.9917,14,4.0,mexican
Rocco's Tacos & Tequila Bar,40.69319596606,-73.9885798943981,1282,3.5,mexican
Tacos El Bronco,40.65006,-74.00915,556,4.0,mexican
Taco Dumbo,40.7604532,-73.9775139,262,4.0,mexican
Hell's Kitchen,40.7638823425707,-73.9884334000586,396,4.0,mexican
Gueros,40.67521,-73.95657,583,4.0,mexican
Nacho Macho Taco,40.680609,-73.977808,161,4.5,mexican
Alta Calidad,40.68011,-73.96818,182,4.0,mexican
Cantina Rooftop,40.765101,-73.996046,649,3.0,mexican
Fonda Park Slope,40.663631439209,-73.9846343994141,787,4.0,mexican
Tortilleria Mexicana Los Hermanos,40.7066299,-73.92198,706,4.0,mexican
De Mole,40.71377,-73.95786,92,4.5,mexican
Donna,40.71093,-73.96772,172,4.0,mexican
Los Tacos No. 1,40.714282,-74.008675,61,4.5,mexican
Coney Shack,40.75659,-73.98589,290,4.5,mexican
Playa Betty's,40.78075,-73.98032,726,3.5,mexican
La Slowteria,40.675054752231,-73.9995680865082,243,4.0,mexican
La Esquina - SoHo,40.721372,-73.997529,2017,3.5,mexican
Empellón,40.75971,-73.97473,343,4.0,mexican
Gran Electrica,40.7027,-73.99314,466,3.5,mexican
Cemitas El Tigre,40.7391913,-73.9198491,210,4.5,mexican
El Diablito Taqueria,40.72504,-73.98917,350,4.0,mexican
Los Tacos-Mcondo,40.7108323440285,-73.9509542539666,287,4.0,mexican
Dorado Tacos,40.733963,-73.993172,623,4.0,mexican
Amaranto Mexican Restaurant,40.703111,-73.921892,334,4.5,mexican
Street Taco,40.74097,-73.98202,333,4.0,mexican
Grand Canyon Restaurant,40.69473,-73.99361,58,4.5,mexican
The Burrito Box,40.76831,-73.98565,857,4.0,mexican
The Black Ant,40.72578,-73.98952,524,4.0,mexican
Rosa Mexicano,40.77118,-73.98311,1169,3.5,mexican
The Calaveras,40.79956,-73.96241,103,4.5,mexican
Kimchi Grill,40.6750885,-73.9634982,560,4.0,mexican
Mad Dog & Beans Mexican Cantina,40.75098,-73.98181,408,4.0,mexican
Jolie Cantina,40.683532,-73.992288,405,4.0,mexican
Fatty Daddy Taco,40.686578,-73.990821,148,4.0,mexican
Calexico - East Village,40.72732,-73.98883,22,4.0,mexican
Taqueria El Patron Mexican Grill,40.6609280639479,-73.9614267185271,180,3.5,mexican
Fresco's Cantina,40.76837,-73.93303,209,4.5,mexican
Paloma's,40.7034683227539,-73.9121246337891,144,4.0,mexican
Otto's Tacos,40.7291289539586,-73.9875403,746,4.0,mexican
Los Tacos No.1,40.71424,-74.00869,23,4.5,mexican
Guadalupe Inn,40.70771,-73.93182,171,4.0,mexican
Mexicue,40.754412,-73.986511,491,4.0,mexican
Alma Restaurant,40.68557,-74.00215,484,3.5,mexican
Chilo's,40.68837,-73.95684,212,4.0,mexican
El Vez Burrito Bar,40.7147356376792,-74.015635,128,4.0,mexican
Flats Fix Taqueria,40.73659,-73.99115,174,4.0,mexican
Tac N Roll,40.7252676,-73.9877743,182,4.5,mexican
Casa Taqueria,40.70875,-74.00583,50,4.0,mexican
Pinks Cantina,40.72229,-73.99189,7,5.0,mexican
Villa Cemita,40.72383,-73.98478,334,4.0,mexican
El Vez,40.7147356376792,-74.015635,641,3.5,mexican
Tacocina,40.715238,-73.967644,99,3.5,mexican
Barnacho,40.7540321350098,-73.9688491821289,196,4.0,mexican
Taqueria Diana,40.7284337609976,-73.9879844318771,721,4.0,mexican
Mayamezcal,40.72711,-73.98817,604,4.0,mexican
Taqueria Milear,40.6729835327648,-73.9503121359905,190,4.5,mexican
Taqueria Gramercy,40.7363,-73.98531,70,4.0,mexican
Taco Vista,40.692755886949,-74.0145479142666,33,4.0,mexican
Essex Taqueria,40.7197418,-73.9877989,260,4.0,mexican
Taqueria Kermes,40.70785,-73.89798,387,4.0,mexican
Guac & Jazzo,40.72764,-73.9792,167,3.5,mexican
Toloache Thompson,40.7286749,-73.9996277,435,3.5,mexican
La Esquina - Midtown,40.7642986928764,-73.9814604957066,191,4.0,mexican
Alan's Kitchen Mexican Cuisine,40.7594264475,-73.9905066043,28,5.0,mexican
Swell Dive,40.689183858613,-73.9549609646201,87,4.0,mexican
Tacombi - Nolita,40.7240304,-73.9939028,1095,3.5,mexican
Mad Dog & Beans Mexican Cantina,40.704168,-74.010261,911,3.5,mexican
Taqueria St. Marks Place,40.7278587780221,-73.9856138085992,415,4.0,mexican
Rosa Mexicano,40.75895,-73.96268,527,3.5,mexican
Ho' Brah a taco joint,40.623006,-74.031548,771,4.0,mexican
Zona Rosa,40.7139388888686,-73.9494076703442,431,3.5,mexican
Nacho Macho Taco,40.6764068073189,-73.9627275318417,279,4.5,mexican
Cascalote Latin Bistro,40.79271,-73.94069,334,4.5,mexican
Casa Bocado,40.71958,-73.99484,22,3.5,mexican
Taqueria Santa Fe,40.740766,-73.917876,336,4.5,mexican
De Mole,40.7391932,-73.9202624,605,4.0,mexican
Corazon De Mexico Restaurant & Bar,40.74281,-73.95348,54,4.0,mexican
Lolita's Kitchen,40.7824207446896,-73.9534502033954,87,4.0,mexican
Dos Caminos,40.7404330511257,-74.0054753422738,996,3.0,mexican
Toloache 82nd,40.77648,-73.95669,399,4.0,mexican
Dos Caminos,40.7593727,-73.9853281,557,3.5,mexican
Mexicocina Agaveria,40.6768850683622,-73.9636141061783,24,4.5,mexican
Tacos El Bronco,40.65237,-74.00274,127,4.5,mexican
Tacuba,40.75585,-73.92447,645,3.5,mexican
Friducha,40.73152,-73.95432,71,4.0,mexican
Tacovision,40.7568200311153,-73.9678929001093,44,4.5,mexican
Chihuahua,40.7425222545862,-73.9176765829325,138,4.5,mexican
Acapulco,40.7367,-73.95517,275,4.0,mexican
Pampano,40.75503,-73.97054,552,4.0,mexican
Emojo Burger,40.7323,-73.98224,137,4.0,mexican
Cantina Taqueria & Tequila Bar,40.8003063353508,-73.9549569049235,492,4.0,mexican
Bar Bruno,40.6833674,-73.9997959,247,4.0,mexican
Taco Morelos,40.71783,-73.95773,95,4.0,mexican
Dos Caminos,40.7266452,-73.9999024,1058,3.5,mexican
Mexicue,40.77536,-73.95628,159,4.0,mexican
Casa Azul,40.6655705744252,-73.9825450299114,39,4.0,mexican
La Superior,40.71357,-73.96363,571,3.5,mexican
Taco Playa,40.70737,-74.00269,68,3.5,mexican
Taco Dumbo,40.75275,-73.98756,82,4.0,mexican
Tepache,40.683368,-73.938289,326,3.5,mexican
Taco Edition,40.71177,-73.94134,75,4.0,mexican
Sonora,40.6824295855403,-73.9199669121657,151,3.5,mexican
Bushwick Taco,40.692,-73.90616,133,4.0,mexican
Habana To-Go,40.72292,-73.99418,267,4.0,mexican
Habanero Blues,40.75049,-73.98517,242,3.5,mexican
Cantina Cumbancha,40.71935,-73.95293,46,4.0,mexican
Tacos Matamoros,40.6478187840292,-74.0076383498633,574,3.5,mexican
La Loba Cantina,40.64569,-73.97283,104,4.0,mexican
El Cacto,40.73417,-73.99165,81,4.0,mexican
Rosa Mexicano,40.7141113543271,-74.0092619508505,188,3.0,mexican
Cantina 48,40.76497,-73.99607,5,4.5,mexican
Tacombi - Flatiron,40.742807,-73.991138,637,3.5,mexican
La Lupe,40.69725,-73.93517,164,3.5,mexican
Tacombi - Bleecker Street,40.73112,-74.00272,354,4.0,mexican
Tacombi - Williamsburg,40.71489,-73.95949,2,4.0,mexican
Otto's Tacos,40.73454,-74.00206,293,4.0,mexican
Otto's Tacos,40.7625885009766,-73.9900054931641,351,4.0,mexican
Dos Caminos,40.7421567897168,-73.9845427163755,1165,3.5,mexican
El Mero Mero,40.753834323302,-73.923701159656,81,4.5,mexican
Lucky Cheng's,40.765076,-73.995986,86,3.5,mexican
El Parador Cafe,40.7444599,-73.97472,422,4.0,mexican
Virgin Mary Tacos,40.7400398,-73.9766541,6,5.0,mexican
Bar San Miguel,40.68134,-73.9938279,134,4.0,mexican
Sinigual,40.7503161990978,-73.9750733399726,829,3.5,mexican
Cosme,40.739691,-73.988428,997,3.5,mexican
