Name,Address,Votes,Rating,cost
"Cedar Creek
                                    ", 1034 W 20th Street 77008,",","
                                        4.3
                                    ",Cost for two:$60
"Cedar Creek
                                    ", 1034 W 20th Street 77008,",","
                                        4.3
                                    ",Cost for two:$60
"Cedar Creek
                                    ", 1034 W 20th Street 77008,",","
                                        4.3
                                    ",Cost for two:$60
"Cedar Creek
                                    ", 1034 W 20th Street 77008,",","
                                        4.3
                                    ",Cost for two:$60
"Cedar Creek
                                    ", 1034 W 20th Street 77008,",","
                                        4.3
                                    ",Cost for two:$60
"Cedar Creek
                                    ", 1034 W 20th Street 77008,",","
                                        4.3
                                    ",Cost for two:$60
"Cedar Creek
                                    ", 1034 W 20th Street 77008,",","
                                        4.3
                                    ",Cost for two:$60
"Cedar Creek
                                    ", 1034 W 20th Street 77008,",","
                                        4.3
                                    ",Cost for two:$60
"Cedar Creek
                                    ", 1034 W 20th Street 77008,",","
                                        4.3
                                    ",Cost for two:$60
"Cedar Creek
                                    ", 1034 W 20th Street 77008,",","
                                        4.3
                                    ",Cost for two:$60
"Cedar Creek
                                    ", 1034 W 20th Street 77008,",","
                                        4.3
                                    ",Cost for two:$60
"Cedar Creek
                                    ", 1034 W 20th Street 77008,",","
                                        4.3
                                    ",Cost for two:$60
"Cedar Creek
                                    ", 1034 W 20th Street 77008,",","
                                        4.3
                                    ",Cost for two:$60
"Cedar Creek
                                    ", 1034 W 20th Street 77008,",","
                                        4.3
                                    ",Cost for two:$60
"Cedar Creek
                                    ", 1034 W 20th Street 77008,",","
                                        4.3
                                    ",Cost for two:$60
"Cedar Creek
                                    ", 1034 W 20th Street 77008,",","
                                        4.3
                                    ",Cost for two:$60
"Cedar Creek
                                    ", 1034 W 20th Street 77008,",","
                                        4.3
                                    ",Cost for two:$60
"Cedar Creek
                                    ", 1034 W 20th Street 77008,",","
                                        4.3
                                    ",Cost for two:$60
"Cedar Creek
                                    ", 1034 W 20th Street 77008,",","
                                        4.3
                                    ",Cost for two:$60
"Cedar Creek
                                    ", 1034 W 20th Street 77008,",","
                                        4.3
                                    ",Cost for two:$60
"Cedar Creek
                                    ", 1034 W 20th Street 77008,",","
                                        4.3
                                    ",Cost for two:$60
"Cedar Creek
                                    ", 1034 W 20th Street 77008,",","
                                        4.3
                                    ",Cost for two:$60
"Cedar Creek
                                    ", 1034 W 20th Street 77008,",","
                                        4.3
                                    ",Cost for two:$60
"Cedar Creek
                                    ", 1034 W 20th Street 77008,",","
                                        4.3
                                    ",Cost for two:$60
"Cedar Creek
                                    ", 1034 W 20th Street 77008,",","
                                        4.3
                                    ",Cost for two:$60
"Cedar Creek
                                    ", 1034 W 20th Street 77008,",","
                                        4.3
                                    ",Cost for two:$60
"Cedar Creek
                                    ", 1034 W 20th Street 77008,",","
                                        4.3
                                    ",Cost for two:$60
"Cedar Creek
                                    ", 1034 W 20th Street 77008,",","
                                        4.3
                                    ",Cost for two:$60
"Cedar Creek
                                    ", 1034 W 20th Street 77008,",","
                                        4.3
                                    ",Cost for two:$60
"Hobbit Cafe
                                    "," 2243 Richmond Avenue, Houston 77098",535 votes,"
                                        4.8
                                    ",Cost for two:$30
"Hobbit Cafe
                                    "," 2243 Richmond Avenue, Houston 77098",535 votes,"
                                        4.8
                                    ",Cost for two:$30
"Hobbit Cafe
                                    "," 2243 Richmond Avenue, Houston 77098",535 votes,"
                                        4.8
                                    ",Cost for two:$30
"Hobbit Cafe
                                    "," 2243 Richmond Avenue, Houston 77098",535 votes,"
                                        4.8
                                    ",Cost for two:$30
"Hobbit Cafe
                                    "," 2243 Richmond Avenue, Houston 77098",535 votes,"
                                        4.8
                                    ",Cost for two:$30
"Hobbit Cafe
                                    "," 2243 Richmond Avenue, Houston 77098",535 votes,"
                                        4.8
                                    ",Cost for two:$30
"Hobbit Cafe
                                    "," 2243 Richmond Avenue, Houston 77098",535 votes,"
                                        4.8
                                    ",Cost for two:$30
"Hobbit Cafe
                                    "," 2243 Richmond Avenue, Houston 77098",535 votes,"
                                        4.8
                                    ",Cost for two:$30
"Hobbit Cafe
                                    "," 2243 Richmond Avenue, Houston 77098",535 votes,"
                                        4.8
                                    ",Cost for two:$30
"Hobbit Cafe
                                    "," 2243 Richmond Avenue, Houston 77098",535 votes,"
                                        4.8
                                    ",Cost for two:$30
"Hobbit Cafe
                                    "," 2243 Richmond Avenue, Houston 77098",535 votes,"
                                        4.8
                                    ",Cost for two:$30
"Hobbit Cafe
                                    "," 2243 Richmond Avenue, Houston 77098",535 votes,"
                                        4.8
                                    ",Cost for two:$30
"Hobbit Cafe
                                    "," 2243 Richmond Avenue, Houston 77098",535 votes,"
                                        4.8
                                    ",Cost for two:$30
