Name,Address,Votes,Rating,cost
"Star Pizza
                                    "," 2111 Norfolk Street, Houston 77098",677 votes,"
                                        4.9
                                    ",Cost for two:$50
"Maggiano's Little Italy
                                    ", 2019 Post Oak Boulevard 77056,527 votes,"
                                        4.8
                                    ",Cost for two:$55
"Santa Barbara Italian Cafe
                                    "," 5012 Broadway Street, Pearland 77581",149 votes,"
                                        4.5
                                    ",Cost for two:$150
"Italiano's
                                    "," 217 Farm to Market 1960 Bypass Road E, Humble 77338",238 votes,"
                                        4.5
                                    ",Cost for two:$75
"Grimaldi's Pizzeria
                                    "," 20 Waterway Avenue, Suite 100, The Woodlands 77380",177 votes,"
                                        4.2
                                    ",Cost for two:$75
"Prego Italian Cuisine
                                    "," 2520 Amherst Street, Houston 77005",169 votes,"
                                        4.4
                                    ",Cost for two:$70
"BRIO Tuscan Grille - Woodlands - The Woodlands
                                    ", 1201 Lake Woodlands Drive 77380,198 votes,"
                                        4.3
                                    ",Cost for two:$35
"D'Amico's Italian Market Cafe
                                    ", 5510 Morningside Drive 77005,168 votes,"
                                        4.4
                                    ",Cost for two:$45
"Da Vinci Ristorante Italiano
                                    "," 6455 South Fry Road, Suite 100, Katy 77494",133 votes,"
                                        4.4
                                    ",Cost for two:$150
"Dan's Pizza Co.
                                    ", 15148 HWY 3. 77598,",","
                                        4.3
                                    ",Cost for two:$25
"La Griglia
                                    ", 2002 West Gray Street 77019,136 votes,"
                                        4.2
                                    ",Cost for two:$75
"Carrabba's
                                    "," 3115 Kirby Drive, Houston 77098",155 votes,"
                                        4.4
                                    ",Cost for two:$100
"Barry's Pizza and Italian Diner
                                    ", 6003 Richmond Avenue 77057,115 votes,"
                                        4.2
                                    ",Cost for two:$25
"Via Emilia
                                    ", 10700 Kuykendahl Road 77381,134 votes,"
                                        4.2
                                    ",Cost for two:$150
"Star Pizza
                                    "," 2111 Norfolk Street, Houston 77098",677 votes,"
                                        4.9
                                    ",Cost for two:$50
"Maggiano's Little Italy
                                    ", 2019 Post Oak Boulevard 77056,527 votes,"
                                        4.8
                                    ",Cost for two:$55
"Santa Barbara Italian Cafe
                                    "," 5012 Broadway Street, Pearland 77581",149 votes,"
                                        4.5
                                    ",Cost for two:$150
"Italiano's
                                    "," 217 Farm to Market 1960 Bypass Road E, Humble 77338",238 votes,"
                                        4.5
                                    ",Cost for two:$75
"Grimaldi's Pizzeria
                                    "," 20 Waterway Avenue, Suite 100, The Woodlands 77380",177 votes,"
                                        4.2
                                    ",Cost for two:$75
"Prego Italian Cuisine
                                    "," 2520 Amherst Street, Houston 77005",169 votes,"
                                        4.4
                                    ",Cost for two:$70
"BRIO Tuscan Grille - Woodlands - The Woodlands
                                    ", 1201 Lake Woodlands Drive 77380,198 votes,"
                                        4.3
                                    ",Cost for two:$35
"D'Amico's Italian Market Cafe
                                    ", 5510 Morningside Drive 77005,168 votes,"
                                        4.4
                                    ",Cost for two:$45
"Da Vinci Ristorante Italiano
                                    "," 6455 South Fry Road, Suite 100, Katy 77494",133 votes,"
                                        4.4
                                    ",Cost for two:$150
"Dan's Pizza Co.
                                    ", 15148 HWY 3. 77598,",","
                                        4.3
                                    ",Cost for two:$25
"La Griglia
                                    ", 2002 West Gray Street 77019,136 votes,"
                                        4.2
                                    ",Cost for two:$75
"Carrabba's
                                    "," 3115 Kirby Drive, Houston 77098",155 votes,"
                                        4.4
                                    ",Cost for two:$100
"Barry's Pizza and Italian Diner
                                    ", 6003 Richmond Avenue 77057,115 votes,"
                                        4.2
                                    ",Cost for two:$25
"Via Emilia
                                    ", 10700 Kuykendahl Road 77381,134 votes,"
                                        4.2
                                    ",Cost for two:$150
"Star Pizza
                                    "," 2111 Norfolk Street, Houston 77098",677 votes,"
                                        4.9
                                    ",Cost for two:$50
"Maggiano's Little Italy
                                    ", 2019 Post Oak Boulevard 77056,527 votes,"
                                        4.8
                                    ",Cost for two:$55
"Santa Barbara Italian Cafe
                                    "," 5012 Broadway Street, Pearland 77581",149 votes,"
                                        4.5
                                    ",Cost for two:$150
"Italiano's
                                    "," 217 Farm to Market 1960 Bypass Road E, Humble 77338",238 votes,"
                                        4.5
                                    ",Cost for two:$75
"Grimaldi's Pizzeria
                                    "," 20 Waterway Avenue, Suite 100, The Woodlands 77380",177 votes,"
                                        4.2
                                    ",Cost for two:$75
"Prego Italian Cuisine
                                    "," 2520 Amherst Street, Houston 77005",169 votes,"
                                        4.4
                                    ",Cost for two:$70
"BRIO Tuscan Grille - Woodlands - The Woodlands
                                    ", 1201 Lake Woodlands Drive 77380,198 votes,"
                                        4.3
                                    ",Cost for two:$35
"D'Amico's Italian Market Cafe
                                    ", 5510 Morningside Drive 77005,168 votes,"
                                        4.4
                                    ",Cost for two:$45
"Da Vinci Ristorante Italiano
                                    "," 6455 South Fry Road, Suite 100, Katy 77494",133 votes,"
                                        4.4
                                    ",Cost for two:$150
"Dan's Pizza Co.
                                    ", 15148 HWY 3. 77598,",","
                                        4.3
                                    ",Cost for two:$25
"La Griglia
                                    ", 2002 West Gray Street 77019,136 votes,"
                                        4.2
                                    ",Cost for two:$75
"Carrabba's
                                    "," 3115 Kirby Drive, Houston 77098",155 votes,"
                                        4.4
                                    ",Cost for two:$100
"Barry's Pizza and Italian Diner
                                    ", 6003 Richmond Avenue 77057,115 votes,"
                                        4.2
                                    ",Cost for two:$25
"Via Emilia
                                    ", 10700 Kuykendahl Road 77381,134 votes,"
                                        4.2
                                    ",Cost for two:$150
"Star Pizza
                                    "," 2111 Norfolk Street, Houston 77098",677 votes,"
                                        4.9
                                    ",Cost for two:$50
"Maggiano's Little Italy
                                    ", 2019 Post Oak Boulevard 77056,527 votes,"
                                        4.8
                                    ",Cost for two:$55
"Santa Barbara Italian Cafe
                                    "," 5012 Broadway Street, Pearland 77581",149 votes,"
                                        4.5
                                    ",Cost for two:$150
"Italiano's
                                    "," 217 Farm to Market 1960 Bypass Road E, Humble 77338",238 votes,"
                                        4.5
                                    ",Cost for two:$75
"Grimaldi's Pizzeria
                                    "," 20 Waterway Avenue, Suite 100, The Woodlands 77380",177 votes,"
                                        4.2
                                    ",Cost for two:$75
"Prego Italian Cuisine
                                    "," 2520 Amherst Street, Houston 77005",169 votes,"
                                        4.4
                                    ",Cost for two:$70
