Name,Address,Votes,Rating,cost
"Shake Shack
                                    "," 366 Columbus Avenue W 77th Street, New York 10024",721 votes,"
                                        4.9
                                    ",Cost for two:$30
"Peter Luger Steak House
                                    "," 178 Broadway, Brooklyn 11211",1111 votes,"
                                        4.8
                                    ",Cost for two:$150
"Gramercy Tavern
                                    ", 42 E 20th Street 10003,948 votes,"
                                        4.5
                                    ",Cost for two:$200
"5 Napkin Burger
                                    ", 630 9th Avenue 10036,620 votes,"
                                        4.9
                                    ",Cost for two:$85
"Cafeteria
                                    ", 119 7th Avenue,",","
                                        4.5
                                    ",Cost for two:$75
"S'MAC
                                    "," 197 First Avenue, New York 10003",622 votes,"
                                        4.9
                                    ",Cost for two:$25
"Gray's Papaya
                                    ", 2090 Broadway 10023,",","
                                        4.5
                                    ",Cost for two:$20
"Blue Smoke
                                    "," 116 East 27th Street, Flatiron 10016",",","
                                        4.5
                                    ",Cost for two:$70
"Virgil's Real BBQ
                                    "," 152 West 44th Street, btwn Broadway & 6th Avenue 10036",497 votes,"
                                        4.4
                                    ",Cost for two:$50
"The Meatball Shop
                                    ", 84 Stanton Street 10002,393 votes,"
                                        4.6
                                    ",Cost for two:$50
"Bubby's
                                    "," 120 Hudson Street, New York 10013",308 votes,"
                                        4.3
                                    ",Cost for two:$70
"Union Square Cafe
                                    "," 16th Street, New York 10003",",","
                                        4.4
                                    ",Cost for two:$75
"Sarabeth's
                                    "," 423 Amsterdam Avenue, New York 10024",313 votes,"
                                        4.4
                                    ",Cost for two:$90
"Beauty & Essex
                                    "," 146 Essex Street, Lower East Side 10002",",","
                                        4.3
                                    ",Cost for two:$100
"Cookshop
                                    ", 156 10th Avenue 10011,344 votes,"
                                        4.3
                                    ",Cost for two:$70
