Name,Address,Votes,Rating,cost
"Ruchi
                                    "," 120 Cedar Street, Financial District 10006",56 votes,"
                                        3.8
                                    ",Cost for two:$50
"Junoon
                                    "," 27 West 24th Street, Flatiron district 10010",153 votes,"
                                        4.7
                                    ",Cost for two:$150
"Utsav
                                    "," 1185 Avenue of the Americas, New York 10036",106 votes,"
                                        4.3
                                    ",Cost for two:$70
"Tamarind Tribeca
                                    "," 99 Hudson Street, New York 10013",75 votes,"
                                        4.2
                                    ",Cost for two:$120
"Brick Lane Curry House
                                    ", 99 2nd Avenue. 10003,140 votes,"
                                        4.3
                                    ",Cost for two:$80
"The Kati Roll Company
                                    "," 49 W 39th Street, New York 10018",112 votes,"
                                        4.3
                                    ",Cost for two:$30
"Indian Accent
                                    "," 123 W 56th Street, Midtown West 10019",42 votes,"
                                        4.8
                                    ",Cost for two:$120
"Chennai Garden by Tiffin Wallah
                                    "," 127 E 28th Street, New York 10016",79 votes,"
                                        4.3
                                    ",Cost for two:$50
"Haveli Banjara
                                    ", 100 2nd Avenue 10003,100 votes,"
                                        4.1
                                    ",Cost for two:$50
"Bukhara Grill
                                    "," 217 E 49th Street, New York 10017",85 votes,"
                                        4.0
                                    ",Cost for two:$75
"Seva
                                    "," 3007 34th Street, Astoria 11103",84 votes,"
                                        4.2
                                    ",Cost for two:$50
"Jackson Diner
                                    "," 37-47 74th Street, Queens 11372",92 votes,"
                                        4.2
                                    ",Cost for two:$60
"Darbar
                                    "," 152 E 46th Street, New York 10017",68 votes,"
                                        3.9
                                    ",Cost for two:$55
"Saravanaa Bhavan
                                    "," 413 Amsterdam Avenue, Between 79th & 80th Street, New York 10024",67 votes,"
                                        3.9
                                    ",Cost for two:$50
"Amma
                                    "," 246 E 51st Street, New York 10022",73 votes,"
                                        4.1
                                    ",Cost for two:$60
"Ruchi
                                    "," 120 Cedar Street, Financial District 10006",56 votes,"
                                        3.8
                                    ",Cost for two:$50
"Ruchi
                                    "," 120 Cedar Street, Financial District 10006",56 votes,"
                                        3.8
                                    ",Cost for two:$50
"Ruchi
                                    "," 120 Cedar Street, Financial District 10006",56 votes,"
                                        3.8
                                    ",Cost for two:$50
"Junoon
                                    "," 27 West 24th Street, Flatiron district 10010",153 votes,"
                                        4.7
                                    ",Cost for two:$150
