Name,Address,Votes,Rating,cost
"The Little Owl
                                    "," 90 Bedford Street, Greenwich Village 10014",306 votes,"
                                        4.5
                                    ",Cost for two:$100
"ilili
                                    ", 236 Fifth Avenue 10001,186 votes,"
                                        4.5
                                    ",Cost for two:$65
"Taim West Village
                                    "," 222 Waverly Place W Village, New York 10014",156 votes,"
                                        4.4
                                    ",Cost for two:$30
"Il Buco
                                    ", 47 Bond Street 10012,",","
                                        4.3
                                    ",Cost for two:$100
"Bar Pitti
                                    "," 268 6th Avenue, New York 10014",136 votes,"
                                        4.3
                                    ",Cost for two:$110
"Fig & Olive Fifth Ave
                                    ", 10 East 52nd Street 10022,115 votes,"
                                        4.2
                                    ",Cost for two:$100
"Pierre Loti
                                    "," 300 E 52nd Street, New York 10022",",","
                                        4.2
                                    ",Cost for two:$50
"Extra Virgin
                                    "," 259 W 4th Street, New York 10014",164 votes,"
                                        4.3
                                    ",Cost for two:$150
"Gennaro
                                    "," 665 Amsterdam Avenue, New York 10025",149 votes,"
                                        4.3
                                    ",Cost for two:$100
"Boulud Sud
                                    "," 20 West 64th Street, Upper West Side, Lincoln Square, New York City 10023",",","
                                        4.3
                                    ",Cost for two:$120
"Tanoreen
                                    ", 7523 3rd Avenue 11220,108 votes,"
                                        4.2
                                    ",Cost for two:$70
"Barbounia
                                    ", 250 Park Avenue South 10003,110 votes,"
                                        4.0
                                    ",Cost for two:$80
"Balaboosta
                                    "," 611 Hudson Street, West Village, New York City 10012",71 votes,"
                                        4.1
                                    ",Cost for two:$100
"Gazala's Place
                                    "," 709 9th Avenue, New York 10019",87 votes,"
                                        4.1
                                    ",Cost for two:$45
"Hummus Place
                                    ", 305 Amsterdam Avenue 10023,93 votes,"
                                        4.1
                                    ",Cost for two:$30
"Sunrise Diner
                                    "," 45-04 Parsons Boulevard, Queens 11355",Cuisines: ,"
                                        -
                                    ",Cost for two:$30
"Karizma Hookah Lounge
                                    "," 244 E 51st Street, New York 10022",",","
                                        -
                                    ",Cost for two:$50
"Horus Too
                                    "," 416 W 46th Street, New York 10036",Cuisines: ,"
                                        -
                                    ",Cost for two:$75
"Memo Shish Kebab
                                    "," 100 West 23rd Street, New York, NY",Cuisines: ,"
                                        -
                                    ",Cost for two:$15
"Hummus & Pita Co.
                                    "," 616 8th Avenue, New York 10018",Cuisines: ,"
                                        -
                                    ",Cost for two:$25
"Tru Astoria
                                    "," 35-19 Ditmars Boulevard, Queens 11105",Cuisines: ,"
                                        -
                                    ",Cost for two:$60
"Çka ka Qellu
                                    "," 2321 Hughes Avenue, Bronx, NY 10458",Cuisines: ,"
                                        -
                                    ",Cost for two:$25
"New York Falafel
                                    "," 127 Wyckoff Ave, Brooklyn, NY 11237",",","
                                        -
                                    ",Cost for two:$25
"Zaghloul Grill
                                    "," 61 Anthony J Crecca Junior Plaza, New Dorp 10306",Cuisines: ,"
                                        -
                                    ",Cost for two:$75
"Hayaty
                                    "," 103 Avenue A, New York 10009",",","
                                        -
                                    ",Cost for two:$80
"Adana Grill
                                    "," 723 3rd Avenue, New York 10017",Cuisines: ,"
                                        -
                                    ",Cost for two:$35
"Cafe Noir
                                    "," 35 Lispenard Street, New York 10013",Cuisines: ,"
                                        -
                                    ",Cost for two:$80
"Pi Bakerie
                                    ", 512 Broome Street 10013,",","
                                        3.2
                                    ",Cost for two:$30
"Taverna Kyclades
                                    "," 228 1st Avenue, New York 10009",4 votes,"
                                        3.0
                                    ",Cost for two:$80
"Kilo No. 857
                                    "," 857 9th Avenue, New York 10019",7 votes,"
                                        3.5
                                    ",Cost for two:$60
"Mini Star Restaurant
                                    "," 30-02 Steinway Street, Astoria 11103",5 votes,"
                                        3.6
                                    ",Cost for two:$25
"A & S Greek Deli and Butcher
                                    "," 7918 5th Avenue, Brooklyn 11209",4 votes,"
                                        3.6
                                    ",Cost for two:$25
"Cafe 31 Sports Bar & Grill
                                    "," 220 W 31st Street, New York 10001",",","
                                        3.3
                                    ",Cost for two:$75
"Sunflower Cafe
                                    "," 1223 Quentin Road, Brooklyn 11229",",","
                                        3.6
                                    ",Cost for two:$50
"The Gavel Grill
                                    "," 9 Hyatt Street, Street. George 10301",",","
                                        3.7
                                    ",Cost for two:$25
"Bedford Cafe & Restaurant
                                    ", 1 Bedford Park Boulevard East 10468,7 votes,"
                                        3.3
                                    ",Cost for two:$25
"Nisi Estiatorio
                                    ", 302 Bleecker St 10014,Cuisines: ,"
                                        -
                                    ",Cost for two:$60
"Comme Ci Comme Ca
                                    "," Location Varies, New York",5 votes,"
                                        3.0
                                    ",Cost for two:$25
"Omega Coffee Shop
                                    "," 200-07 32nd Avenue, Queens, NY 11361",7 votes,"
                                        3.4
                                    ",Cost for two:$35
"La Tapenade
                                    "," Newark Liberty International Airport, Newark 07114",Cuisines: ,"
                                        -
                                    ",Cost:$$$$
"Vasili's Taverna
                                    "," 365 Queen Anne Rd, Teaneck 07666",15 votes,"
                                        3.3
                                    ",Cost:$$$$
"Greek Village
                                    "," 211 Livingston St, Northvale 07647",33 votes,"
                                        3.5
                                    ",Cost:$$$$
"Greek Taverna
                                    "," 175 Rock Rd, Glen Rock 07452",38 votes,"
                                        3.3
                                    ",Cost:$$$$
"Varka Fishhouse
                                    "," 30 N Spruce St, Ramsey 07446",47 votes,"
                                        3.3
                                    ",Cost:$$$$
"Gregorio's
                                    ", 255A Main Street 07928,17 votes,"
                                        3.9
                                    ",Cost:$$$$
"Elia Taverna
                                    "," 502 New Rochelle Rd, Bronxville 10708",81 votes,"
                                        4.8
                                    ",Cost:$$$$
"Dish Eatery
                                    "," 21-1 Fair Lawn Avenue, Fair Lawn 07410",Cuisines: ,"
                                        -
                                    ",Cost:$$$$
"Summit Diner
                                    "," 1 Union Pl, Summit 07901",31 votes,"
                                        3.4
                                    ",Cost:$$$$
"Cracked Olive Market
                                    ", 37 Main Street 07733,Cuisines: ,"
                                        -
                                    ",Cost:$$$$
"Greek City
                                    "," 1300 Route 17N, Ramsey 07446",27 votes,"
                                        3.3
                                    ",Cost:$$$$
"Greek Corner Grill
                                    "," 99 Park Ave, Park Ridge 07656",14 votes,"
                                        3.3
                                    ",Cost:$$$$
"The Little Owl
                                    "," 90 Bedford Street, Greenwich Village 10014",306 votes,"
                                        4.5
                                    ",Cost for two:$100
"ilili
                                    ", 236 Fifth Avenue 10001,186 votes,"
                                        4.5
                                    ",Cost for two:$65
"Taim West Village
                                    "," 222 Waverly Place W Village, New York 10014",156 votes,"
                                        4.4
                                    ",Cost for two:$30
"Il Buco
                                    ", 47 Bond Street 10012,",","
                                        4.3
                                    ",Cost for two:$100
"Bar Pitti
                                    "," 268 6th Avenue, New York 10014",136 votes,"
                                        4.3
                                    ",Cost for two:$110
"Fig & Olive Fifth Ave
                                    ", 10 East 52nd Street 10022,115 votes,"
                                        4.2
                                    ",Cost for two:$100
"Pierre Loti
                                    "," 300 E 52nd Street, New York 10022",",","
                                        4.2
                                    ",Cost for two:$50
"Extra Virgin
                                    "," 259 W 4th Street, New York 10014",164 votes,"
                                        4.3
                                    ",Cost for two:$150
"Gennaro
                                    "," 665 Amsterdam Avenue, New York 10025",149 votes,"
                                        4.3
                                    ",Cost for two:$100
"Boulud Sud
                                    "," 20 West 64th Street, Upper West Side, Lincoln Square, New York City 10023",",","
                                        4.3
                                    ",Cost for two:$120
"Tanoreen
                                    ", 7523 3rd Avenue 11220,108 votes,"
                                        4.2
                                    ",Cost for two:$70
"Barbounia
                                    ", 250 Park Avenue South 10003,110 votes,"
                                        4.0
                                    ",Cost for two:$80
"Balaboosta
                                    "," 611 Hudson Street, West Village, New York City 10012",71 votes,"
                                        4.1
                                    ",Cost for two:$100
"Gazala's Place
                                    "," 709 9th Avenue, New York 10019",87 votes,"
                                        4.1
                                    ",Cost for two:$45
"Hummus Place
                                    ", 305 Amsterdam Avenue 10023,93 votes,"
                                        4.1
                                    ",Cost for two:$30
"The Little Owl
                                    "," 90 Bedford Street, Greenwich Village 10014",306 votes,"
                                        4.5
                                    ",Cost for two:$100
"ilili
                                    ", 236 Fifth Avenue 10001,186 votes,"
                                        4.5
                                    ",Cost for two:$65
"Taim West Village
                                    "," 222 Waverly Place W Village, New York 10014",156 votes,"
                                        4.4
                                    ",Cost for two:$30
"Il Buco
                                    ", 47 Bond Street 10012,",","
                                        4.3
                                    ",Cost for two:$100
"Bar Pitti
                                    "," 268 6th Avenue, New York 10014",136 votes,"
                                        4.3
                                    ",Cost for two:$110
"Fig & Olive Fifth Ave
                                    ", 10 East 52nd Street 10022,115 votes,"
                                        4.2
                                    ",Cost for two:$100
"Pierre Loti
                                    "," 300 E 52nd Street, New York 10022",",","
                                        4.2
                                    ",Cost for two:$50
"Extra Virgin
                                    "," 259 W 4th Street, New York 10014",164 votes,"
                                        4.3
                                    ",Cost for two:$150
"Gennaro
                                    "," 665 Amsterdam Avenue, New York 10025",149 votes,"
                                        4.3
                                    ",Cost for two:$100
"Boulud Sud
                                    "," 20 West 64th Street, Upper West Side, Lincoln Square, New York City 10023",",","
                                        4.3
                                    ",Cost for two:$120
"Tanoreen
                                    ", 7523 3rd Avenue 11220,108 votes,"
                                        4.2
                                    ",Cost for two:$70
"Barbounia
                                    ", 250 Park Avenue South 10003,110 votes,"
                                        4.0
                                    ",Cost for two:$80
"Balaboosta
                                    "," 611 Hudson Street, West Village, New York City 10012",71 votes,"
                                        4.1
                                    ",Cost for two:$100
"Gazala's Place
                                    "," 709 9th Avenue, New York 10019",87 votes,"
                                        4.1
                                    ",Cost for two:$45
"Hummus Place
                                    ", 305 Amsterdam Avenue 10023,93 votes,"
                                        4.1
                                    ",Cost for two:$30
