Name,Latitude,Longitude,Votes,Rating,Category,City
100% Taquito,29.7291112,-95.429681,477,4,Mexican,Houston
3 Hermanas Taqueria,29.80015841,-95.71797503,3,4.5,Mexican,Houston
3rd Coast BBQ,30.40911,-95.66276,1,5,BBQ,Houston
4 Taco,29.718045,-95.402086,3,3.5,Mexican,Houston
9 Amigos at Minute Maid Park,29.75883007,-95.35571426,2,3.5,Mexican,Houston
Abasolo Restaurant & Seafood,29.7759369,-95.3612744,15,3.5,Mexican,Houston
Abu Omar Halal,29.761043,-95.362063,4,4,Mediterranean,Houston
Al Quick Stop,29.750144,-95.396713,243,4.5,Mediterranean,Houston
Aladdin Mediterranean Cuisine,29.745032,-95.391123,1033,4.5,Mediterranean,Houston
Aladdin Mediterranean Grill - Garden Oaks,29.81668479,-95.43070279,126,4.5,Mediterranean,Houston
Alamo Tamale & Taco,29.83797,-95.3648599,129,4,Mexican,Houston
Alamo Tamale & Taco,29.75860786,-95.34676361,96,4,Mexican,Houston
Alarabi Mediterranean Grill,29.73689,-95.50739,29,4.5,Mediterranean,Houston
Alicia’s Tamale Kitchen,29.81584,-95.3614684,2,5,Mexican,Houston
Alma Latina,29.80610657,-95.4104538,219,3.5,Mexican,Houston
Alma Latina,29.83551516,-95.34241142,10,3.5,Mexican,Houston
Andy's Home Cafe,29.791,-95.3866908,147,3,Mexican,Houston
Antica Osteria,29.725282,-95.413276,313,4,Italian,Houston
Antonio's Mexican Restaurant,29.7766549,-95.3070396,3,4.5,Mexican,Houston
Antonios Mexican Grill,29.704834,-95.426843,58,3.5,Mexican,Houston
Arabella Mediterranean Cuisine,29.75772999,-95.36495984,44,4,Mediterranean,Houston
Armadillo Snow Cones,29.73507,-95.33046,7,5,Mexican,Houston
Armandos,29.74241919,-95.41975139,149,3.5,Mexican,Houston
Arnaldo Richard's Picos,29.73376465,-95.41805267,661,3.5,Mexican,Houston
Auntie Pasto's,29.7054076,-95.4749189,214,4,Italian,Houston
Azteca Taqueria,29.804412,-95.382158,5,4.5,Mexican,Houston
Azuza,29.76999,-95.403,14,3.5,Mediterranean,Houston
Bambolino's Italian Kitchen,29.74255,-95.3987,110,3.5,Italian,Houston
Baran's Cafe,29.73226245,-95.43947026,24,4.5,Mediterranean,Houston
Barbecue Inn,29.82854,-95.40036,278,4,BBQ,Houston
Bellissimo Ristorante,29.804596,-95.381574,215,4,Italian,Houston
Berryhill Baja Grill,29.79054,-95.38968,162,3,Mexican,Houston
Best Street Tacos,29.75308,-95.37717,4,4.5,Mexican,Houston
Beto's Taqueria Linares,29.71351,-95.279571,1,3,Mexican,Houston
Big 6 Bar B Que,29.6711413,-95.6433448,119,4.5,BBQ,Houston
Big Daddy Taco's,29.7295094,-95.2803879,2,4.5,Mexican,Houston
Birraporetti's,29.76224,-95.36491,382,3,Italian,Houston
Bistecca,29.744848,-95.383987,187,4.5,Italian,Houston
Black Market Burritos,29.73492,-95.37477,14,4.5,Mexican,Houston
Blanco Tacos + Tequila,29.7396,-95.465471,320,4,Mexican,Houston
Blood Bros. BBQ,29.705155,-95.475517,162,4.5,BBQ,Houston
Bodegas Taco Shop,29.723803,-95.387708,540,3.5,Mexican,Houston
BOH Pasta & Pizza,29.76176567,-95.36218101,38,4.5,Italian,Houston
Bollo Woodfired Pizza,29.7389786,-95.4134581,578,4.5,Italian,Houston
Boombox Taco,29.773064,-95.332343,40,4.5,Mexican,Houston
Bouray's Burrito Bar,29.75598559,-95.37050799,40,2.5,Mexican,Houston
Boxcar BBQ,29.8282298,-95.4253757,1,5,BBQ,Houston
Brisket Bar-B-Q,29.70638,-95.47094,58,3,BBQ,Houston
Brooklyn Meatball,29.757522,-95.365165,153,4.5,Italian,Houston
Brooklyn Meatball,29.7549739,-95.3626406,32,4.5,Italian,Houston
Brookstreet Bar-B-Que,29.74608231,-95.39144135,351,4,BBQ,Houston
Brothers Taco House,29.74513,-95.35682,358,4,Mexican,Houston
Buca di Beppo Italian Restaurant,29.7268984,-95.428406,482,3,Italian,Houston
Bullbutter Bros.,29.77064,-95.40512,2,2.5,BBQ,Houston
BullChicks Express,29.74303,-95.32511,1,5,Mexican,Houston
Bullritos,29.7544915,-95.36198,32,4,Mexican,Houston
Bullritos,29.722749,-95.33727,23,2,Mexican,Houston
Buttz,29.73606682,-95.41318512,33,4.5,BBQ,Houston
Byron's Gourmet Bar-B-Que,29.86320877,-95.44247437,3,2.5,BBQ,Houston
Cabo Baja Tacos & Burritos,29.77071,-95.4071,300,4,Mexican,Houston
Cafe Layal Midtown,29.75299,-95.37782,353,3.5,Mediterranean,Houston
Calle Onze,29.79043,-95.39974,348,4,Mexican,Houston
Candelari's Pizzeria,29.705848,-95.419186,221,3.5,Italian,Houston
Cane Rosso,29.80259093,-95.41047055,384,3.5,Italian,Houston
Cantina Barba,29.79085,-95.37339,128,4.5,Mexican,Houston
Caracol,29.74336332,-95.46132159,1056,4,Mexican,Houston
Caritas Ranch Bar-B-Q,29.77391387,-95.36579132,2,4.5,BBQ,Houston
Carniceria Aguascalientes,29.70036,-95.27753,107,4.5,Mexican,Houston
Carnitas Gerardo's,29.859089,-95.350807,1,4,Mexican,Houston
Carnitas Huandacareo,29.87861061,-95.67259216,3,5,Mexican,Houston
Carrabba's - The Original on Kirby,29.73648816,-95.4183509,449,4,Italian,Houston
Casa Dominguez Bellaire,29.70669,-95.4715499,17,3,Mexican,Houston
Casa Morales,29.7368,-95.28797,20,4,Mexican,Houston
Casa Ole,29.8266907,-95.4718094,1,1,Mexican,Houston
Cats Corner BBQ,29.72397633,-95.35108464,2,3.5,BBQ,Houston
Cavatore Italian Restaurant,29.8052,-95.42883,343,3.5,Italian,Houston
Chacho's,29.845196,-95.391583,130,3,Mexican,Houston
Chapman House Smoked Meats,29.8098267,-95.3992151,1,5,BBQ,Houston
Chapultepec Lupita,29.73436,-95.38932,281,3.5,Mexican,Houston
Charlie's BBQ & Hamburgers,29.7099973,-95.4630112,74,4,BBQ,Houston
Charlie's BBQ & Salads,29.755775,-95.363926,29,3.5,BBQ,Houston
Chatter's Cafe & Bistro,29.768131,-95.397368,168,3.5,Mediterranean,Houston
Chef On The Run Halal,29.69337565,-95.41562596,118,4.5,Mediterranean,Houston
Chilosos Taco House,29.804184,-95.390791,380,3.5,Mexican,Houston
Chipotle Mexican Grill,29.70976298,-95.401123,91,3.5,Mexican,Houston
Chipotle Mexican Grill,29.77467297,-95.397916,90,3,Mexican,Houston
Chipotle Mexican Grill,29.76027331,-95.36260163,50,3,Mexican,Houston
Chipotle Mexican Grill,29.74707676,-95.410282,86,3.5,Mexican,Houston
Chipotle Mexican Grill,29.74631541,-95.37628624,107,2.5,Mexican,Houston
