Name,Latitude,Longitude,Votes,Rating
Gen Korean BBQ House,29.742687,-95.379709,97.0,4.0
The Pit Room,29.7342352703345,-95.3939679771603,1642.0,4.5
L&L Hawaiian Barbecue,29.77461,-95.398,25.0,4.5
Pinkerton's Barbecue,29.79868,-95.3815,634.0,4.5
Gyu-Kaku Japanese BBQ,29.7505917766388,-95.3753622367706,1345.0,4.0
Truth BBQ,29.76892,-95.39742,253.0,4.5
Jackson Street BBQ,29.7588636332986,-95.3543785428204,438.0,4.0
Ray's BBQ Shack,29.7026499,-95.3567173,661.0,4.5
Siu Lap City,29.74512,-95.37747,94.0,4.5
Brookstreet Bar-B-Que,29.7460823059082,-95.3914413452148,351.0,4.0
Gatlin's BBQ,29.8204165146057,-95.4290675846557,658.0,3.5
Harris County General Store Barbecue,29.74703,-95.30759,15.0,5.0
Barbecue Inn,29.82854,-95.40036,278.0,4.0
Henderson & Kane,29.76597,-95.37954,56.0,5.0
Hoot's Smokehouse,29.735143213987,-95.2868901193142,29.0,4.5
Fainmous BBQ,29.66818,-95.4637,287.0,4.0
Goode Company Barbeque,29.7270351632195,-95.4184110074096,1117.0,3.5
Blood Bros. BBQ,29.705155,-95.475517,162.0,4.5
Two Brothers Smokin Oak Kitchen,29.67293,-95.4445,23.0,5.0
Nickel Sandwich Grill,29.77669,-95.3148,59.0,4.0
Hungry Farmer Barbeque,29.82807,-95.37868,104.0,3.5
Napoli Wine Cafe,29.770219,-95.407797,5.0,4.0
Pappas Bar-B-Q,29.74853,-95.36857,240.0,3.0
House of Blues Restaurant & Bar,29.7538392,-95.3637491,80.0,3.5
Victorian's Barbecue,29.7604267,-95.3698028,7.0,4.5
True Bark BBQ,29.73843,-95.40781,3.0,5.0
MC's Barbecue,29.8098730215812,-95.3267430514097,11.0,4.0
Demeris Bar-B-Q,29.8005874,-95.4482664,150.0,3.5
Boxcar BBQ,29.8282298,-95.4253757,1.0,5.0
Khoi Barbecue,29.7446994781494,-95.3861083984375,5.0,5.0
Pizzitola's Bar-B-Cue,29.7756968,-95.4097256,188.0,3.5
Ottos,29.76035,-95.36416,15.0,4.0
Colwell's BBQ/Soul Food and More,29.846,-95.34244,10.0,4.0
Luling City Market,29.7331026,-95.4573137,231.0,3.0
Pappas Bar-B-Q,29.66741,-95.26223,109.0,3.0
RDQ,29.8345794677734,-95.4100570678711,7.0,5.0
Homestyle Restaurant,29.7022200963645,-95.3492786362767,7.0,4.0
Pappas Bar-B-Q,29.69,-95.41714,215.0,3.0
Demeris Bar-B-Q,29.73941,-95.4105,181.0,3.5
Pappas Bar-B-Q,29.758256096022,-95.3692006465576,69.0,2.5
OMG BBQ,29.8041560847877,-95.3853618683549,64.0,3.5
Texas Tacos & BBQ,29.73314,-95.3289,62.0,3.5
The Bookity Bookity Boudain Man,29.6918048858643,-95.3534317016602,14.0,3.5
Willow's Texas BBQ,29.8027092831129,-95.4185328988002,61.0,5.0
Feges BBQ,29.731634,-95.431233,57.0,4.0
Old Fashion Barbeque,29.665747,-95.332945,8.0,4.5
Coffee-Q,29.7331987414394,-95.4231855645776,83.0,4.5
P&C Smokehouse,29.71628,-95.41465,2.0,5.0
Ike's BBQ,29.7102324,-95.3311102,3.0,4.5
Gabby's BBQ,29.815448,-95.410925,159.0,3.0
Texas Bar-B-Que House,29.75263,-95.3498,31.0,2.0
Colonel Eats: Gourmet Street Food,29.735549,-95.424696,5.0,4.5
Eaker Barbecue,29.66908,-95.50418,16.0,4.5
Pappas Bar-B-Q,29.700516,-95.294411,88.0,3.0
Otto's Bar B Que & Hamburgers Downtown,29.757639,-95.370361,38.0,3.5
Phil-Paul BBQ,29.7757813078481,-95.3379107639194,2.0,2.5
Eddie O’s BBQ,29.80343,-95.37582,4.0,3.5
Chapman House Smoked Meats,29.8098267,-95.3992151,1.0,5.0
Buttz,29.7360668182373,-95.4131851196289,33.0,4.5
Pappa's Bar B Q,29.68234,-95.36651,9.0,3.5
Pappas Bar-B-Q,29.831004,-95.381568,82.0,2.5
Choice Cafeteria,29.77987,-95.45613,19.0,4.5
El Burro & the Bull,29.7418707,-95.3209928,88.0,4.0
