Name,Latitude,Longitude,Votes,Rating
The Original Ninfa's on Navigation,29.75667,-95.3427,1329,4.0
Irma's Southwest,29.7575897012463,-95.3583053970873,324,4.0
La Fisheria,29.7634727117342,-95.3621543826332,525,4.0
La Calle Tacos,29.7634662971423,-95.3606901858526,556,4.0
Blanco Tacos + Tequila,29.7396,-95.465471,319,4.0
M&M Grill,29.70125,-95.38558,712,4.5
Xochi,29.754551,-95.3582,699,4.0
Calle Onze,29.79043,-95.39974,348,4.0
El Tiempo Cantina- Richmond,29.7342285,-95.4257327,732,4.0
El Tiempo Cantina - Navigation,29.75631,-95.34151,333,4.0
Superica,29.80193,-95.41033,276,4.0
Caracol,29.7433633233118,-95.4613215925904,1057,4.0
Cantina Barba,29.79085,-95.37339,127,4.5
Guadalajara Mexican Grille & Bar,29.72957,-95.4236899,373,4.0
Tacos Tierra Caliente,29.73829,-95.40826,824,4.5
Cabo Baja Tacos & Burritos,29.77071,-95.4071,300,4.0
Guadalajara Del Centro,29.7540366752636,-95.3644546895492,440,3.5
Eight Row Flint,29.79033,-95.39928,332,3.5
Hugo's,29.74317,-95.39977,1266,4.0
Cielito Cafe,29.748475,-95.401941,195,4.5
Velvet Taco,29.7700614929199,-95.4101257324219,1858,4.0
The Pastry War,29.7620197966518,-95.3612599099258,317,4.0
Taco Keto,29.73877,-95.33909,114,4.5
El Tiempo Cantina- Washington,29.7709916,-95.4189711,585,4.0
Bodegas Taco Shop,29.723803,-95.387708,540,3.5
Cuchara,29.748418,-95.385446,696,3.5
Fajitas A Go Go,29.7237821167041,-95.4189620912075,326,4.0
Peru Gourmet,29.663261,-95.464823,104,4.5
Goodnight Charlie's,29.7433221628276,-95.4003073275089,70,4.0
Fusion Taco Canteen & Cocktails,29.7981309,-95.3823537,174,4.0
Pistolero's,29.742544,-95.39836,430,3.5
La Grange,29.7434907,-95.4011294,350,3.5
La Vibra Tacos,29.779766,-95.3985646,121,4.0
La Fondita Michoacan,29.78918,-95.40955,40,4.5
Tacos A Go Go,29.7383884,-95.3798736,902,4.0
Cyclone Anaya's Mexican Kitchen,29.7524247,-95.3772482,631,3.0
Oh My Gogi!,29.7164422761895,-95.414836290213,527,4.0
Ninfa's Mexican Restaurant,29.668205,-95.2608907,177,4.0
Chuy's,29.742689,-95.420446,701,3.5
Penjamo El Grande,29.787224,-95.303604,13,5.0
Dona Maria,29.75787,-95.34309,117,4.5
Carniceria Aguascalientes,29.70036,-95.27753,107,4.5
Brothers Taco House,29.74513,-95.35682,358,4.0
El Tiempo Cantina- Westheimer,29.745045,-95.38576,286,3.5
Liberty Taco,29.7325893491507,-95.4560000449419,656,4.5
Saltillo Mexican Kitchen,29.70336,-95.47523,114,4.0
El Big Bad,29.76127624718,-95.3626658767462,608,3.0
Boombox Taco,29.773064,-95.332343,40,4.5
Coreanos,29.7497264,-95.3772903,387,4.0
Connie's Seafood,29.81088,-95.38235,169,4.0
