Name,Latitude,Longitude,Votes,Rating
Victoria's Mexican Restaurant,32.27863,-95.74995,5,5.0
Rancho Grande Mexican Restaurant,32.0517499459916,-95.5052843396588,5,4.5
Tacos Miguel,32.3022893,-95.6191097,4,4.5
El Arroyo Modern Mexican Kitchen,32.1992046,-95.8538149,46,4.5
El San Luis,32.213465,-95.827186,19,4.5
El Presidente,32.3020477,-95.6189187,6,3.0
Mariscos El Rincon Bar & Grill,32.2087115705316,-95.8560847156255,19,4.0
Los Dos Potrillos,32.3073269838497,-95.4837508759121,11,4.0
The Jalapeno Tree,32.205793,-95.8368405,34,3.5
San Pedro's Mexican Restaurant,32.30807,-95.47607,45,3.0
Tilo's Cuisine & Bakery,32.206593,-95.848242,12,3.5
Restaurant y Taquería Jalisco's,32.20446,-95.86318,19,4.0
Athens Cafe,32.206428,-95.847818,24,3.5
Texas Cafe,32.19907,-95.8540699,4,2.5
Tacos Perez,32.2085783556599,-95.832033558417,1,3.0
La Mexicana,32.2065871953964,-95.8561581373215,1,1.0
Taco Bell,32.20413,-95.85345,4,3.0
Taco Bell,32.30912,-95.47436,3,1.0
