Name,Address,Votes,Rating,cost,Longitude,Latitude,Category,City
"Hobbit Cafe
                                    "," 2243 Richmond Avenue, Houston 77098",539 votes,4.6,Cost for two:$30,,,American,Houston
"Barnaby's Cafe
                                    "," 414 W Gray Street, Houston 77019",502 votes,4.9,Cost for two:$30,,,American,Houston
"Lankford Grocery
                                    "," 88 Dennis Street, Houston 77006",440 votes,4.9,Cost for two:$25,,,American,Houston
"Brasil
                                    "," 2604 Dunlavy Street, Houston 77006",395 votes,4.6,Cost for two:$45,,,American,Houston
"Benjy's
                                    "," 2424 Dunstan Road, Houston 77005",397 votes,4.4,Cost for two:$95,,,American,Houston
"Onion Creek
                                    ", 3106 White Oak Boulevard 77007,",",4.5,Cost for two:$30,,,American,Houston
"MAX's Wine Dive
                                    ", 4720 Washington Avenue B 77007,",",4.2,Cost for two:$40,,,American,Houston
"Mosquito Café
                                    "," 628 14th Street, East End Historic District 77550",273 votes,4.7,Cost for two:$75,,,American,Houston
"Jus' Mac
                                    "," 2617 Yale Street, Houston 77008",186 votes,4.4,Cost for two:$30,,,American,Houston
"BJ's Restaurant & Brewhouse
                                    ", 515 West Bay Area Boulevard 77598,",",4.3,Cost for two:$45,,,American,Houston
"Houston's
                                    "," 4848 Kirby Drive, Houston 77098",195 votes,4.3,Cost for two:$90,,,American,Houston
"Cedar Creek
                                    ", 1034 W 20th Street 77008,",",4.1,Cost for two:$60,,,American,Houston
"T-Bone Tom's
                                    "," 707 Hwy 146, Kemah 77565",186 votes,4.1,Cost for two:$25,,,American,Houston
"Yard House
                                    ", 800 Sorella Ct 77024,",",4.1,Cost for two:$75,,,American,Houston
"EATcetera
                                    ", 408 25th Street 77550,17 votes,3.4,Cost for two:$25,,,American,Houston
"Clementine's
                                    "," 6448 Farm to Market 1960 Road W, Houston 77069",16 votes,3.4,Cost for two:$25,,,American,Houston
"Swanny's Bar & Grill
                                    "," 6224 Theall Road, Houston 77066",8 votes,3.2,Cost for two:$25,,,American,Houston
"Eloise Nichols Grill & Liquors
                                    "," 2400 Mid Lane, Suite100, Houston 77027",",",3,Cost for two:$30,,,American,Houston
"Barnaby’s Cafe
                                    "," 2802 White Oak Drive, Houston 77007",16 votes,3.3,Cost for two:$50,,,American,Houston
"Pine Street Cafe at Silver Sycamore
                                    "," 5111 Pine Avenue, Golden Acres 77503",8 votes,3.8,Cost for two:$25,,,American,Houston
"Stadia Sports Grill
                                    "," 9595 Six Pines Drive, Suite 1110, The Woodlands 77380",",",3.3,Cost for two:$75,,,American,Houston
"Wings n' More
                                    "," 13516 Interstate 10 East Fwy, Houston 77015",6 votes,3.6,Cost for two:$25,,,American,Houston
"FM Kitchen and Bar
                                    ", 1112 Shepherd Drive 77007,",",2.8,Cost for two:$45,,,American,Houston
"Waffle House
                                    ", 728 N Sam Houston Pkwy East 77060,10 votes,3.6,Cost for two:$25,,,American,Houston
"Press Box
                                    "," 2401 Post Office Street, Galveston 77550",",",3.6,Cost for two:$25,,,American,Houston
"Dairy Land
                                    ", 1300 S Gordon Street 77511,5 votes,3.6,Cost for two:$25,,,American,Houston
"Alamo Bar & Grill
                                    ", 7846 Fallbrook Drive 77086,",",3.2,Cost for two:$25,,,American,Houston
"Brookstreet BBQ
                                    "," 10705 Westheimer Rd, Houston 77042",19 votes,3.5,Cost for two:$25,,,American,Houston
"Reef
                                    "," 2600 Travis Street, Houston 77006",423 votes,4.3,Cost for two:$105,,,American,Houston
"The Cheesecake Factory
                                    "," 5015 Westheimer Road, Houston 77056",334 votes,4.3,Cost for two:$75,,,American,Houston
"The Spot
                                    ", 3204 Seawall Boulevard 77550,325 votes,4.4,Cost for two:$25,,,American,Houston
"J&M Barbeque & Catering
                                    "," 7446 Martin Luther King Junior Boulevard, Houston 77033",Cuisines: ,,Cost for two:$75,,,American,Houston
"Mel's Country Cafe
                                    ", 24814 Stanolind Road 77375,298 votes,4.9,Cost for two:$35,,,American,Houston
"Gaido's Seafood Restaurant
                                    ", 3802 Seawall Boulevard 77550,",",4.1,Cost for two:$95,,,American,Houston
"Bubba's Texas Burger Shack
                                    ", 5230 Westpark Drive 77056,247 votes,4.8,Cost for two:$20,,,American,Houston
"Balls Out Burger
                                    "," 1603 North Durham Drive, Houston 77008",Cuisines: ,,Cost for two:$25,,,American,Houston
"Fuddruckers
                                    "," 8510 Creekside Forest Dr. E-200, Tomball 77375",Cuisines: ,,Cost for two:$25,,,American,Houston
"J&M HOT MEALS
                                    ", 11555 Cullen Boulevard 77047,Cuisines: ,,Cost for two:$25,,,American,Houston
"Krisp Bird & Batter
                                    ", 5922 Richmond Avenue 77057,Cuisines: ,,Cost for two:$25,,,American,Houston
"Revi's Grill & Family Restaurant
                                    ", 15202 Mason Road 77433,Cuisines: ,,Cost for two:$40,,,American,Houston
"Slim Chickens
                                    ", 6507 Farm to Market 2920 77379,Cuisines: ,,Cost for two:$40,,,American,Houston
"TG's Cravings
                                    "," 16338 Kensington Drive, Sugar Land 77479",Cuisines: ,,Cost for two:$75,,,American,Houston
"Dark Side Of The Spoon Rock Cafe
                                    "," 30420 FM 2978, The Woodlands 77354",Cuisines: ,,Cost for two:$25,,,American,Houston
"Huddle House
                                    ", 24110 FM 2100 Suite 100,",",,Cost for two:$20,,,American,Houston
"Seven River Oaks
                                    "," 2207 Richmond Ave, Houston 77098",Cuisines: ,,Cost for two:$150,,,American,Houston
"Potato Corner
                                    "," 5015 Westheimer Road, Houston 77056",Cuisines: ,,Cost for two:$15,,,American,Houston
"Shamrock Inn Pub
                                    "," 9161 South Gessner Road, Houston 77074",Cuisines: ,,Cost for two:$25,,,American,Houston
"Tilted Kilt
                                    "," 2481 South Gulf Freeway, Houston",Cuisines: ,,Cost for two:$20,,,American,Houston
"Texas Borders Bar & Grill 1093
                                    ", 26440 FM 1093 Road 400,Cuisines: ,,Cost for two:$35,,,American,Houston
"Hot Dogs Express Food Cart
                                    "," 8320 FM 1960 Road West, Houston 77070",Cuisines: ,,Cost for two:$15,,,American,Houston
"Fuego's Saloon
                                    "," 817 Durham Dr, Houston",Cuisines: ,,Cost for two:$30,,,American,Houston
"Frenchy's Chicken
                                    "," 202 Sawdust Road, Spring 77380",Cuisines: ,,Cost for two:$20,,,American,Houston
"Kathy's Country Kitchen
                                    "," 23115 Hwy 36, Damon 77430",Cuisines: ,,Cost for two:$25,,,American,Houston
"Juanito's Mexican Restaurant
                                    "," 2536 S Grand Boulevard, Pearland 77581",25 votes,3.7,Cost for two:$25,,,American,Houston
"House of Fries
                                    "," 5322 Antoine Drive, Houston 77091",18 votes,3.6,Cost for two:$25,,,American,Houston
"Best Burger
                                    "," 2203 S Main St, Stafford 77477",18 votes,3.9,Cost for two:$25,,,American,Houston
"Someburger Hamburgers
                                    "," 900 Decker Dr, Baytown 77520",21 votes,3.7,Cost for two:$25,,,American,Houston
"Mom's Kountry Cafe
                                    ", 226 Dell Dale Street 77530,16 votes,3.6,Cost for two:$25,,,American,Houston
"Charlie's BBQ
                                    "," 8222 Airline Drive, Houston 77037",19 votes,3.9,Cost for two:$75,,,American,Houston
