Name,Latitude,Longitude,Votes,Rating,Type,City
Jajaja,40.714153031714204,-73.99042479693891,859.0,4.5,mexican,ny
Jajaja,40.72979,-74.00455,73.0,4.5,mexican,ny
Toloache 50,40.762325,-73.9855741,1904.0,4.0,mexican,ny
Casa Enrique,40.743404338358005,-73.95435036769301,1146.0,4.0,mexican,ny
Rosie's,40.724920000000004,-73.99079,683.0,4.0,mexican,ny
Cafe Habana,40.722998,-73.994171,3134.0,4.0,mexican,ny
Oxomoco,40.729909899999996,-73.95548000000001,258.0,4.0,mexican,ny
Los Tacos No.1,40.7425547,-74.0060838,2861.0,4.5,mexican,ny
La Contenta,40.71873,-73.98691,720.0,4.5,mexican,ny
The Maze,40.747846,-73.98724990000001,418.0,4.0,mexican,ny
Taco Dumbo,40.700601,-73.988467,182.0,4.0,mexican,ny
Breakroom,40.716690722554205,-73.9999440120647,1568.0,4.5,mexican,ny
Los Tacos No.1,40.7575067,-73.98777170000001,1595.0,4.5,mexican,ny
Barrio Chino,40.718022,-73.990026,1097.0,4.0,mexican,ny
Flip Sigi,40.73405,-74.00641999999999,678.0,4.0,mexican,ny
BarBacon Hell's Kitchen,40.766253000000006,-73.986674,1174.0,4.0,mexican,ny
Las Santas,40.6882,-73.97953000000001,28.0,5.0,mexican,ny
Miti Miti,40.6786672454389,-73.97912008180809,909.0,4.0,mexican,ny
Don Chingon,40.681043122149404,-73.9752403260395,335.0,4.5,mexican,ny
The Bear,40.7128339,-73.9663587,30.0,4.5,mexican,ny
Xixa,40.7104,-73.95854,567.0,4.5,mexican,ny
Mamasita Bar & Grill,40.76733,-73.98945,990.0,4.0,mexican,ny
Bar Bolinas,40.693498999999996,-73.967389,119.0,4.0,mexican,ny
Tacuba Hell's Kitchen,40.76545,-73.98729,635.0,4.0,mexican,ny
Claro,40.6773587963142,-73.98619844894459,160.0,4.0,mexican,ny
Anejo Tribeca,40.7193829,-74.004417,353.0,4.0,mexican,ny
Los Mariscos,40.74207,-74.00565,541.0,4.5,mexican,ny
Vida Verde,40.7650089,-73.983215,1069.0,4.5,mexican,ny
El Camion,40.7291,-73.98105,679.0,4.0,mexican,ny
Kahlo,40.752179999999996,-74.0026,86.0,4.5,mexican,ny
La Loteria,40.73078655309779,-74.0041882564488,315.0,4.0,mexican,ny
Leyenda,40.684309999999996,-73.99197,213.0,4.0,mexican,ny
Calaca,40.6834,-73.95655,172.0,4.5,mexican,ny
Revolution Taco & Tequila Bar,40.704370000000004,-74.01039,13.0,4.0,mexican,ny
Cantina Rooftop,40.765101,-73.99604599999999,652.0,3.0,mexican,ny
Bar Verde,40.726084906103395,-73.9897361397743,222.0,4.5,mexican,ny
Rocco's Tacos & Tequila Bar,40.69319596606,-73.9885798943981,1287.0,3.5,mexican,ny
Mesa Coyoacan,40.715528000000006,-73.944273,750.0,4.0,mexican,ny
Maya,40.7632055528185,-73.9596225112209,901.0,3.5,mexican,ny
The Taco Shop,40.7319488525391,-74.0015411376953,357.0,4.0,mexican,ny
Taco Mahal,40.732337,-74.003303,529.0,4.5,mexican,ny
La Slowteria,40.675054752231,-73.9995680865082,243.0,4.0,mexican,ny
Hell's Kitchen,40.7638823425707,-73.9884334000586,399.0,4.0,mexican,ny
Street Taco,40.740970000000004,-73.98201999999999,333.0,4.0,mexican,ny
The Lost Lady,40.72631,-73.97756,77.0,4.0,mexican,ny
The Black Ant,40.72578,-73.98952,525.0,4.0,mexican,ny
Fonda East Village,40.722852,-73.98286,750.0,4.0,mexican,ny
Donna,40.71093,-73.96772,172.0,4.0,mexican,ny
De Mole,40.713770000000004,-73.95786,92.0,4.5,mexican,ny
Purepecha,40.684508,-73.9917,15.0,4.0,mexican,ny
Eastpoint,40.72228,-73.98311,42.0,4.5,mexican,ny
Mayamezcal,40.727109999999996,-73.98817,604.0,4.0,mexican,ny
Alta Calidad,40.68011,-73.96818,183.0,4.0,mexican,ny
