Name,Latitude,Longitude,Votes,Rating,Type,City
Gen Korean BBQ House,29.742687,-95.379709,108.0,4.5,bbq,houston
The Pit Room,29.7342352703345,-95.3939679771603,1651.0,4.5,bbq,houston
Pinkerton's Barbecue,29.79868,-95.3815,638.0,4.5,bbq,houston
L&L Hawaiian Barbecue,29.7746655,-95.397958,27.0,4.5,bbq,houston
Gyu-Kaku Japanese BBQ,29.7505917766388,-95.3753622367706,1351.0,4.0,bbq,houston
Truth BBQ,29.76892,-95.39742,255.0,4.5,bbq,houston
Jackson Street BBQ,29.7588636332986,-95.3543785428204,438.0,4.0,bbq,houston
Ray's BBQ Shack,29.7026499,-95.3567173,662.0,4.5,bbq,houston
Siu Lap City,29.74512,-95.37747,97.0,4.5,bbq,houston
Brookstreet Bar-B-Que,29.7460823059082,-95.3914413452148,352.0,4.0,bbq,houston
Gatlin's BBQ,29.8204165146057,-95.4290675846557,657.0,3.5,bbq,houston
Harris County General Store Barbecue,29.74703,-95.30759,15.0,5.0,bbq,houston
Barbecue Inn,29.82854,-95.40036,278.0,4.0,bbq,houston
Henderson & Kane,29.76597,-95.37954,56.0,5.0,bbq,houston
Fainmous BBQ,29.66818,-95.4637,287.0,4.0,bbq,houston
Hoot's Smokehouse,29.735143213987,-95.2868901193142,29.0,4.5,bbq,houston
Goode Company Barbeque,29.7270351632195,-95.4184110074096,1116.0,3.5,bbq,houston
Blood Bros. BBQ,29.705155,-95.475517,164.0,4.5,bbq,houston
Two Brothers Smokin Oak Kitchen,29.67293,-95.4445,23.0,5.0,bbq,houston
Nickel Sandwich Grill,29.77669,-95.3148,58.0,4.0,bbq,houston
Pappas Bar-B-Q,29.74853,-95.36857,240.0,3.0,bbq,houston
Hungry Farmer Barbeque,29.82807,-95.37868,104.0,3.5,bbq,houston
House of Blues Restaurant & Bar,29.7538392,-95.3637491,82.0,3.5,bbq,houston
Victorian's Barbecue,29.7604267,-95.3698028,7.0,4.5,bbq,houston
Napoli Wine Cafe,29.770219,-95.407797,9.0,3.5,bbq,houston
MC's Barbecue,29.8098730215812,-95.3267430514097,11.0,4.0,bbq,houston
Boxcar BBQ,29.8282298,-95.4253757,1.0,5.0,bbq,houston
Demeris Bar-B-Q,29.8005874,-95.4482664,150.0,3.5,bbq,houston
Pizzitola's Bar-B-Cue,29.7756968,-95.4097256,188.0,3.5,bbq,houston
Khoi Barbecue,29.7446994781494,-95.3861083984375,5.0,5.0,bbq,houston
Colwell's BBQ/Soul Food and More,29.846,-95.34244,10.0,4.0,bbq,houston
Ottos,29.76035,-95.36416,15.0,4.0,bbq,houston
Homestyle Restaurant,29.7022200963645,-95.3492786362767,7.0,4.0,bbq,houston
Pappas Bar-B-Q,29.66741,-95.26223,110.0,3.0,bbq,houston
RDQ,29.8345794677734,-95.4100570678711,7.0,5.0,bbq,houston
Luling City Market,29.7331026,-95.4573137,231.0,3.0,bbq,houston
Pappas Bar-B-Q,29.69,-95.41714,216.0,3.0,bbq,houston
