Name,Latitude,Longitude,Votes,Rating,Type,City
Gen Korean BBQ House,29.742687,-95.379709,108,4.5,indian,houston
Ritual,29.78193,-95.38735,1354,4.0,indian,houston
Ambrosia,29.731809,-95.409689,899,4.0,indian,houston
Traveler's Table,29.7447631258091,-95.3880459442735,60,4.5,indian,houston
The Rustic,29.7502708,-95.3595825,485,4.0,indian,houston
Oporto Fooding House & Wine,29.7531384239378,-95.3802139853275,943,4.5,indian,houston
The Pit Room,29.7342352703345,-95.3939679771603,1651,4.5,indian,houston
Nancy's Hustle,29.74551,-95.3520999,517,4.5,indian,houston
Bosscat Kitchen & Libations,29.7418,-95.450518,1616,4.5,indian,houston
Studewood Cantine,29.79147,-95.38829,79,4.5,indian,houston
La Lucha,29.80193,-95.41033,277,4.5,indian,houston
Hearsay Market Square,29.763046,-95.3615717,1663,4.0,indian,houston
State of Grace,29.7424624840221,-95.4252861972305,640,4.5,indian,houston
North Italia,29.7485868638914,-95.4620253208921,1520,4.0,indian,houston
Kulture,29.7545999989511,-95.3567959944427,315,4.0,indian,houston
Steak 48,29.741784,-95.454529,1044,4.5,indian,houston
Lucille's,29.72388,-95.38515,829,4.0,indian,houston
The Blind Goat,29.76156,-95.36228,152,4.0,indian,houston
JINYA Ramen Bar,29.742755,-95.379845,2780,4.5,indian,houston
Nobie's,29.73536,-95.41004,363,4.5,indian,houston
Guard and Grace,29.7575888214359,-95.370075814426,8,4.5,indian,houston
Peli Peli,29.7397965769971,-95.4640101607907,1649,4.5,indian,houston
Sixty Vines,29.7160551435419,-95.4172210115955,76,4.5,indian,houston
One Dim Sum,29.75076,-95.37554,107,3.5,indian,houston
Postino Montrose,29.74651,-95.39033,66,4.5,indian,houston
Ruggles Black,29.7313688242292,-95.4180035698364,546,4.0,indian,houston
BCK,29.7887995448524,-95.388083953373,784,4.5,indian,houston
Grotto Downtown,29.7539178,-95.3571966,324,4.0,indian,houston
Squable,29.802594,-95.409436,105,4.5,indian,houston
Conservatory,29.76038,-95.36162,487,4.5,indian,houston
Shun Japanese Kitchen,29.74042,-95.41089,253,4.5,indian,houston
Coltivare,29.7817,-95.39371,831,4.0,indian,houston
Pinkerton's Barbecue,29.79868,-95.3815,638,4.5,indian,houston
Hearsay on the Green,29.752967,-95.361335,473,4.0,indian,houston
L&L Hawaiian Barbecue,29.7746655,-95.397958,27,4.5,indian,houston
Mico’s Hot Chicken,29.7364923677041,-95.476171,213,4.5,indian,houston
Eunice,29.7323075,-95.4278721,214,4.5,indian,houston
Rodeo Goat,29.749827,-95.356385,505,4.5,indian,houston
Crisp,29.8062839508057,-95.4220886230469,856,4.0,indian,houston
Yoyo's Hot Dog,29.7162012025613,-95.4146640004135,750,4.5,indian,houston
Gyu-Kaku Japanese BBQ,29.7505917766388,-95.3753622367706,1351,4.0,indian,houston
Bollo Woodfired Pizza,29.7389786,-95.4134581,580,4.5,indian,houston
Edison & Patton,29.79839,-95.36316,453,4.0,indian,houston
On The Kirb,29.7275609954157,-95.4188848876245,449,4.5,indian,houston
Merus Grill by J. Alexander's,29.75537,-95.45831,11,5.0,indian,houston
1751 Sea and Bar,29.77387,-95.39795,162,4.5,indian,houston
Street Food Thai Market,29.80417,-95.38505,269,4.5,indian,houston
The Original Ninfa's on Navigation,29.75667,-95.3427,1333,4.0,indian,houston
MAD,29.743755,-95.453037,176,4.0,indian,houston
Hu's Cooking,29.70645,-95.41693,225,4.5,indian,houston
Uchi,29.74493,-95.39091,1822,4.5,indian,houston
Tiger Noodle House,29.717709,-95.416064,213,4.5,indian,houston
Fat Bao,29.7351499099632,-95.4181346297265,1568,4.0,indian,houston
Osso & Kristalla,29.7574509,-95.3579026,243,4.0,indian,houston
benjy's,29.719421,-95.416392,1126,4.0,indian,houston
Truck Yard - Houston,29.75017,-95.35589,389,4.0,indian,houston
Asia Market Thai Lao Food,29.7911832,-95.3728234,356,4.5,indian,houston
Irma's Southwest,29.7575897012463,-95.3583053970873,324,4.0,indian,houston
Dream Wings,29.81854,-95.42985,214,4.5,indian,houston
Truth BBQ,29.76892,-95.39742,255,4.5,indian,houston
Gus's World Famous Fried Chicken,29.76753,-95.37655,573,4.0,indian,houston
Potente,29.7572378866031,-95.3574474900742,206,4.5,indian,houston
Pappas Bros. Steakhouse,29.7555094708505,-95.3628793166023,258,4.5,indian,houston
Elliot's Table,29.77962,-95.41845,121,4.0,indian,houston
Savoir,29.79596,-95.39889,34,4.0,indian,houston
Kokoro,29.76156,-95.36228,68,4.5,indian,houston
Wanna Bao,29.74769,-95.38019,407,4.0,indian,houston
La Fisheria,29.7634727117342,-95.3621543826332,528,4.0,indian,houston
Grace's,29.737020211778,-95.4185060876135,820,4.0,indian,houston
Rosie Cannonball,29.7429149,-95.3998577,34,4.0,indian,houston
Hamburger Mary's,29.74768,-95.39075,271,4.0,indian,houston
Masraff's,29.74813,-95.46087,865,4.5,indian,houston
Field & Tides,29.7910957336426,-95.3896789550781,395,4.0,indian,houston
Roost,29.7447265,-95.4073275,529,4.0,indian,houston
Brenner's on the Bayou,29.7595459124491,-95.4199138920306,653,4.0,indian,houston
Lúa Viet Kitchen,29.73893,-95.39912,336,4.5,indian,houston
Candente,29.73415,-95.39313,59,4.0,indian,houston
Huynh Restaurant,29.75179,-95.35552,860,4.0,indian,houston
Bird Haus,29.76036,-95.3615819,82,4.0,indian,houston
Rim Tanon,29.7340213532774,-95.4147996660098,356,4.5,indian,houston
BCN Taste & Tradition,29.7349309,-95.390075,297,4.5,indian,houston
Mia's Table,29.73713,-95.41731,596,4.0,indian,houston
The French Fry House,29.68129,-95.31999,166,4.5,indian,houston
Truluck's,29.7402018410924,-95.4699522711639,718,4.0,indian,houston
Riva's Italian Restaurant,29.74605,-95.39248,517,4.0,indian,houston
La Calle Tacos,29.7634662971423,-95.3606901858526,564,4.0,indian,houston
Izakaya,29.7520078,-95.3768782,588,4.0,indian,houston
Flying Saucer Draught Emporium,29.75882,-95.36315,716,4.0,indian,houston
Zen Japanese Izakaya,29.74762,-95.4103499,210,4.0,indian,houston
Luna Pizzeria,29.7350980889096,-95.4177527502179,888,4.5,indian,houston
Pappadeaux Seafood Kitchen,29.750839,-95.359628,195,4.0,indian,houston
The Hay Merchant,29.74494,-95.39303,995,4.0,indian,houston
rise nº2,29.74999,-95.462702,456,4.5,indian,houston
Relish Restaurant & Bar,29.742346,-95.4211217,152,4.0,indian,houston
Yauatcha,29.740199,-95.462726,669,4.0,indian,houston
Roma,29.7149,-95.41475,74,4.0,indian,houston
Theodore Rex,29.767778,-95.3540249,146,4.5,indian,houston
Preslee’s - Southern Good Eatery,29.80231,-95.42419,44,3.5,indian,houston
Finn Hall,29.758662,-95.363796,189,4.0,indian,houston
Saint Arnold Brewing Company,29.771458,-95.34779,834,4.5,indian,houston
The Turkey Leg Hut,29.7259279609009,-95.377991348505,1017,3.5,indian,houston
MF Sushi,29.723782,-95.385899,502,4.5,indian,houston
Alice Blue,29.8027866863104,-95.4010648693115,202,4.0,indian,houston
True Food Kitchen - Houston,29.749342,-95.462263,961,4.0,indian,houston
LES NOO'DLE,29.752078,-95.3918897,281,4.5,indian,houston
Prohibition Theatre,29.76045,-95.36169,551,4.0,indian,houston
The Rice Box,29.8037,-95.4017,625,4.0,indian,houston
Around the Corner,29.7467267366316,-95.3580480587744,181,4.5,indian,houston
Moxie's Grill & Bar,29.7421763,-95.4623737,558,4.0,indian,houston
JINYA Ramen Bar,29.80336,-95.4052,57,4.5,indian,houston
Perbacco,29.760168,-95.365059,167,4.0,indian,houston
Andes Cafe,29.75829,-95.3464,372,4.0,indian,houston
Blanco Tacos + Tequila,29.7396,-95.465471,319,4.0,indian,houston
The Grove,29.7526501477753,-95.3603514211737,748,3.5,indian,houston
Backstreet Café,29.75533,-95.40863,1316,4.0,indian,houston
Aladdin Mediterranean Cuisine,29.745032,-95.391123,1034,4.5,indian,houston
Kata Robata,29.7335727255874,-95.4194910185242,1422,4.0,indian,houston
Pinstripes,29.7354339,-95.4188049,20,4.5,indian,houston
The Gypsy Poet,29.74416,-95.37029,79,5.0,indian,houston
The Breakfast Klub,29.73843,-95.38048,4291,4.5,indian,houston
Jackson Street BBQ,29.7588636332986,-95.3543785428204,438,4.0,indian,houston
Stanton's City Bites,29.770945,-95.372068,1090,4.5,indian,houston
Dak & Bop,29.721726,-95.382427,1026,3.5,indian,houston
The Moonshiners Southern Table + Bar,29.76056,-95.36188,562,4.0,indian,houston
Nobu Houston,29.74048,-95.46467,243,3.5,indian,houston
Kenny & Ziggy's New York Delicatessen,29.7429019,-95.4608651,1137,4.0,indian,houston
Vic & Anthony's Steakhouse,29.7570194980525,-95.3581523895264,876,4.0,indian,houston
Brennan's of Houston,29.7429008483887,-95.3814392089844,735,4.0,indian,houston
Mama’s Kitchen,29.7323257688598,-95.4388258070098,45,4.5,indian,houston
M&M Grill,29.70125,-95.38558,713,4.5,indian,houston
Olive & Twist,29.73435,-95.42048,51,4.5,indian,houston
Brasserie du Parc,29.7538691044983,-95.3612487998702,226,4.0,indian,houston
Niko Niko's Greek & American Cafe,29.74651,-95.39218,1888,4.0,indian,houston
Xochi,29.754551,-95.3582,702,4.0,indian,houston
Tamashi Ramen and Sushi,29.70642,-95.41726,363,4.5,indian,houston
Grand Lux Cafe,29.7412259641579,-95.4629382423279,857,3.5,indian,houston
Blackbird Izakaya,29.79036,-95.4092,214,4.0,indian,houston
Pepper Twins,29.74806,-95.38634,598,4.0,indian,houston
Spicy Girl,29.7389782,-95.3801068,306,4.0,indian,houston
Better Luck Tomorrow,29.78122,-95.39861,249,4.0,indian,houston
Doris Metropolitan,29.740215,-95.410475,201,4.5,indian,houston
B&B Butchers & Restaurant,29.76807,-95.37628,954,3.5,indian,houston
Eddie V's Prime Seafood,29.7402734338612,-95.4190848558197,618,4.5,indian,houston
Chicken Station,29.73594,-95.30192,161,4.5,indian,houston
Lotti Dotti,29.734293,-95.387233,40,4.5,indian,houston
Riel,29.74456,-95.40489,216,4.0,indian,houston
Moon Tower Inn,29.754284,-95.341073,762,4.0,indian,houston
The Blue Fish,29.7620117022974,-95.3664868883606,840,4.0,indian,houston
Giacomo's Cibo e Vino,29.742032,-95.423718,512,4.0,indian,houston
Local Foods,29.7195096809181,-95.4164240674591,1507,4.5,indian,houston
Mastrantos,29.788228,-95.388072,104,4.5,indian,houston
Songkran Thai Kitchen,29.7565604,-95.4573055,360,4.0,indian,houston
Bistecca,29.744848,-95.383987,190,4.5,indian,houston
Liberty Kitchen & Oyster Bar,29.79058,-95.38753,1076,3.5,indian,houston
City Acre Brewing,29.85699,-95.33508,120,4.5,indian,houston
D'Amico's Italian Market Cafe,29.71598,-95.4153504,368,4.0,indian,houston
Da Marco,29.74313,-95.397814,324,4.0,indian,houston
Dolce Vita,29.744775,-95.38742,711,4.0,indian,houston
La Villa,29.733931,-95.3908263,59,4.5,indian,houston
Mia Bella Trattoria,29.7534684960069,-95.3641167312134,281,4.0,indian,houston
Urban Eats,29.7695392518322,-95.3949268650834,891,4.0,indian,houston
Del Frisco's Double Eagle Steakhouse,29.7399776,-95.4638549,722,4.0,indian,houston
Lucienne,29.7551246407975,-95.3660582005978,65,4.0,indian,houston
B.B. Lemon,29.7674542512049,-95.3761047497392,203,3.5,indian,houston
Taste Bar + Kitchen,29.74529,-95.3813,391,3.5,indian,houston
