Name,Latitude,Longitude,Votes,Rating
Amélie,40.7327,-73.99766,2618,4.5
Upstate,40.7263139141197,-73.9864901976935,1812,4.5
LoveMama,40.7303859,-73.9860613,4717,4.5
Aunt Jake's,40.7190315,-73.9977161,1390,4.0
Barn Joo,40.73684,-73.99069,1548,4.0
Thai Villa,40.73902,-73.99065,3027,4.5
Boucherie West Village,40.733063,-74.0028772,1325,4.5
Uglyduckling,40.686023,-73.991302,466,4.0
nonono,40.74545,-73.98499,587,4.5
Fishmarket Restaurant,40.70717,-74.00192,539,4.5
Burger & Lobster,40.74007,-73.99344,5323,4.0
Barn Joo 35,40.74964,-73.98582,1818,4.5
Salt + Charcoal,40.71453,-73.9613511,425,4.0
Joe's Shanghai,40.7146691442891,-73.9977602206654,5997,4.0
Pig and Khao,40.71926,-73.98475,1570,4.0
Balzem,40.721408,-73.995415,414,4.0
Bogota Latin Bistro,40.678165,-73.978976,2134,4.0
Juliana's Pizza,40.7026153030093,-73.9934159993549,2116,4.5
L'Artusi,40.733714,-74.005068,1780,4.5
Paesano of Mulberry Street,40.718554,-73.997447,827,4.0
Zusik,40.73864,-74.00029,111,5.0
Ipanema Restaurant,40.757072217349,-73.9807795529175,1316,4.0
1803,40.715498,-74.007178,322,4.5
Jacob's Pickles,40.7866504411994,-73.9755284786224,3973,4.0
Jajaja,40.7141530317142,-73.9904247969389,852,4.5
Da Andrea,40.736218,-73.99597,733,4.0
Alta,40.7345163811398,-73.9983369619683,1869,4.0
Chow House,40.72915,-74.00072,338,4.5
Les Enfants de Boheme,40.7136187,-73.9888503,228,4.5
Thursday Kitchen,40.7275,-73.9838,1270,4.5
Rubirosa,40.72275,-73.99622,2100,4.5
Trading Post,40.7059604,-74.0041871,414,4.0
Gelso & Grand,40.7194089547259,-73.9973777877722,852,4.5
Atrium Dumbo,40.7033899,-73.9904923,657,3.5
Carmine's Italian Restaurant - Times Square,40.7574955824307,-73.9866844540098,3657,4.0
Anytime,40.74779,-73.98674,1023,4.5
The Jin,40.76857,-73.98874,190,4.5
Zen Yai Pho Noodle Bar,40.713897,-73.960337,37,4.5
Bea,40.7591968,-73.9923361,2430,4.0
Piccola Cucina Osteria,40.72506,-74.00322,498,4.5
Momo King,40.6918,-73.98617,13,4.5
Antica Ristorante,40.7039355145338,-74.0121731758117,490,4.5
Raku,40.7264988089246,-73.9866526052356,997,4.5
Ippudo NY,40.73092,-73.99015,9891,4.0
Chama Mama,40.7384,-73.99892,172,4.5
Raku,40.72728,-74.00252,317,4.5
The Boil,40.71974,-73.99339,1869,4.5
Pepe Rosso Social,40.72007,-73.99618,812,4.0
PMF Pardon My French,40.72473,-73.98115,941,4.0
Silver Factory,40.709227,-73.958598,175,4.5
Boucherie Union Square,40.73715,-73.98789,660,4.5
Somtum Der,40.7252151982238,-73.9842741682317,702,4.0
Ainslie,40.712343,-73.952121,81,4.0
Da Yu Hot Pot 大渝火锅,40.716733,-73.995379,104,4.0
Supper,40.7229,-73.98527,1266,4.0
Blue Ribbon Brasserie - SoHo,40.725456,-74.003027,923,4.5
Olio e Piú,40.733826,-73.999852,2022,4.0
Tableside Italian Cook Shoppe,40.7266287,-73.9863384,243,4.5
HandCraft Kitchen & Cocktails,40.74103,-73.98132,370,4.0
TONCHIN NEW YORK,40.7502727,-73.9844951,1000,4.5
Root & Bone,40.72272,-73.98334,1559,4.0
BoCaphe,40.722046,-73.997557,1360,4.0
Bijan's,40.68803,-73.98671,537,4.0
Peter Luger,40.709945,-73.962478,5592,4.0
Naked Dog,40.7312720665479,-73.9593493647979,192,4.5
DOMODOMO New York,40.72803,-74.00167,1015,4.5
Dun Huang - East Village,40.73081,-73.98568,301,4.5
Jack the Horse Tavern,40.699973,-73.993781,386,4.0
Zhen Wei Fang,40.72128,-73.99343,167,4.0
Lillo Cucina Italiana,40.69023,-73.99634,118,5.0
Celestine,40.704676,-73.987975,203,4.0
JeJu Noodle Bar,40.73304,-74.00734,476,4.5
Benemon,40.72551,-73.98838,526,4.5
The River Café,40.70318,-73.9946499,1108,4.0
Claw Daddy's,40.68561,-73.98035,396,4.0
Jajaja,40.72979,-74.00455,69,4.5
Jora Restaurant & Bar,40.7438054,-73.9515007,574,4.5
Carroll Place,40.7287,-73.99971,1026,4.0
The Osprey,40.702241,-73.995539,181,4.0
District Social,40.75369,-73.99136,656,4.0
BlackTail,40.7044769199104,-74.0174372308775,279,4.5
Soco,40.693866,-73.964535,2083,4.0
Ootoya Chelsea,40.738767,-73.992778,1363,4.0
Toloache 50,40.762325,-73.9855741,1898,4.0
The MasalaWala,40.72191,-73.98666,1435,4.5
Pado,40.7314,-73.98589,253,4.5
Otis,40.706011,-73.932598,256,5.0
Noodle Pudding,40.69979,-73.99203,556,4.0
Wayla,40.71828,-73.99275,174,4.5
Otaku Katsu,40.719384,-73.986529,28,4.5
Gramercy Tavern,40.738527,-73.988417,2843,4.5
City Vineyard,40.7205582,-74.0118093,795,4.0
88 Lan Zhou Handmade Noodle,40.7155,-73.99675,1782,4.0
Nyonya,40.7190148,-73.9968228,2047,4.0
Wok Wok,40.71406,-73.99883,891,4.0
Aurora,40.715621,-73.964757,583,4.0
Win Son,40.70747,-73.94339,437,4.5
Hao Noodle and Tea By Madam Zhu's Kitchen,40.7334863190479,-73.9998929006093,696,4.0
Emily,40.68351,-73.96643,744,4.0
Wah Fung No 1 Fast Food,40.71735,-73.99457,1351,4.5
Las Ramblas,40.731958,-74.0015486,712,4.0
Fish Cheeks,40.7258,-73.9927,513,4.5
Tsurutontan Udon Noodle Brasserie,40.73678,-73.9910699,1756,4.0
Rabbit House Japanese Tapas & Sake Bar,40.71725,-73.99329,218,4.5
Traif,40.710658,-73.958872,1843,4.5
Top Thai Greenwich,40.72977,-73.99939,1305,4.5
The Ribbon,40.7576,-73.98693,134,4.0
Ugly Kitchen,40.7266856651479,-73.9862178981476,609,4.0
Galli,40.72161,-74.00127,901,4.0
Basta Pasta,40.73881,-73.99407,1406,4.0
Hao Noodle Chelsea,40.7406999,-74.00436,333,4.5
Westville Dumbo,40.7017969340086,-73.9896315336227,267,4.0
IL Brigante,40.707492,-74.002571,380,4.0
Ducks Eatery,40.7306252,-73.9846268,617,4.0
The Binc,40.6992682,-73.9923109,70,4.5
Luke's Lobster FiDi,40.7046213003984,-74.0107793876969,1126,4.5
Rasa,40.7327654,-73.9975674,683,4.0
Savida,40.71645,-74.00783,65,4.5
China Blue,40.724038,-74.009958,674,4.0
La Sirène-Soho,40.7243642217227,-74.005708694458,1584,4.5
Fong On,40.71417,-73.9937,46,4.5
Juanchi's Burger,40.713003,-73.958863,384,4.5
Lilia,40.71757,-73.95236,753,4.0
Khe-Yo,40.716906,-74.008587,709,4.0
Peaches HotHouse,40.6833699737169,-73.9437798410654,1136,4.0
Boqueria Soho,40.724912,-74.0021299,972,4.0
Evelina,40.689722,-73.971003,150,4.5
Red Hook Lobster Pound,40.6797687107191,-74.0103686973453,1053,4.0
Buddakan,40.7422762672197,-74.0048000961542,3891,4.0
OBAO,40.7606544,-73.991332,2435,4.0
Clay Pot - East Village,40.7279880270274,-73.9865907985248,298,4.0
Excuse My French,40.71844,-73.98981,266,4.5
Izakaya Juraku,40.7196796287355,-73.9887088537216,80,4.5
Maharlika,40.72695,-73.98611,1489,4.0
Malatesta Trattoria,40.73285,-74.00847,1227,4.0
Up Thai,40.7698275926665,-73.9576330868512,2172,4.5
Set L.E.S,40.7198495417833,-73.9885318279266,426,4.0
Sauce & Barrel,40.707999,-74.0142651,374,4.0
GunBae,40.714683,-74.010223,256,4.0
Pepe Giallo,40.7468940064083,-74.0049896784992,623,4.0
Claw Daddy's,40.722071,-73.98847,1597,4.0
Pollo D' Oro,40.6949059702115,-73.9833294451642,243,4.0
Kaikagetsu NYC,40.72104,-73.98848,50,4.5
Lupa,40.7276,-74.000045,1501,4.0
Takeshi Sushi,40.72294,-74.00464,67,4.5
Pies-n-Thighs,40.711191,-73.961424,2828,4.0
Beauty & Essex,40.72037,-73.98677,3399,4.0
Cock & Bull,40.7560908823673,-73.9804858350908,526,4.0
Miss Ada,40.689436,-73.9723809,196,4.5
The Horny Ram,40.75528,-73.96857,433,4.0
shabushabu Mayumon,40.71434,-73.99205,8,5.0
Time Out Market New York,40.7037211399782,-73.9918105285751,188,3.5
Cathédrale Restaurant,40.7316,-73.98951,48,4.0
Mable's Smokehouse & Banquet Hall,40.7211890204726,-73.9570004492998,820,4.0
Roberta's,40.705043534338,-73.93357123374,2760,4.0
Emporio,40.7226371,-73.9951331,771,4.0
Uncle Boons,40.7211328622237,-73.9943286309159,931,4.0
