Name,Latitude,Longitude,Votes,Rating,Type,City
Barn Joo,40.73684,-73.99069,1553.0,4.0,bbq,ny
Dun Huang - East Village,40.73081,-73.98568,305.0,4.5,bbq,ny
Soco,40.693866,-73.964535,2087.0,4.0,bbq,ny
Hao Noodle Chelsea,40.7406999,-74.00436,334.0,4.5,bbq,ny
GunBae,40.714683,-74.010223,257.0,4.0,bbq,ny
Mable's Smokehouse & Banquet Hall,40.7211890204726,-73.9570004492998,821.0,4.0,bbq,ny
Pies-n-Thighs,40.711191,-73.961424,2832.0,4.0,bbq,ny
Hometown Bar-B-Que,40.6748965703426,-74.0160489746129,1306.0,4.0,bbq,ny
Takashi,40.7313524,-74.0065048,977.0,4.0,bbq,ny
Gyu-Kaku Japanese BBQ,40.75908,-73.98989,1188.0,4.0,bbq,ny
Jongro BBQ,40.747514,-73.986884,1841.0,4.0,bbq,ny
Lazy Siu's,40.71261,-73.96077,26.0,5.0,bbq,ny
Yakiniku Futago,40.738851870947,-73.9941236398979,322.0,4.5,bbq,ny
Yoon Haeundae Galbi,40.74997,-73.98442,347.0,4.5,bbq,ny
Pig Beach,40.6792941479875,-73.9880264255794,544.0,4.0,bbq,ny
Dinosaur Bar-B-Que,40.6776201,-73.9838929,1590.0,3.5,bbq,ny
Let's Meat,40.746774,-73.985524,902.0,4.0,bbq,ny
Gyu-Kaku Japanese BBQ,40.75537,-73.97054,1160.0,4.0,bbq,ny
99 Favor Taste,40.728833,-73.988094,587.0,4.0,bbq,ny
Hometown Hotpot & BBQ,40.71931,-73.99689,1179.0,4.0,bbq,ny
Fette Sau,40.714066,-73.956327,2249.0,4.0,bbq,ny
Grand Seoul,40.7175,-73.99435,125.0,4.0,bbq,ny
Brooklyn Ice House,40.67919,-74.011099,221.0,4.5,bbq,ny
Gyu-Kaku Japanese BBQ,40.72822,-73.99142,1671.0,4.0,bbq,ny
Five Senses,40.747573158626,-73.9863122632311,1363.0,4.0,bbq,ny
The Woo,40.7253,-74.00371,63.0,4.0,bbq,ny
Blue Smoke,40.714486,-74.0152768,621.0,3.5,bbq,ny
Shabu-Tatsu East Village,40.72927,-73.98585,627.0,4.0,bbq,ny
Tofu Tofu,40.7176299520983,-73.9954301342368,303.0,4.5,bbq,ny
Mo's Original,40.66127,-73.95342,70.0,4.5,bbq,ny
Pig Heaven,40.77544,-73.95686,357.0,4.0,bbq,ny
Karvouna Mezze,40.72252,-73.99296,44.0,4.5,bbq,ny
Northern Bell,40.71389,-73.94855,258.0,4.0,bbq,ny
99 Favor Taste,40.7176199,-73.99249,1791.0,4.0,bbq,ny
HYUN,40.7474,-73.98444,85.0,4.0,bbq,ny
Mighty Quinn's Barbeque,40.727574,-73.988623,1738.0,4.0,bbq,ny
Bap,40.74618,-73.97802,117.0,4.5,bbq,ny
Friendship Food,40.7175013525047,-73.995192164058,3.0,4.5,bbq,ny
John Brown Smokehouse,40.7489,-73.95009,880.0,4.0,bbq,ny
Blue Smoke,40.74228,-73.98375,1724.0,3.5,bbq,ny
Arrogant Swine,40.7100372,-73.9334946,290.0,3.5,bbq,ny
Madame Vo BBQ,40.72741,-73.98816,152.0,4.0,bbq,ny
Butcher Bar,40.76431,-73.9164,1945.0,4.0,bbq,ny
We Rub You,40.697886,-73.9690617,4.0,5.0,bbq,ny
Yakitori TORA,40.72095,-73.9963,124.0,4.0,bbq,ny
Kang Ho Dong Baekjeong,40.747173576622,-73.9852144232788,1207.0,4.0,bbq,ny
Miss KOREA BBQ,40.747452,-73.986336,1656.0,3.5,bbq,ny
Samwon Garden Korean BBQ,40.74811,-73.9872,416.0,4.0,bbq,ny
Yakiniku Tohbay,40.76528,-73.98326,14.0,4.5,bbq,ny
Randalls Barbecue,40.716406,-73.989006,78.0,4.0,bbq,ny
Hee Korean BBQ Grill,40.7454185,-73.9912872,304.0,4.0,bbq,ny
Craft House,40.636373,-74.077543,328.0,4.5,bbq,ny
Hometown Dumpling,40.77549,-73.94767,38.0,4.5,bbq,ny
Insa,40.6795562014419,-73.9825174981801,247.0,3.5,bbq,ny
Kimchi Grill,40.6750885,-73.9634982,560.0,4.0,bbq,ny
Gopchang Story BBQ,40.74701,-73.98583,333.0,4.0,bbq,ny
Fob Brooklyn,40.6826583,-73.9930755,194.0,4.0,bbq,ny
Hill Country Barbecue Market,40.74428,-73.99041,2137.0,3.5,bbq,ny
Carnal,40.7209581056302,-73.9624738336204,23.0,5.0,bbq,ny
GOGI 37,40.7535849,-73.9914546,292.0,3.5,bbq,ny
Dons Bogam BBQ & Wine Bar,40.74678,-73.98437,986.0,4.0,bbq,ny
Lan Ting Hotpot,40.637494,-74.010961,227.0,4.5,bbq,ny
Mighty Quinn's Barbeque,40.7366742117697,-74.0013010473027,406.0,3.5,bbq,ny
Izzy's Brooklyn Smokehouse,40.66487,-73.9369,139.0,4.0,bbq,ny
Bann Restaurant,40.7628273031386,-73.9878592313522,616.0,3.5,bbq,ny
Hometown Bar-B-Que,40.65649,-74.0062705,14.0,3.5,bbq,ny
Virgil's Real BBQ - Times Square,40.75685,-73.9851,1563.0,3.5,bbq,ny
Gaonnuri,40.74757,-73.98802,796.0,3.5,bbq,ny
Korilla BBQ,40.6935414945595,-73.9858423383398,68.0,4.0,bbq,ny
New Wonjo Restaurant,40.74788,-73.98665,1309.0,3.5,bbq,ny
Dun Huang,40.6353649,-74.00896,46.0,4.0,bbq,ny
Alchemy,40.6812949467461,-73.9772505404754,455.0,3.5,bbq,ny
Slide Bar-B-Q,40.731511,-73.899936,575.0,3.5,bbq,ny
Mighty Quinn's,40.7202546300099,-73.9625231217651,56.0,4.5,bbq,ny
Mighty Quinn's Barbeque,40.712545,-74.0156618,261.0,3.5,bbq,ny
Holy Ground Barbecue,40.7230819,-73.9540159,3.0,4.5,bbq,ny
Morgan's Barbecue,40.679879,-73.974093,761.0,3.5,bbq,ny
Madangsui,40.75003,-73.985679,668.0,3.5,bbq,ny
Funny BBQ,40.71773,-73.99554,198.0,3.0,bbq,ny
Shokunin BBQ,40.6332876204455,-74.0062164404754,184.0,3.5,bbq,ny
The Strand Smokehouse,40.763072,-73.9273962,793.0,3.5,bbq,ny
Au Jus,40.6767159769176,-73.9634119346738,19.0,4.5,bbq,ny
Mason Jar NYC,40.74489,-73.98368,419.0,3.5,bbq,ny
99 Favor Taste,40.6355691,-74.0115482,738.0,4.0,bbq,ny
Brother Jimmy's BBQ,40.7445101402263,-73.980771217791,491.0,3.0,bbq,ny
Dokebi Bar & Grill,40.71421,-73.9603,369.0,3.5,bbq,ny
Fatoosh Pizza & BBQ,40.6915,-73.99777,97.0,4.0,bbq,ny
Ding Asian Szechuan Hot Pot Restaurant,40.76064,-73.98635,182.0,3.5,bbq,ny
Fletcher's Brooklyn Barbecue,40.6723,-73.99014,388.0,3.0,bbq,ny
Grill Master•Brooklyn,40.6359732,-74.0116674,25.0,3.5,bbq,ny
Mothership Meat Company,40.7526,-73.93678,43.0,3.5,bbq,ny
Yogi Korean BBQ Tacos,40.7551903277636,-73.9712201803923,112.0,4.5,bbq,ny
Villa Brazil Cafe Grill,40.7552896059395,-73.9180071651936,331.0,4.5,bbq,ny
Paladar Brazilian BBQ,40.79352,-73.93768,74.0,4.5,bbq,ny
Raizes,40.7247029246308,-73.9480696991086,155.0,3.5,bbq,ny
Ling Kee Beef Jerky,40.71466,-73.99148,171.0,4.5,bbq,ny
Tito Rad's Grill,40.7426021292423,-73.9155745324366,708.0,3.5,bbq,ny
K&S BBQ Ramen,40.71842,-73.99148,1.0,5.0,bbq,ny
Dickey's Barbecue Pit,40.68166,-73.97593,48.0,3.5,bbq,ny
Peking BBQ,40.7456439082048,-73.9062357614363,238.0,4.0,bbq,ny
LongHorn Steakhouse,40.734203,-73.867939,377.0,3.0,bbq,ny
Smoke House Appetizers,40.7073441,-73.8758163,13.0,5.0,bbq,ny
Dallas BBQ,40.7569835859189,-73.9888188242912,1727.0,3.0,bbq,ny
Route 66 Smokehouse,40.7043069274978,-74.0104401157802,282.0,3.0,bbq,ny
Jax BBQ,40.7556200243139,-73.994450122118,121.0,3.5,bbq,ny
Mighty Quinn's Barbeque,40.77231,-73.95543,292.0,3.5,bbq,ny
The Kunjip,40.747641,-73.987239,959.0,2.5,bbq,ny
Hot Kitchen Skewer Hotpot & BBQ,40.72741,-73.98816,433.0,3.5,bbq,ny
iCook Buffet,40.7432600908448,-73.883305080235,250.0,3.5,bbq,ny
Dallas BBQ,40.68973,-73.98701,372.0,3.0,bbq,ny
Dallas BBQ,40.74569,-73.99843,643.0,3.0,bbq,ny
Young Xinjiang BBQ Cart,40.7142696738464,-73.9941427168956,37.0,4.5,bbq,ny
Workers,40.7363,-73.99108,3.0,5.0,bbq,ny
Greedy Pot,40.80417,-73.95216,22.0,4.5,bbq,ny
Dallas BBQ,40.728651,-73.987427,462.0,3.0,bbq,ny
KPOT Korean BBQ & Hot Pot,40.71834,-74.0529,72.0,4.0,bbq,ny
Legends Bar & Grill,40.750448,-73.89472,106.0,4.0,bbq,ny
O2 BBQ,40.790165,-74.000752,109.0,4.0,bbq,ny
Makana BBQ & Poke,40.8003498753624,-73.9650623620337,202.0,3.5,bbq,ny
Picky Eaters Restaurant,40.6351299,-73.95055,44.0,4.0,bbq,ny
Pu Gui Ren,40.64086,-74.00456,1.0,5.0,bbq,ny
Brad's Burgers & BBQ,40.786064,-73.9727092,39.0,4.0,bbq,ny
Grand Street Skewer Cart,40.718090041934,-73.9933838887208,4.0,5.0,bbq,ny
Korilla BBQ - Midtown East,40.7601182,-73.9699062,74.0,3.5,bbq,ny
Addy's Barbeque,40.76169,-73.91708,138.0,4.0,bbq,ny
Mighty Quinn's Barbeque,40.7533948,-73.987599,121.0,3.5,bbq,ny
Simon's BBQ II,40.6395142,-74.0053988,60.0,3.5,bbq,ny
You like fish,40.61656,-73.99299,19.0,4.0,bbq,ny
Hamilton Pork,40.72896,-74.04472,432.0,4.0,bbq,ny
Shun Wang Restaurant,40.7431373596191,-73.8830413818359,158.0,4.0,bbq,ny
Korilla BBQ,40.818878,-73.991317,54.0,3.5,bbq,ny
DaddyO's BBQ & Sports Bar,40.637464,-74.0754962,196.0,3.5,bbq,ny
Lucky Eight,40.639961,-74.00509,201.0,3.5,bbq,ny
Desi BBQ Halal,40.7535956,-73.9237429,28.0,4.5,bbq,ny
Royal Rib House,40.683,-73.94066,78.0,4.0,bbq,ny
Rib In a Cup,40.7430160139191,-73.9356192456862,9.0,4.5,bbq,ny
OK 218,40.71899,-73.995811,56.0,3.5,bbq,ny
Kaptan's Deck,40.750534,-73.996757,5.0,5.0,bbq,ny
Brazeiro Churrascaria,40.7855359,-74.0094707,145.0,4.0,bbq,ny
Funny BBQ,40.638416,-74.005737,37.0,2.0,bbq,ny
Simon's BBQ,40.6416092,-74.0027924,29.0,4.0,bbq,ny
Dusk Til Dawn Bar & Lounge,40.69174,-73.93943,4.0,4.5,bbq,ny
The Hog Pit NYC,40.7445738,-73.9904317,250.0,3.0,bbq,ny
Mulata Grill,40.70168,-73.91929,15.0,3.5,bbq,ny
Ghost Truck Kitchen,40.7209,-74.04809,33.0,4.5,bbq,ny
Uncle Luoyang,40.80023,-73.96626,117.0,3.5,bbq,ny
Main House BBQ,40.6118431091309,-73.9130706787109,59.0,4.0,bbq,ny
Kobeque,40.7475453147469,-73.986284328775,90.0,3.5,bbq,ny
House of Que,40.777294,-74.011099,109.0,3.5,bbq,ny
Little Eva's,40.6891063092725,-74.0180316599118,43.0,3.0,bbq,ny
Genesis BBQ Skewer,40.7600009,-73.9216163,7.0,5.0,bbq,ny
Dallas BBQ,40.7701007938321,-73.9600488014371,325.0,3.0,bbq,ny
Miss Mamie's Spoonbread Too,40.801462,-73.960859,399.0,3.0,bbq,ny
Makana Hawaiian & Japanese BBQ,40.79568,-73.93599,161.0,3.0,bbq,ny
Monk's Meats,40.7050538,-73.922903,16.0,3.5,bbq,ny
Graze Smokehouse,40.78458,-73.97393,5.0,5.0,bbq,ny
House of 'Que,40.7405843890325,-74.0268678606049,437.0,3.5,bbq,ny
Mighty Quinn's Barbeque,40.67758,-73.95736,86.0,3.0,bbq,ny
Lucky Chicken,40.73644,-73.97922,67.0,3.0,bbq,ny
Buff Patty,40.69299,-73.971146,102.0,3.0,bbq,ny
Dallas BBQ,40.63255,-73.94778,218.0,2.5,bbq,ny
Sushi Factory,40.6418518141296,-74.0038870071483,91.0,3.5,bbq,ny
Galo Churrasqueira,40.7499604,-73.880699,3.0,5.0,bbq,ny
Fletcher's BBQ,40.6911058,-73.9825098416121,38.0,3.0,bbq,ny
The Old Spot,40.72108,-74.04676,36.0,3.5,bbq,ny
Dallas BBQ,40.733421,-73.863845,506.0,3.0,bbq,ny
Chinese Pinchos,40.7182260824931,-73.9939185456156,1.0,4.0,bbq,ny
Jerk Off The Grill,40.771682,-73.953836,12.0,4.0,bbq,ny
yummy chummy,40.6333829095046,-74.0113349631429,11.0,4.0,bbq,ny
Fletcher's Brooklyn Barbecue,40.707019,-74.003509,7.0,3.0,bbq,ny
Grill 66,40.707784,-73.862264,32.0,4.0,bbq,ny
Busso's On the Pier,40.64483,-74.0225899,2.0,3.5,bbq,ny
Shogun BBQ,40.63017,-74.00403,8.0,3.0,bbq,ny
Carnal,40.6581802368164,-73.9691009521484,3.0,4.0,bbq,ny
Rosario's Ihawan,40.746009,-73.895966,36.0,3.5,bbq,ny
Chicken Festival,40.776607,-73.910903,85.0,3.5,bbq,ny
Five Loaves And Two Fishes,40.7414670731217,-73.8805758857673,54.0,3.5,bbq,ny
Chic King BBQ Restaurant,40.7778,-74.02512,61.0,4.5,bbq,ny
Simons BBQ Cart,40.6384252031147,-74.0151085232788,11.0,4.5,bbq,ny
Mr Q BBQ Grill,40.63755,-74.00707,32.0,3.0,bbq,ny
Simon's BBQ,40.6413994616105,-74.0026767495446,1.0,5.0,bbq,ny
10th & Willow Bar & Grill,40.74903,-74.03086,302.0,3.0,bbq,ny
Merchants BBQ,40.712398,-74.015418,1.0,4.0,bbq,ny
Forest BBQ,40.6267165633925,-74.1261895467892,69.0,3.5,bbq,ny
Boston Jerk City Restaurant,40.6396,-73.92928,20.0,3.0,bbq,ny
Seoul Lee Korean Barbecue,40.7424806803465,-73.989225178957,25.0,3.0,bbq,ny
The Original American Chicken,40.7495045,-73.8878638,72.0,3.5,bbq,ny
Asian Taste,40.660945,-73.994533,55.0,3.0,bbq,ny
Kimchi Bowl,40.7492790222168,-73.9925918579102,5.0,3.5,bbq,ny
Island Spice Grill,40.7378,-73.99012,55.0,3.0,bbq,ny
Rio Grande Restaurant,40.759494000104,-73.9204654097557,26.0,3.5,bbq,ny
Happy Home Cuisine,40.6039450276978,-73.9979839324951,32.0,3.5,bbq,ny
Carvao BBQ,40.723461,-74.070194,233.0,3.5,bbq,ny
Texas Rotisserie & Grill,40.795631,-73.971427,118.0,3.0,bbq,ny
Chicky's,40.77715,-73.9496,64.0,3.0,bbq,ny
Latin BBQ,40.7588682,-74.0448246,26.0,4.0,bbq,ny
Texas Rotisserie & Grill,40.76695,-73.95697,105.0,3.0,bbq,ny
Gourmet Fresh,40.7172013,-74.0533658,2.0,4.0,bbq,ny
Don Julio’s BBQ,40.79048,-74.01542,6.0,4.5,bbq,ny
Stumpy's Spot,40.6619211,-73.9153911,61.0,2.0,bbq,ny
Atomic Wings,40.73239,-74.00152,27.0,2.0,bbq,ny
LongHorn Steakhouse,40.6608745541483,-74.1080918637542,146.0,2.5,bbq,ny
Fire Belly Korean Bbq,40.7427943262379,-73.9889753165311,16.0,3.0,bbq,ny
My Kitchen Healthy Foods,40.727214,-74.037809,13.0,3.5,bbq,ny
Empire BBQ,40.62347,-73.96593,2.0,5.0,bbq,ny
Courtney's Rotisserie & Grill,40.6248636,-73.9176493,22.0,2.5,bbq,ny
HK Style Bbq,40.6348492217523,-74.0103489160538,1.0,5.0,bbq,ny
Fire Pit Barbeque,40.7982307314552,-74.1264184936881,71.0,4.0,bbq,ny
Carolyn's Kitchen,40.7107,-74.0797,34.0,3.5,bbq,ny
Towne BBQ & Deli,40.79942,-74.05826,22.0,3.5,bbq,ny
BEANS Chicken,40.7386284,-73.9819336,15.0,2.5,bbq,ny
BBQ Cart,40.738071,-73.877563,2.0,4.5,bbq,ny
Fairview BBQ,40.78284,-74.01839,6.0,3.0,bbq,ny
Chicken Delight,40.80059,-74.00711,69.0,3.5,bbq,ny
Derik's Open Flame,40.73847,-73.98071,3.0,2.5,bbq,ny
Route 66 Smokehouse,40.70409,-74.01041,1.0,2.0,bbq,ny
Abbey's BBQ Grill,40.72369,-74.0492706,3.0,2.5,bbq,ny
2W!ngz,40.7475815,-73.9542618,1.0,3.0,bbq,ny
GALAXY Pizza & Restaurant,40.73417,-74.08071,4.0,3.0,bbq,ny
Pulled & Chopped BBQ Sandwiches and Bowls,40.73995,-73.98538,5.0,2.5,bbq,ny
Bayonne BBQ,40.6643,-74.12488,13.0,3.0,bbq,ny
Shady Jake's,40.750061,-73.994613,2.0,2.0,bbq,ny
BBQ Pit,40.7385,-73.98193,14.0,1.5,bbq,ny
Texas B.B.Q.,40.7360393,-74.0294338,1.0,2.0,bbq,ny
Dallas Jones BBQ,40.76114,-73.98362,2.0,1.0,bbq,ny
Texas & Bbq,40.7578888,-73.9809036,2.0,1.0,bbq,ny
