Name,Latitude,Longitude,Votes,Rating,Type,City
Aunt Jake's,40.7190315,-73.9977161,1393,4.0,italian,ny
Paesano of Mulberry Street,40.718554,-73.997447,834,4.0,italian,ny
L'Artusi,40.733714,-74.005068,1780,4.5,italian,ny
Da Andrea,40.736218,-73.99597,733,4.0,italian,ny
Gelso & Grand,40.7194089547259,-73.9973777877722,855,4.0,italian,ny
Rubirosa,40.72275,-73.99622,2104,4.5,italian,ny
Carmine's Italian Restaurant - Times Square,40.7574955824307,-73.9866844540098,3667,4.0,italian,ny
Piccola Cucina Osteria,40.72506,-74.00322,498,4.5,italian,ny
Antica Ristorante,40.7039355145338,-74.0121731758117,491,4.5,italian,ny
Pepe Rosso Social,40.72007,-73.99618,812,4.0,italian,ny
Supper,40.7229,-73.98527,1268,4.0,italian,ny
Olio e Piú,40.733826,-73.999852,2029,4.0,italian,ny
Tableside Italian Cook Shoppe,40.7266287,-73.9863384,246,4.5,italian,ny
Naked Dog,40.7312720665479,-73.9593493647979,192,4.5,italian,ny
Lillo Cucina Italiana,40.69023,-73.99634,119,5.0,italian,ny
Carroll Place,40.7287,-73.99971,1030,4.0,italian,ny
Noodle Pudding,40.69979,-73.99203,556,4.0,italian,ny
Aurora,40.715621,-73.964757,583,4.0,italian,ny
Galli,40.72161,-74.00127,901,4.0,italian,ny
Basta Pasta,40.73881,-73.99407,1406,4.0,italian,ny
IL Brigante,40.707492,-74.002571,379,4.0,italian,ny
Evelina,40.689722,-73.971003,151,4.5,italian,ny
Lilia,40.71757,-73.95236,754,4.0,italian,ny
Pepe Giallo,40.7468940064083,-74.0049896784992,624,4.0,italian,ny
Sauce & Barrel,40.707999,-74.0142651,377,4.0,italian,ny
Malatesta Trattoria,40.73285,-74.00847,1227,4.0,italian,ny
Roberta's,40.705043534338,-73.93357123374,2764,4.0,italian,ny
Lupa,40.7276,-74.000045,1501,4.0,italian,ny
The Saint Austere,40.7114604,-73.9476182,381,4.5,italian,ny
Forno Rosso,40.69446,-73.98316,662,4.0,italian,ny
Nino's 46,40.7569159,-73.980516,1160,4.0,italian,ny
Da Claudio,40.71087,-74.00753,448,4.5,italian,ny
Scarpetta,40.744509,-73.9856,1875,4.0,italian,ny
Emporio,40.7226371,-73.9951331,773,4.0,italian,ny
Misi,40.71341,-73.96662,240,4.0,italian,ny
Nostro East Village,40.726591,-73.9895454,19,4.5,italian,ny
Acqua Restaurant NYC,40.7082567,-74.001797,368,4.0,italian,ny
Forma Pasta Factory,40.72371,-73.95157,116,5.0,italian,ny
AlMar,40.702662,-73.989177,424,4.0,italian,ny
Babbo,40.732283,-73.999284,2387,4.0,italian,ny
Prince Street Pizza,40.7229087705545,-73.9944863319397,3256,4.5,italian,ny
Marea,40.7674213694566,-73.9810554368179,1994,4.0,italian,ny
The Meatball Shop,40.721651,-73.988746,2735,4.0,italian,ny
PizzArte,40.7629335072372,-73.9776668697596,1061,4.0,italian,ny
Cecconi's Dumbo,40.7033063330116,-73.9916549604523,635,3.5,italian,ny
Fresh Salt,40.70707,-74.00244,389,4.0,italian,ny
Tavola,40.755403,-73.994516,911,4.0,italian,ny
Uva,40.7722,-73.95566,2301,4.0,italian,ny
Eataly NYC Flatiron,40.74195877796,-73.989716662832,5423,4.0,italian,ny
Tony's Di Napoli,40.75641,-73.98547,2035,4.0,italian,ny
Osteria Morini Manhattan,40.7219179851303,-73.9976472073402,1128,4.0,italian,ny
Trattoria Trecolori,40.75998,-73.98671,2299,4.0,italian,ny
Momofuku Nishi,40.7443479,-73.9988054,576,4.0,italian,ny
Adrienne's Pizzabar,40.7043362,-74.0101733,1634,4.0,italian,ny
Gnoccheria By Luzzo's,40.723315,-73.983139,364,4.0,italian,ny
Felice,40.70789,-74.00712,347,4.0,italian,ny
Barano,40.710372,-73.96794,234,4.5,italian,ny
Misirizzi,40.7272,-73.99228,131,4.5,italian,ny
Paulie Gee's,40.729546,-73.958568,1210,4.5,italian,ny
Angeletto Restaurant,40.753188,-73.969365,183,4.5,italian,ny
Don Angie,40.73778,-74.00197,278,4.5,italian,ny
Piccola Cucina Enoteca,40.726284,-74.002151,279,4.0,italian,ny
Song E Napule,40.72813,-74.00188,441,4.5,italian,ny
Allora Ristorante,40.75433,-73.97277,517,4.5,italian,ny
Il Porto Ristorante,40.6974427,-73.9675197,309,4.0,italian,ny
Gnoccheria Wall Street,40.70345,-74.01213,17,4.5,italian,ny
La Nonna Ristorante & Bar,40.718468787527,-73.9639185527139,282,4.0,italian,ny
Popina,40.687361962701,-74.0014251909241,53,4.5,italian,ny
Faro,40.707407,-73.922839,271,4.0,italian,ny
Barolo East,40.75481,-73.97059,81,4.5,italian,ny
Adoro Lei,40.725612,-74.007916,278,4.5,italian,ny
Piacere,40.7196979,-73.9951175,667,4.0,italian,ny
Dante,40.72879,-74.00165,313,4.0,italian,ny
Aurora Soho,40.723543,-74.003199,450,4.0,italian,ny
Gran Morsi,40.7142052394856,-74.0077535494539,344,4.5,italian,ny
Scottadito Osteria Toscana,40.6746627,-73.9766125,844,4.0,italian,ny
Del Posto,40.7434155953035,-74.007533013261,1416,4.0,italian,ny
Extra Virgin,40.7353962496717,-74.0031888223197,1236,3.5,italian,ny
Solaro,40.730588,-74.00238,10,5.0,italian,ny
Spaghetti Incident,40.7223153441439,-73.9899454318763,573,4.0,italian,ny
La Lanterna Di Vittorio,40.73069,-74.00015,1438,4.0,italian,ny
Rucola,40.68562,-73.98587,479,4.0,italian,ny
Arturo's,40.7273563342024,-74.0004944801331,664,4.0,italian,ny
Da Ciro Brooklyn,40.6931299,-73.96716,88,4.5,italian,ny
Sapori D'Italia,40.71735,-73.99855,238,4.5,italian,ny
Palma,40.73115,-74.00233,701,4.0,italian,ny
Da Mikele by Luzzo's,40.718477,-74.004802,341,4.0,italian,ny
Barbalu Restaurant,40.7074747,-74.0020404,279,4.0,italian,ny
Locanda Verde,40.7198601300801,-74.010039072422,1601,4.0,italian,ny
Lil' Frankie's,40.723625,-73.988555,1063,4.0,italian,ny
Fornino,40.6928735340776,-74.0016932280972,218,4.0,italian,ny
Aita,40.686412,-73.966629,248,4.0,italian,ny
Il Corallo Trattoria,40.7262073,-74.0018919,930,4.0,italian,ny
San Marzano Pasta Fresca,40.727989,-73.98845,1129,4.0,italian,ny
Benito One,40.7200188460948,-73.9969412164592,699,4.0,italian,ny
