Name,Latitude,Longitude,Votes,Rating,Type,City
Balzem,40.721408,-73.995415,415.0,4.0,mediterranean,ny
Alta,40.7345163811398,-73.9983369619683,1871.0,4.0,mediterranean,ny
Tableside Italian Cook Shoppe,40.7266287,-73.9863384,246.0,4.5,mediterranean,ny
Bijan's,40.68803,-73.98671,539.0,4.0,mediterranean,ny
Celestine,40.704676,-73.987975,204.0,4.0,mediterranean,ny
Savida,40.71645,-74.00783,66.0,4.5,mediterranean,ny
Miss Ada,40.689436,-73.9723809,199.0,4.5,mediterranean,ny
Gato,40.7255312,-73.9951947,1129.0,4.0,mediterranean,ny
Local 92,40.726957,-73.9885354,398.0,4.0,mediterranean,ny
Cathédrale Restaurant,40.7316,-73.98951,51.0,4.0,mediterranean,ny
Shuka,40.72707,-74.00283,408.0,4.0,mediterranean,ny
Yara,40.75646,-73.9662,81.0,4.5,mediterranean,ny
The Greek,40.7237145,-74.0096166,477.0,4.5,mediterranean,ny
Adalya,40.7362094701213,-73.9874085025025,127.0,4.0,mediterranean,ny
Cafe Mogador,40.719747,-73.959993,1145.0,4.5,mediterranean,ny
ilili,40.74435,-73.98778,2340.0,4.0,mediterranean,ny
RH Rooftop Restaurant,40.73985,-74.00639,252.0,4.0,mediterranean,ny
Ela Taverna,40.71916,-73.9586,121.0,4.0,mediterranean,ny
XYST,40.73874,-73.99444,293.0,4.5,mediterranean,ny
Au Za'atar,40.728901,-73.981185,793.0,4.0,mediterranean,ny
Kiki's,40.7144971858255,-73.9918553931336,581.0,4.0,mediterranean,ny
Mémé Mediterranean,40.736412,-74.00616,578.0,4.0,mediterranean,ny
Entwine,40.737398,-74.00796,210.0,4.0,mediterranean,ny
Jack's Wife Freda,40.72213,-73.99756,1853.0,4.0,mediterranean,ny
Glasserie,40.7376154,-73.9560697,354.0,4.0,mediterranean,ny
Dar 525,40.711266,-73.950317,459.0,4.5,mediterranean,ny
Galata Mediterranean Cuisine,40.74531,-73.97753,339.0,4.5,mediterranean,ny
Taboonette,40.7347009,-73.9927323,835.0,4.0,mediterranean,ny
Ayza Wine & Chocolate Bar,40.7471774721074,-73.987011312828,1631.0,4.0,mediterranean,ny
Covina,40.7423054,-73.9832149,336.0,4.5,mediterranean,ny
NAYA,40.7021301747589,-74.0118362768599,142.0,4.5,mediterranean,ny
CAVA,40.7337897786475,-73.9896078601189,279.0,4.5,mediterranean,ny
Voula,40.73235,-74.00222,93.0,4.5,mediterranean,ny
Nerai,40.7602,-73.97308,449.0,4.5,mediterranean,ny
Balaboosta,40.73769,-74.00584,40.0,4.0,mediterranean,ny
19 Cleveland By Nish Nush,40.72164,-73.99722,121.0,4.5,mediterranean,ny
La Goulette,40.71483,-73.96157,306.0,4.5,mediterranean,ny
Taverna Kyclades - East Village,40.7310782469639,-73.9825163036585,800.0,4.0,mediterranean,ny
Boulud Sud,40.7718614234522,-73.9816256082283,727.0,4.0,mediterranean,ny
Zyara NY,40.71964,-73.98507,153.0,4.5,mediterranean,ny
The Quarter Brooklyn,40.6874192552749,-73.9748689904809,170.0,4.0,mediterranean,ny
Zizi,40.74293,-74.00002,11.0,5.0,mediterranean,ny
Il Buco,40.72583,-73.99299,654.0,4.0,mediterranean,ny
Mazzat,40.684942,-74.003028,173.0,4.5,mediterranean,ny
Claudette,40.7330367619291,-73.9960286909289,370.0,4.0,mediterranean,ny
