Name,Latitude,Longitude,Votes,Rating,Type,City
Jajaja,40.7141530317142,-73.9904247969389,859,4.5,mexican,ny
Jajaja,40.72979,-74.00455,73,4.5,mexican,ny
Toloache 50,40.762325,-73.9855741,1904,4.0,mexican,ny
Casa Enrique,40.743404338358,-73.954350367693,1146,4.0,mexican,ny
Rosie's,40.72492,-73.99079,683,4.0,mexican,ny
Cafe Habana,40.722998,-73.994171,3134,4.0,mexican,ny
Oxomoco,40.7299099,-73.95548,258,4.0,mexican,ny
Los Tacos No.1,40.7425547,-74.0060838,2861,4.5,mexican,ny
La Contenta,40.71873,-73.98691,720,4.5,mexican,ny
The Maze,40.747846,-73.9872499,418,4.0,mexican,ny
Taco Dumbo,40.700601,-73.988467,182,4.0,mexican,ny
Breakroom,40.7166907225542,-73.9999440120647,1568,4.5,mexican,ny
Los Tacos No.1,40.7575067,-73.9877717,1595,4.5,mexican,ny
Barrio Chino,40.718022,-73.990026,1097,4.0,mexican,ny
Flip Sigi,40.73405,-74.00642,678,4.0,mexican,ny
BarBacon Hell's Kitchen,40.766253,-73.986674,1174,4.0,mexican,ny
Las Santas,40.6882,-73.97953,28,5.0,mexican,ny
Miti Miti,40.6786672454389,-73.9791200818081,909,4.0,mexican,ny
Don Chingon,40.6810431221494,-73.9752403260395,335,4.5,mexican,ny
The Bear,40.7128339,-73.9663587,30,4.5,mexican,ny
Xixa,40.7104,-73.95854,567,4.5,mexican,ny
Mamasita Bar & Grill,40.76733,-73.98945,990,4.0,mexican,ny
Bar Bolinas,40.693499,-73.967389,119,4.0,mexican,ny
Tacuba Hell's Kitchen,40.76545,-73.98729,635,4.0,mexican,ny
Claro,40.6773587963142,-73.9861984489446,160,4.0,mexican,ny
Anejo Tribeca,40.7193829,-74.004417,353,4.0,mexican,ny
Los Mariscos,40.74207,-74.00565,541,4.5,mexican,ny
Vida Verde,40.7650089,-73.983215,1069,4.5,mexican,ny
El Camion,40.7291,-73.98105,679,4.0,mexican,ny
Kahlo,40.75218,-74.0026,86,4.5,mexican,ny
La Loteria,40.7307865530978,-74.0041882564488,315,4.0,mexican,ny
Leyenda,40.68431,-73.99197,213,4.0,mexican,ny
Calaca,40.6834,-73.95655,172,4.5,mexican,ny
Revolution Taco & Tequila Bar,40.70437,-74.01039,13,4.0,mexican,ny
Cantina Rooftop,40.765101,-73.996046,652,3.0,mexican,ny
Bar Verde,40.7260849061034,-73.9897361397743,222,4.5,mexican,ny
Rocco's Tacos & Tequila Bar,40.69319596606,-73.9885798943981,1287,3.5,mexican,ny
Mesa Coyoacan,40.715528,-73.944273,750,4.0,mexican,ny
Maya,40.7632055528185,-73.9596225112209,901,3.5,mexican,ny
The Taco Shop,40.7319488525391,-74.0015411376953,357,4.0,mexican,ny
Taco Mahal,40.732337,-74.003303,529,4.5,mexican,ny
La Slowteria,40.675054752231,-73.9995680865082,243,4.0,mexican,ny
Hell's Kitchen,40.7638823425707,-73.9884334000586,399,4.0,mexican,ny
Street Taco,40.74097,-73.98202,333,4.0,mexican,ny
The Lost Lady,40.72631,-73.97756,77,4.0,mexican,ny
The Black Ant,40.72578,-73.98952,525,4.0,mexican,ny
